#ARTIST:Busted
#TITLE:Britney
#MP3:Busted - Britney.mp3
#CREATOR:seanie627
#YEAR:2002
#LANGUAGE:English
#BPM:370.07
#GAP:8980
#VIDEO:v=9Y9XZNTaTB0,co=busted-65aa5a4a438d9.jpg,bg=busted-5002a9ba0c232.jpg
#END:186000
: 2202 4 16 ~ 
: 2210 6 16 man 
- 2218
: 2220 4 4 I 
: 2228 12 16 want 
: 2244 7 13 you
: 2252 4 11 -, 
: 2260 7 11 Bri
: 2268 4 9 ~ 
: 2276 7 9 te
: 2284 4 2 ~ 
: 2292 14 2 ney
: 2308 7 13 ~ 
: 2316 3 11 ~ 
: 2320 3 13 ~ 
: 2324 14 11 ~ 
- 2340
: 2348 4 4 I 
: 2356 12 16 need 
: 2372 7 13 you
: 2380 4 11 ~ 
: 2388 7 11 here
: 2396 4 9 ~ 
: 2404 12 9 with 
: 2438 10 2 me 
- 2450
: 2480 4 4 You 
: 2488 12 14 know 
: 2503 7 13 that
: 2511 4 11 ~ 
: 2519 7 11 I
: 2527 4 9 ~ 
: 2535 10 9 won’t 
: 2551 12 14 stop 
: 2568 7 13 un
: 2576 4 11 ~ 
: 2584 7 11 til
: 2592 4 9 ~ 
: 2600 4 9 I’ve 
: 2608 4 13 got 
: 2616 3 9 you
: 2620 12 11 ~ 
- 2634
: 2673 4 9 I 
: 2682 7 9 want
: 2690 4 4 ~ 
: 2698 10 4 you, 
* 2714 7 13 Bri
: 2722 4 11 ~ 
: 2730 7 11 te
: 2738 4 9 ~ 
: 2746 10 9 ney 
- 2757
: 2757 4 16 Ev
: 2764 4 13 ery 
: 2772 4 13 sin
: 2780 4 11 gle 
: 2788 4 11 thing 
: 2796 4 9 you 
: 2804 8 9 do 
- 2814
: 2822 4 16 Ev
: 2828 4 13 ery 
: 2836 3 13 time
: 2840 4 11 ~ 
: 2845 2 11 I 
: 2852 3 13 look 
: 2856 2 9 at 
: 2864 8 9 you 
- 2874
: 2885 6 16 I 
: 2894 2 13 be
: 2902 1 13 come
: 2904 4 11 ~ 
: 2910 2 11 a 
: 2918 4 11 slave 
: 2926 4 9 for 
: 2934 6 9 you 
- 2942
