#ARTIST:Chappell Roan
#TITLE:The Subway
#MP3:Chappell Roan - The Subway.mp3
#CREATOR:Adelaido
#COVER:Chappell Roan - The Subway [CO].jpg
#BACKGROUND:Chappell Roan - The Subway [BG].jpg
#GENRE:Pop
#YEAR:2025
#LANGUAGE:English
#BPM:332
#GAP:17810
#VIDEO:v=woLfAvD5iXI,co=https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a3/34/ac/a334acc6-5983-27ac-851d-8f03e148a4ce/25UMGIM99609.rgb.jpg/5000x5000bb.jpg,tags=explicit
: 2705 4 2 that 
: 2713 4 3 I 
: 2721 4 2 won’t 
: 2728 5 3 say 
: 2736 11 5 your 
: 2751 21 2 name
- 2776
: 2800 5 -2 But 
: 2808 5 2 I’m 
: 2816 4 3 still 
: 2824 8 3 count
: 2832 4 2 ing 
: 2839 5 3 down 
: 2847 4 2 all 
: 2855 4 3 of 
: 2863 17 5 the 
: 2880 16 2 days
: 2896 2 0 ~
: 2898 15 -2 ~
- 2914
* 2918 5 -2 Till 
* 2927 5 -2 you’re 
* 2935 5 -2 just 
* 2943 8 0 a
* 2951 9 0 no
* 2960 5 -2 ther 
* 2968 5 0 girl 
* 2976 4 -2 on 
* 2983 5 0 the 
* 2992 16 2 sub
* 3008 28 -2 way
- 3036
: 3064 15 5 She’s 
: 3079 8 10 got, 
: 3095 7 5 she’s 
: 3102 8 10 got 
: 3110 7 5 a 
: 3118 13 7 way
: 3131 3 5 ~
: 3134 13 3 ~
- 3148
: 3158 8 0 She’s 
: 3166 8 2 got 
: 3174 7 3 a 
: 3182 20 3 way, 
: 3222 8 5 she’s 
: 3230 8 12 got 
: 3238 6 10 a 
: 3245 16 5 way
: 3261 2 3 ~
: 3263 13 2 ~
: 3276 17 3 ~
- 3293
* 3294 19 5 And 
: 3317 16 2 she 
: 3333 16 5 got, 
: 3349 8 2 she 
: 3357 8 5 got 
: 3365 8 2 a
: 3373 11 3 way
: 3384 3 2 ~
: 3387 3 0 ~
: 3390 17 -2 ~
- 3409
: 3414 7 -7 She 
: 3421 6 -5 got 
: 3429 7 -2 a
: 3436 28 0 way, 
: 3476 7 0 she 
: 3483 8 2 got 
: 3491 9 3 a
: 3500 31 5 way
: 3531 16 7 ~
- 3826
: 3548 19 9 And 
: 3572 15 10 she’s 
: 3587 8 14 got, 
: 3603 7 10 she’s 
: 3610 8 14 got 
: 3619 6 10 a 
* 3627 12 12 way
* 3639 13 10 ~
- 3655
: 3667 8 5 She’s 
: 3675 8 7 got 
: 3683 7 10 a 
* 3691 12 12 way, 
* 3703 3 10 ~-
- 3730
* 3706 13 7 ~
: 3731 8 12 she’s 
: 3739 8 15 got 
: 3747 6 14 a 
* 3754 16 12 way
* 3770 2 10 ~
* 3772 13 9 ~
* 3785 17 10 ~
* 3802 19 12 ~
- 3824
: 3826 16 10 She 
: 3842 16 14 got, 
: 3858 8 10 she 
: 3866 8 14 got 
: 3874 8 12 a
* 3882 11 12 way
* 3893 23 10 ~
- 3916
: 3922 2 10 She 
: 3930 6 14 got 
: 3938 7 14 away, 
: 3945 6 15 ~
: 3951 3 14 ~
: 3954 19 12 ~
* 3985 7 10 she 
* 3992 8 14 got 
* 4000 9 14 a
* 4009 31 15 way
- 4026
* 4041 15 15 Eah 
* 4056 17 14 ah 
* 4073 15 14 ah
* 4088 8 12 ~
* 4096 140 10 ~
- 4237
: 4240 8 12 She’s 
: 4248 8 12 got 
: 4256 6 10 a 
* 4263 21 15 way
- 4284
* 4284 12 14 Eah
* 4296 3 12 ~
* 4299 17 10 ~
* 4316 12 12 ~
* 4328 110 10 ~
* 4438 19 9 ~
* 4457 65 7 ~
* 4522 48 5 ~
- 4580
: 4590 15 10 She’s 
: 4605 8 14 got, 
: 4621 7 10 she’s 
: 4628 8 14 got 
: 4636 7 10 a 
* 4645 13 12 way
* 4658 16 10 ~
- 4666
: 4685 7 5 She’s 
: 4693 9 7 got 
: 4702 7 10 a 
* 4710 14 12 way, 
* 4724 2 10 ~
* 4726 16 7 ~
: 4747 9 12 she’s 
: 4756 9 15 got 
: 4765 8 14 a 
* 4774 14 12 way
* 4788 4 10 ~
* 4792 14 9 ~
* 4806 16 10 ~
* 4822 18 12 ~
- 4838
* 4843 15 10 She 
* 4859 15 14 got, 
* 4876 9 10 she 
* 4885 8 14 got 
* 4893 7 12 a
* 4900 11 12 way
* 4911 28 10 ~
- 4940
: 4940 7 10 She 
: 4948 7 14 got 
: 4956 8 14 a
* 4964 11 15 way, 
* 4975 2 14 ~
* 4977 24 12 ~
: 5002 9 10 she 
: 5011 7 14 got 
: 5019 10 14 away
* 5029 11 15 ~
* 5040 2 14 ~
* 5042 14 12 ~
- 5058
* 5059 16 14 Eah
* 5075 15 14 ~
* 5090 11 14 ~
* 5101 5 12 ~
* 5106 51 10 ~
E
