#ARTIST:Megan Nicole + Sam Tsui
#TITLE:Locked Out Of Heaven (Mash-Up)
#MP3:Megan Nicole + Sam Tsui - Locked Out Of Heaven (Mash-Up).mp3
#CREATOR:Sing-Girl
#YEAR:2013
#LANGUAGE:English
#BPM:294
#GAP:7260
#VIDEO:v=F1eL90F7ME0,co=locked-out-of-heaven-mash-up-690a3be297065.jpg
- 1775
: 1779 2 -3 Which 
: 1783 3 -1 way 
: 1787 2 -1 is 
: 1791 5 2 right 
- 1798
: 1809 2 -3 Which 
: 1814 2 -1 way 
: 1818 2 -1 is 
: 1821 4 -1 wrong
: 1826 3 -3 ~
: 1830 9 -1 ~ 
- 1841
: 1842 3 -3 How 
: 1846 2 -1 do 
: 1849 2 -1 I 
: 1852 5 2 say 
: 1862 3 6 that 
: 1866 2 7 I 
* 1869 6 9 need 
: 1876 4 6 to
: 1881 3 4 ~ 
: 1885 3 4 move 
F 1889 1 2 on 
- 1891
: 1891 4 5 And 
: 1896 4 5 it 
: 1902 10 5 shows
: 1913 3 4 ~
: 1917 9 1 ~
: 1927 3 0 ~
: 1931 12 -2 ~
: 1944 3 0 ~
: 1948 8 -3 ~, 
- 1958
* 1966 9 9 Yeah
* 1976 3 7 ~, 
* 1980 12 4 yeah
* 1993 3 2 ~, 
* 1997 14 1 yeah 
- 2013
: 2015 4 2 You 
: 2020 4 5 make 
: 2025 4 2 me 
* 2030 9 10 feel 
: 2042 4 9 like 
: 2048 5 9 I 
: 2055 5 9 am 
: 2063 5 9 just 
: 2071 5 9 too 
: 2079 5 7 close
: 2085 2 5 ~ 
: 2088 3 5 to 
* 2093 7 7 love 
: 2102 3 5 you
: 2106 5 7 ~ 
- 2113
: 2132 4 2 I’ve 
: 2137 3 2 been 
: 2141 4 2 locked 
: 2146 4 5 out 
: 2151 3 2 of 
F 2155 4 10 hea
F 2160 3 9 ven 
- 2165
: 2166 3 2 There 
: 2170 3 2 is 
: 2174 4 4 no
: 2180 4 6 thing 
: 2186 6 6 I 
: 2194 6 6 can 
: 2202 4 9 real
* 2207 3 6 ~
* 2211 3 4 ly 
: 2215 18 4 say 
- 2235
: 2240 4 6 Hey
: 2245 3 4 ~, 
: 2249 12 4 yeah 
- 2263
: 2269 4 2 You 
: 2275 4 5 make 
: 2281 4 2 me 
* 2287 7 10 feel
* 2295 3 9 ~ 
: 2299 14 9 like, 
- 2315
: 2325 3 6 I 
: 2329 4 2 can’t 
: 2334 3 6 hide 
: 2338 5 4 no 
: 2344 7 2 more 
- 2353
: 2372 5 9 I’m 
: 2380 5 9 just 
: 2388 5 9 too 
: 2396 5 7 close
: 2402 2 5 ~ 
: 2405 3 5 to 
* 2409 7 7 love 
: 2417 4 5 you
: 2422 3 7 ~ 
- 2427
: 2452 3 2 I’ve 
: 2456 3 2 been 
: 2460 4 2 locked 
: 2465 3 5 out 
: 2469 3 2 of 
* 2473 5 10 hea
* 2479 4 9 ~
* 2484 15 9 ven
* 2500 8 7 ~ 
- 2510
: 2511 3 5 So 
: 2516 3 3 I’ll 
: 2521 2 1 be 
: 2525 2 3 on 
: 2528 3 1 my 
* 2533 4 -2 way 
- 2539
: 2540 46 0 All 
: 2592 3 -2 I
: 2596 2 -3 ~ 
: 2599 3 -2 need
: 2603 11 -3 ~ 
- 2616
: 2625 2 -8 Is 
: 2629 2 -8 a 
* 2633 3 -1 beau
* 2637 2 -3 ~
: 2640 5 -3 ty 
: 2646 3 -4 and 
F 2650 1 -6 a 
F 2652 1 -4 beat 
- 2654
: 2655 3 8 I 
: 2660 2 6 feel 
: 2664 2 4 your 
: 2668 2 4 heart
: 2672 2 -1 ~
: 2676 3 6 ~
: 2682 11 8 beat 
- 2694
: 2695 2 -6 To 
: 2699 6 1 make 
: 2707 4 -1 my 
: 2713 5 -2 life 
: 2720 5 -4 com
: 2727 21 -4 plete 
- 2749
: 2750 5 2 Yeah
: 2756 3 4 ~, 
: 2760 16 2 yeah 
- 2778
: 2796 5 3 I 
: 2804 5 10 knew 
: 2812 5 3 you 
: 2820 4 10 were 
: 2826 2 1 tou
: 2830 2 3 ble 
- 2834
: 2836 2 3 When 
: 2840 2 1 you 
: 2844 5 3 walked 
: 2851 3 6 in
: 2856 11 5 ~ 
- 2869
: 2885 2 6 So 
: 2890 5 10 shame 
* 2898 4 13 on 
: 2906 5 8 me 
: 2914 5 10 now
: 2922 4 6 ~ 
- 2927
: 2928 4 10 Flew 
: 2936 4 3 me 
: 2944 4 10 to 
: 2952 5 3 pla
: 2960 2 3 ces 
- 2964
: 2966 2 1 I’d 
: 2970 2 3 ne
: 2974 2 1 ver 
: 2978 3 6 been
: 2982 18 5 ~ 
- 3002
* 3007 4 12 Yeah
* 3013 15 10 ~ 
- 3030
: 3033 4 2 You 
: 3038 4 5 make 
: 3043 4 2 me 
* 3048 9 10 feel 
: 3058 4 9 like 
: 3064 5 9 I 
: 3072 5 9 am 
: 3080 5 9 just 
: 3088 5 9 too 
: 3096 5 7 close
: 3102 2 5 ~ 
: 3105 3 5 to 
* 3109 7 7 love 
: 3117 4 5 you
: 3122 3 7 ~ 
- 3127
: 3150 4 2 I’ve 
: 3155 3 2 been 
: 3159 4 2 locked 
: 3164 4 5 out 
: 3169 3 2 of 
F 3173 3 10 hea
F 3177 2 9 ven 
- 3180
: 3181 3 2 There 
: 3186 3 2 is 
: 3191 4 4 no
: 3197 4 6 thing 
: 3203 6 6 I 
: 3211 6 6 can 
: 3219 6 9 real
* 3226 3 6 ~
* 3230 3 4 ly 
: 3237 18 4 say 
- 3257
: 3259 4 6 Hey
: 3264 3 4 ~, 
: 3268 12 4 yeah 
- 3282
: 3286 4 2 You 
: 3292 4 5 make 
: 3298 4 2 me 
* 3304 7 10 feel
* 3312 3 9 ~ 
: 3316 14 9 like, 
- 3332
: 3343 3 6 I 
: 3347 4 2 can’t 
: 3352 3 6 hide 
: 3356 5 4 no 
: 3362 7 2 more 
- 3371
: 3389 5 9 I’m 
: 3397 5 9 just 
: 3405 5 9 too 
: 3413 5 7 close
: 3419 2 5 ~ 
: 3422 3 5 to 
* 3426 7 7 love 
: 3434 6 5 you
: 3441 12 7 ~ 
- 3455
: 3469 3 2 I’ve 
: 3473 3 2 been 
: 3477 3 2 locked 
: 3481 3 5 out 
: 3485 3 2 of 
* 3489 6 10 hea
* 3496 4 9 ~
* 3501 15 9 ven
* 3517 8 7 ~ 
- 3527
: 3528 3 5 So 
: 3533 3 3 I’ll 
: 3538 2 1 be 
: 3542 2 3 on 
: 3546 3 1 my 
* 3551 4 -2 way 
- 3557
: 3573 14 15 Oh, 
: 3604 13 5 oh 
- 3619
: 3636 2 8 Trou
: 3641 7 6 ble, 
: 3652 2 8 trou
: 3657 7 6 ble, 
: 3668 2 8 trou
: 3673 7 6 ble 
- 3682
: 3700 14 15 Oh 
- 3716
: 3724 5 9 Too 
: 3732 7 7 close 
: 3740 3 5 to 
* 3744 7 7 love 
: 3752 16 9 you
: 3769 3 10 ~
: 3773 3 9 ~
: 3777 3 7 ~ 
- 3782
: 3784 3 5 So 
: 3789 3 3 I’ll 
: 3794 2 1 be 
: 3798 2 3 on 
: 3801 3 1 my 
: 3806 4 -2 way 
E
