#ARTIST:The Gaslight Anthem
#TITLE:Blue Dahlia
#MP3:The Gaslight Anthem - Blue Dahlia.mp3
#CREATOR:juhuu
#YEAR:2012
#LANGUAGE:English
#BPM:336.2
#GAP:26170
#VIDEO:a=_DuFXs7EOTE,co=handwritten-5af313027770b.jpg,bg=gaslight-anthem-the-4fe0e468d6454.jpg
: 2064 3 -2 kick 
: 2068 3 -2 was 
: 2072 3 -4 all 
: 2076 11 -6 this 
: 2088 8 -6 grief.. 
- 2098
: 2100 4 1 And 
: 2106 5 10 I 
: 2112 7 10 been 
* 2120 7 10 so 
* 2128 7 8 low 
* 2136 7 6 down, 
- 2143
: 2144 3 6 I 
: 2148 3 6 been 
: 2152 7 10 al
: 2160 7 8 most 
: 2168 3 8 le
: 2172 3 8 vel 
: 2176 3 8 with 
: 2180 3 6 the 
: 2184 16 6 ground. 
- 2210
: 2224 3 7 Where’d 
: 2228 3 7 you 
: 2232 3 7 get 
: 2236 11 5 them 
: 2248 38 3 scars? 
- 2290
: 2292 3 7 How 
: 2296 5 7 blue 
: 2302 5 5 is 
: 2308 13 3 your 
: 2322 32 3 heart? 
- 2364
: 2368 3 3 Is 
: 2372 3 5 it 
: 2376 7 7 sad 
: 2384 3 7 e
: 2388 7 7 nough 
: 2396 7 5 to 
: 2404 5 5 bre
: 2410 4 3 ~ak, 
- 2421
: 2424 3 3 She 
: 2428 4 3 said 
: 2434 5 5 “It’s 
: 2440 7 7 sad 
: 2448 3 7 e
: 2452 7 8 nough 
: 2460 7 7 to 
: 2468 5 7 brea
: 2474 4 5 ~k.” 
- 2482
: 2484 3 3 How 
: 2488 5 7 long 
: 2494 5 5 was 
: 2500 7 3 your 
: 2508 32 3 life? 
- 2550
: 2560 3 10 Was 
: 2564 3 10 it 
: 2568 7 10 cold 
: 2576 3 7 and 
: 2580 7 7 strange 
: 2588 7 5 like 
: 2596 12 3 mine? 
- 2620
: 2624 3 3 Are 
: 2628 3 5 you 
: 2632 7 7 man 
: 2640 3 7 e
: 2644 7 7 nough 
: 2652 6 5 to 
: 2660 7 5 lay 
: 2668 8 3 here? 
- 2678
: 2680 3 3 She 
: 2684 4 3 said 
: 2690 5 5 “I’m 
: 2696 7 7 man 
: 2704 3 7 e
: 2708 7 8 nough, 
: 2716 7 7 my 
: 2724 7 7 ba
: 2732 7 5 by, 
- 2739
: 2740 3 3 Come 
: 2744 5 7 see 
: 2750 3 5 a
: 2754 9 3 bout 
: 2764 16 3 me.” 
- 2824
: 3014 3 -9 Did 
: 3018 5 -9 they 
: 3024 7 -2 take 
: 3032 7 -2 you 
: 3040 5 -2 to 
: 3046 4 -9 the 
: 3052 7 -2 car
: 3060 1 -9 ni
: 3062 10 -9 val 
- 3076
: 3078 3 3 To 
: 3082 5 3 get 
: 3088 8 3 locked 
: 3098 5 2 up 
: 3104 8 0 on 
: 3114 3 -2 a 
: 3118 14 -2 right? 
- 3142
: 3154 3 0 Me, 
: 3158 5 0 I 
: 3164 3 0 got 
: 3168 5 0 caught 
: 3174 4 -2 up 
: 3180 3 -5 with 
: 3184 3 -5 the 
: 3188 4 -5 for
: 3194 3 -7 tune 
: 3198 5 -9 tel
: 3204 6 -9 lers 
- 3210
: 3212 3 -9 And 
: 3216 3 -9 the 
: 3220 3 -5 la
: 3224 3 -5 dies 
: 3228 3 -5 with 
: 3232 3 -5 the 
: 3236 5 -5 slee
: 3242 5 -7 py 
: 3248 16 -9 eyes. 
- 3264
* 3266 7 -2 It 
* 3274 7 -2 took 
* 3282 9 -2 years, 
: 3292 7 -5 my 
: 3300 7 -5 ba
