#ARTIST:Incubus
#TITLE:Wish You Were Here
#MP3:Incubus - Wish You Were Here.mp3
#CREATOR:Gollum
#EDITION:Rock Band Store 2011 Vol. 3
#GENRE:Alternative
#YEAR:2001
#LANGUAGE:English
#BPM:340.02
#GAP:10980
#VIDEO:v=8295rOMvtQI,co=wish-you-were-here-5e3ce9f0ef635.jpg,bg=incubus-53ef21a7957b1.jpg
F 0 4 12 Woo 
: 3228 2 8 ~, 
: 3232 25 8 yeah, 
: 3259 3 11 oh
: 3263 1 9 ~
: 3265 3 11 ~
: 3269 10 9 ~
: 3280 2 6 ~, 
: 3284 20 6 no 
- 3306
: 3344 2 11 The 
: 3348 5 13 wo
: 3354 4 11 ~rld’s 
: 3360 2 11 a 
: 3364 3 13 ro
: 3368 2 11 ~l
: 3372 4 11 ler 
: 3381 2 11 coa
: 3384 2 9 ~s
: 3389 12 9 ter 
- 3403
: 3409 2 16 And 
: 3413 6 13 I 
: 3421 4 13 am 
: 3427 2 14 no
: 3430 2 16 ~t 
: 3436 2 16 stra
: 3439 2 13 ~pped 
: 3444 16 13 in 
- 3462
: 3468 2 13 Ooh 
: 3472 2 13 may
: 3476 2 11 be 
: 3480 2 13 I
: 3483 2 11 ~ 
: 3488 2 11 should 
: 3492 2 13 ho
: 3495 2 11 ~ld 
: 3500 4 13 with 
: 3508 4 13 care 
- 3514
: 3516 2 13 But 
: 3520 3 13 my 
: 3525 5 16 hands 
: 3532 6 16 are 
: 3541 4 16 bu
: 3549 5 16 sy 
: 3557 5 18 in 
: 3565 6 18 the 
: 3573 8 18 air 
: 3585 6 18 say
: 3593 8 16 ing 
- 3603
: 3617 3 9 I
: 3621 58 11 ~ 
: 3689 4 14 wish 
: 3697 6 11 you 
: 3705 6 11 were 
* 3713 3 9 he
* 3717 3 11 ~
* 3721 20 9 ~re 
- 3743
: 3745 3 9 I
: 3749 51 11 ~
: 3801 4 13 ~ 
: 3809 12 13 wish 
: 3825 6 13 you 
: 3833 9 13 we
: 3843 2 11 ~re 
- 3847
* 3873 3 9 I
* 3877 60 11 ~
* 3938 2 9 ~ 
: 3944 4 16 wish 
: 3952 6 11 you 
: 3960 6 11 were 
: 3968 4 9 he
: 3973 3 11 ~
: 3977 20 9 ~re 
- 3999
: 4001 2 9 I
: 4004 23 11 ~
: 4028 2 13 ~
: 4031 2 11 ~
: 4034 2 9 ~
: 4037 6 11 ~
: 4044 3 13 ~
: 4048 9 11 ~
: 4058 2 9 ~ 
: 4064 7 9 wi
: 4072 4 4 ~sh 
: 4081 5 1 you 
: 4088 6 4 were 
: 4096 3 9 he
: 4100 3 11 ~
: 4104 17 9 ~re 
- 4123
* 4128 2 9 I
* 4131 23 11 ~
* 4155 2 13 ~
* 4158 2 11 ~
* 4161 2 9 ~
* 4164 7 11 ~
* 4172 3 13 ~
* 4176 18 11 ~
* 4195 2 9 ~ 
* 4201 3 16 wish 
* 4209 6 11 you 
* 4217 15 11 we
* 4233 4 9 ~re 
- 4239
: 4257 54 20 He
: 4312 4 21 ~re 
: 4320 7 21 wi
: 4328 4 18 ~sh 
: 4336 6 16 you 
: 4344 7 16 we
: 4352 4 14 ~re 
: 4360 48 13 here 
E
