#ARTIST:Teddy Swims
#TITLE:Lose Control
#MP3:Teddy Swims - Lose Control.mp3
#CREATOR:DoubleDee
#COVER:Teddy Swims - Lose Control [CO].jpg
#BACKGROUND:Teddy Swims - Lose Control [BG].jpg
#GENRE:Soul
#YEAR:2023
#LANGUAGE:English
#BPM:320
#GAP:5920
#VIDEO:v=FkOpwodhROI,co=https://lastfm.freetls.fastly.net/i/u/ar0/f1138bef3e601f557d2b54c06fdd74da.jpg,bg=swims-teddy-67acc2ec4f351.jpg,preview=41.92,medley=0-1531
: 1705 5 -1 break 
: 1713 3 -1 when 
: 1717 2 -1 I’m 
: 1721 3 -1 with 
: 1729 2 -1 you
: 1732 4 1 ~ 
- 1748
: 1752 7 1 Yeah, 
: 1761 6 1 I 
: 1769 6 1 know, 
: 1777 3 1 I 
: 1781 3 -1 could 
: 1785 2 1 do 
: 1789 2 -1 it 
: 1793 2 1 on 
: 1797 2 -1 my 
: 1801 2 1 o
: 1804 2 -1 ~wn 
- 1806
: 1808 3 -1 But 
: 1813 2 -1 I 
: 1816 4 -1 want 
: 1824 6 -1 that 
: 1833 4 -1 real 
: 1840 3 1 fu
: 1844 3 -1 ~ll 
: 1848 5 -1 moon 
: 1856 5 -1 black 
: 1864 4 -1 ma
: 1869 2 -3 gic 
: 1872 3 -1 and 
: 1877 2 -3 it 
: 1881 5 -1 takes 
: 1889 3 -1 two
: 1893 4 1 ~ 
- 1907
: 1920 4 1 Pro
: 1925 2 -1 ble
: 1929 3 -1 ma
: 1933 3 -1 tic 
- 1946
: 1968 3 1 Prob
: 1973 2 -1 lem 
: 1977 6 -1 is 
: 1985 3 -1 when 
: 1989 3 -1 I’m 
: 1993 4 -1 with 
* 2001 2 4 you
* 2004 3 1 ~, 
: 2008 4 1 I’m 
: 2013 2 -1 an 
: 2017 3 -1 ad
: 2021 3 -3 dict 
- 2034
: 2056 4 -3 And 
: 2061 2 -3 I 
: 2064 6 1 need 
: 2073 3 2 so
: 2077 2 1 ~me 
: 2081 3 1 re
: 2085 2 -1 ~
: 2088 12 -1 lief 
- 2102
: 2104 5 -3 My 
: 2112 7 1 skin 
: 2121 3 2 i
: 2125 3 1 ~n 
: 2129 3 1 you
: 2133 3 -1 ~r 
: 2137 4 -1 teeth 
- 2142
: 2144 5 1 Can’t 
: 2152 3 1 see 
: 2157 2 -1 the 
: 2160 4 1 fo
: 2165 2 -1 ~
: 2168 4 1 rest 
: 2176 3 1 through 
: 2181 2 -1 the 
: 2184 6 1 trees 
- 2191
: 2193 5 1 Got 
: 2200 3 1 me 
: 2208 6 1 down 
: 2216 6 1 on 
: 2224 5 1 my 
: 2232 6 5 knees, 
: 2240 6 5 dar
: 2248 7 6 lin’ 
: 2256 11 8 please, 
* 2273 15 9 oh
* 2289 3 6 ~ 
- 2301
: 2304 16 1 I 
: 2328 19 4 lose 
: 2352 12 6 con
: 2378 7 9 tro
: 2386 4 11 ~
: 2391 5 8 ~
: 2397 4 9 ~
: 2402 2 6 ~
: 2405 2 4 ~
: 2408 3 1 ~
: 2412 2 -1 ~
: 2415 1 1 ~
: 2417 1 -1 ~
: 2419 3 -3 ~
: 2423 2 -1 ~
: 2426 3 1 ~
: 2430 1 -1 ~
: 2432 6 -3 ~l 
- 2445
: 2448 6 1 When 
: 2456 2 -1 you
: 2459 3 1 ~’re 
: 2464 2 -1 no
: 2467 1 1 ~
: 2469 1 0 ~t 
: 2472 4 -1 next 
: 2480 4 -3 to 
: 2488 3 -3 me
: 2492 1 -6 ~
: 2494 1 -8 ~ 
- 2516
: 2560 4 -3 I’m 
: 2569 6 1 fal
: 2576 5 1 ling 
: 2584 3 1 a
: 2592 6 1 part 
: 2600 7 1 right 
: 2608 6 1 in 
: 2616 7 5 front 
: 2624 7 5 of 
: 2632 7 5 you, 
: 2640 6 5 can’t 
: 2648 4 6 you 
: 2656 7 8 see
: 2664 7 6 ~
: 2672 1 4 ~
: 2674 3 1 ~? 
- 2685
: 2688 16 1 I 
: 2712 19 4 lose 
: 2736 12 6 con
: 2762 7 9 tro
: 2770 4 11 ~
: 2775 5 8 ~
: 2781 4 9 ~
: 2786 2 6 ~
: 2789 2 4 ~
: 2792 3 1 ~
: 2796 2 -1 ~
: 2799 1 1 ~
: 2801 1 -1 ~
: 2803 3 -3 ~
: 2807 2 -1 ~
: 2810 3 1 ~
: 2814 1 0 ~
: 2816 2 -1 ~
: 2819 9 -3 ~l 
- 2830
: 2832 3 -1 Whe
: 2836 3 1 ~n 
: 2840 3 0 you
: 2844 3 1 ~’re 
: 2848 3 1 no
: 2852 3 -1 ~t 
: 2856 4 -1 next 
: 2864 3 -3 to
: 2868 3 -6 ~ 
: 2872 11 -3 me, 
: 2898 5 -1 mm-
: 2906 6 -3 hm 
- 2922
: 2936 7 -3 Yea, 
: 2944 6 -3 you’re 
: 2952 7 1 brea
: 2960 6 1 king 
: 2968 7 1 my 
: 2976 6 1 heart, 
: 2984 6 1 ba
: 2992 4 1 by 
- 2998
: 3000 6 5 You 
: 3008 6 5 make 
: 3016 6 5 a 
: 3024 5 5 mess 
: 3032 5 6 of 
: 3040 15 8 me
: 3056 4 6 ~
: 3061 2 4 ~
: 3064 2 1 ~, 
: 3067 4 -1 yeah
: 3072 3 1 ~
: 3076 3 4 ~
: 3080 2 1 ~
: 3083 2 -1 ~
: 3086 9 -3 ~
: 3097 9 -3 ~ 
- 3148
: 3456 12 1 I 
: 3480 14 4 lose 
: 3505 15 6 con
* 3528 21 13 tro
: 3550 2 12 ~
: 3553 1 11 ~
: 3555 8 9 ~
: 3564 1 6 ~
: 3566 2 4 ~
: 3569 2 6 ~
: 3572 2 4 ~
: 3575 2 1 ~
: 3578 2 -1 ~
: 3581 2 1 ~
: 3584 3 -1 ~
: 3588 9 -3 ~l 
- 3598
: 3600 7 1 When 
: 3608 2 -1 you
: 3611 4 1 ~’re 
: 3616 7 1 not 
* 3624 3 4 he
* 3628 3 1 ~re 
: 3632 3 1 wi
: 3636 2 -1 ~th 
: 3640 5 -1 me
: 3646 14 -3 ~, 
: 3681 8 1 mm
: 3690 2 -1 ~ 
- 3702
: 3712 4 -3 I’m 
: 3721 6 1 fal
: 3728 5 1 ling 
: 3736 3 1 a
: 3744 6 1 part 
: 3752 7 1 right 
: 3760 6 1 in 
: 3768 7 5 front 
: 3776 7 5 of 
: 3784 7 5 you, 
: 3792 6 5 can’t 
: 3800 4 6 you 
: 3808 7 8 see
: 3816 7 6 ~
: 3824 1 4 ~
: 3826 3 1 ~? 
- 3837
* 3840 5 6 I
* 3846 1 4 ~
* 3848 8 1 ~ 
* 3864 5 6 lo
* 3870 2 4 ~
* 3873 4 1 ~se 
: 3888 18 6 co
: 3907 4 4 ~n
: 3913 7 9 tro
: 3922 4 11 ~
: 3927 5 8 ~
: 3933 4 9 ~
: 3938 2 6 ~
: 3941 2 4 ~
: 3944 2 1 ~
: 3947 2 -1 ~
: 3950 2 1 ~
: 3953 2 4 ~
: 3956 2 1 ~
: 3959 2 -1 ~
: 3962 7 -3 ~
: 3970 5 1 ~
: 3976 1 0 ~
: 3978 2 1 ~l 
- 3982
* 3984 7 -1 When 
: 3992 3 0 you
: 3996 3 -1 ~’re 
: 4000 3 1 no
: 4004 4 -1 ~t 
: 4010 2 -1 he
: 4013 3 -3 ~re 
: 4017 6 -3 with 
: 4024 2 -1 me
: 4027 2 -3 ~
: 4030 5 -6 ~, 
: 4050 2 -3 hm
: 4053 4 -1 ~ 
: 4058 6 -3 mm 
- 4074
: 4088 7 -3 Yeah, 
: 4096 6 -3 you’re 
: 4104 7 1 brea
: 4112 6 1 king 
: 4120 7 1 my 
: 4128 6 1 heart, 
: 4136 6 1 ba
: 4144 5 1 by 
- 4150
* 4152 6 11 You 
: 4160 6 11 make 
: 4168 6 11 a 
: 4176 5 11 mess 
: 4184 3 6 o
: 4188 3 4 ~f 
* 4192 18 8 me
* 4211 6 6 ~
* 4218 3 4 ~
* 4222 2 1 ~
* 4225 3 -1 ~
* 4229 2 1 ~
* 4232 4 -1 ~
* 4237 25 -3 ~ 
E
