#ARTIST:Daughtry
#TITLE:Long Live Rock & Roll
#MP3:Daughtry - Long Live Rock & Roll.mp3
#CREATOR:QuantenspringerXXX
#YEAR:2013
#LANGUAGE:English
#BPM:228.22
#GAP:9690
#VIDEO:v=lru6-J7uQjo,co=baptized-592be16bad4c4.jpg,bg=daughtry-4f627c9971454.jpg
: 1257 8 2 care 
- 1269
: 1271 2 -2 But 
: 1274 3 3 me 
: 1278 2 3 and 
: 1281 4 3 you, 
: 1286 3 5 and 
: 1290 2 2 all 
: 1293 2 2 our 
: 1297 5 2 friends, 
: 1303 2 2 keep 
: 1306 2 0 li
: 1309 2 0 ving 
: 1312 3 0 on 
: 1316 4 -2 that 
: 1321 3 -2 prayer 
- 1326
: 1328 5 0 Sing 
: 1334 1 -2 it, 
: 1341 6 2 long 
: 1348 5 2 live 
: 1354 10 2 rock, 
: 1374 6 2 long 
: 1381 5 2 live 
: 1387 10 2 roll 
- 1404
: 1407 4 7 Long 
: 1412 4 7 live 
: 1418 3 5 big 
: 1422 1 2 gui
: 1425 5 2 tars 
: 1432 2 2 and 
: 1435 2 0 mu
: 1438 3 0 sic 
: 1442 2 0 for 
: 1446 1 -2 the 
: 1448 5 2 soul 
- 1455
: 1457 4 0 Sing 
: 1462 2 -2 it, 
: 1470 6 2 don’t 
: 1477 5 2 give 
: 1483 8 2 up, 
: 1502 5 2 don’t 
: 1508 5 2 grow 
: 1515 9 2 old 
- 1531
: 1534 6 7 Long 
: 1541 3 7 live 
: 1546 3 5 cra
: 1551 1 2 zy 
: 1553 5 2 nights 
: 1559 3 2 and 
: 1563 1 0 re
: 1565 5 0 cords 
: 1571 3 0 made 
: 1575 1 -2 of 
: 1577 5 2 gold 
- 1584
: 1586 4 -2 Long 
: 1591 3 2 live 
: 1595 14 3 rock 
: 1610 12 2 a
: 1623 1 0 nd 
: 1625 22 0 roll 
- 1649
F 1651 4 2 Oh 
F 1656 2 5 oh 
* 1659 15 7 ooohhh 
* 1675 15 5 oh 
* 1691 16 2 oohh 
- 1713
* 1715 3 2 Oh 
* 1719 2 5 oh 
* 1722 16 7 ooohhh 
* 1739 15 5 oh 
* 1755 15 0 oohh 
- 1776
* 1779 3 2 Oh 
* 1783 2 5 oh 
* 1786 16 7 ooohhh 
* 1803 15 5 oh 
* 1819 16 2 oohh 
- 1840
* 1842 4 2 Oh 
* 1847 3 5 oh 
* 1851 15 7 ooohhh 
* 1867 15 5 oh 
* 1883 16 0 oohh 
- 1910
: 1914 4 2 Went 
: 1919 1 0 to 
: 1922 3 2 bed 
: 1927 1 0 in 
: 1929 6 2 Cleve
: 1936 5 0 land 
- 1944
: 1946 3 -2 Woke 
: 1951 3 2 up 
: 1956 1 0 in 
: 1958 4 2 Ten
: 1963 1 5 nes
: 1965 8 2 see 
- 1982
: 1985 1 -2 No 
: 1987 3 3 mat
: 1991 2 3 ter 
: 1994 3 3 where 
: 1998 5 3 I’ll 
: 2004 5 2 roam 
: 2010 3 2 to
: 2014 3 2 night 
- 2020
* 2022 2 2 I’m 
* 2025 4 0 cha
* 2030 6 0 sing 
* 2037 4 0 his
* 2042 2 -2 to
* 2045 9 2 ry 
- 2064
: 2081 2 2 We 
: 2085 4 5 still 
: 2090 2 7 ar
: 2093 2 7 gue 
: 2096 4 7 ’bout 
: 2101 4 7 who’s 
: 2106 2 5 bet
: 2109 5 2 ter, 
: 2120 1 2 The 
: 2122 2 2 Bea
: 2125 3 0 tles 
: 2130 2 0 or 
: 2133 1 -2 The 
: 2135 5 2 Stones 
- 2145
: 2147 2 2 They’re 
: 2150 3 5 for
: 2154 3 7 e
: 2158 1 7 ver 
: 2160 3 7 twen
: 2164 1 7 ty
: 2166 3 5 se
: 2170 4 2 ven 
: 2179 2 2 Jim
: 2182 1 2 my, 
: 2184 3 0 Ja
: 2188 4 0 nis, 
: 2195 2 0 Bri
: 2198 1 -2 an 
: 2200 5 2 Jones 
- 2209
: 2211 2 -2 And 
: 2214 2 2 we 
: 2217 5 3 stand 
: 2223 2 3 here 
: 2226 2 3 in 
: 2229 3 3 their 
: 2233 3 2 me
: 2237 2 2 m’ry 
: 2240 5 2 ’cause 
: 2246 1 2 their 
: 2248 6 0 songs, 
: 2255 1 0 they 
: 2257 4 0 still 
: 2262 2 -1 sur
: 2265 5 2 vive 
- 2275
: 2277 2 -2 So 
: 2280 3 3 throw 
: 2284 5 3 your 
: 2290 4 3 ligh
: 2295 3 3 ters 
: 2299 3 2 up 
: 2303 2 2 and 
: 2306 3 2 dar
: 2310 2 2 ling 
: 2313 3 0 sing 
: 2317 4 0 with 
: 2322 2 0 me 
: 2325 3 -2 to 
: 2329 5 -2 night 
- 2336
F 2338 1 0 Come 
F 2340 3 -2 on, 
: 2349 6 2 long 
: 2356 5 2 live 
: 2362 9 2 rock, 
: 2382 5 2 long 
: 2388 6 2 live 
: 2395 8 2 roll 
- 2412
: 2415 4 7 Long 
: 2420 4 7 live 
: 2426 2 5 big 
: 2429 2 2 gui
: 2432 5 2 tars 
: 2439 2 2 and 
: 2442 3 0 mu
: 2446 2 0 sic 
: 2449 3 0 for 
: 2453 1 -2 the 
: 2456 5 2 soul 
- 2463
: 2465 5 0 Sing 
: 2471 2 -2 it, 
: 2479 4 2 don’t 
: 2485 5 2 give 
: 2491 7 2 up, 
: 2509 5 2 don’t 
: 2515 5 2 grow 
: 2521 8 2 old 
- 2538
: 2541 6 7 Long 
: 2548 5 7 live 
: 2554 3 5 cra
: 2558 2 2 zy 
: 2561 5 2 nights 
: 2567 3 2 and 
: 2571 1 0 re
: 2573 4 0 cords 
: 2578 5 0 made 
: 2584 1 -2 of 
: 2586 4 2 gold 
- 2591
: 2593 4 -2 Long 
: 2598 3 2 live 
: 2602 15 3 rock 
: 2618 12 2 a
: 2631 1 0 nd 
: 2633 22 0 roll 
- 2665
: 2669 6 2 Long 
: 2676 5 2 live 
: 2682 10 2 rock, 
: 2701 7 2 long 
: 2709 4 2 live 
: 2714 11 2 roll 
- 2732
: 2735 4 7 Long 
: 2740 5 7 live 
: 2746 4 5 big 
: 2751 1 2 gui
: 2753 4 2 tars 
: 2758 2 2 and 
: 2761 3 0 mu
: 2765 3 0 sic 
: 2770 2 0 for 
: 2774 1 -2 the 
: 2776 4 2 soul 
- 2782
: 2784 5 0 Sing 
: 2790 2 -2 it, 
: 2799 5 2 don’t 
: 2805 4 2 give 
: 2810 11 2 up, 
: 2830 6 2 don’t 
: 2837 3 2 grow 
: 2842 14 2 old 
- 2860
: 2862 5 7 Long 
: 2868 5 7 live 
: 2874 3 5 cra
: 2878 1 2 zy 
: 2880 5 2 nights 
: 2887 2 2 and 
: 2890 1 0 re
: 2892 5 0 cords 
: 2898 3 0 made 
: 2902 2 -2 of 
: 2905 7 2 gold 
- 2942
* 2977 4 -2 Long 
* 2982 3 2 live 
* 2986 15 3 rock 
* 3002 12 2 and 
* 3015 31 0 ro
* 3047 7 -2 ~ll 
E
