#ARTIST:Bad Religion
#TITLE:American Jesus
#MP3:Bad Religion - American Jesus.mp3
#CREATOR:Canni
#EDITION:[SC]-Songs
#YEAR:1993
#LANGUAGE:English
#BPM:363.3
#GAP:22120
#VIDEO:v=12kcpP-8jfM,co=american-jesus-51bbb1028743a.jpg,bg=bad-religion-4ddb9ee96566c.jpg
: 2332 2 -3 the 
: 2336 2 -3 ar
: 2339 3 -5 my 
: 2343 5 -3 wields, 
- 2350
: 2357 2 -1 Ex
: 2360 2 0 pres
: 2364 3 -3 sion 
: 2368 3 -3 on 
: 2372 2 -5 the 
: 2376 2 -3 fa
: 2380 2 -3 ces 
: 2384 2 -3 of 
: 2388 2 -1 the 
: 2392 5 0 star
: 2399 5 -1 ving 
: 2407 6 0 mil
: 2415 3 -1 lions, 
- 2419
: 2419 2 -1 The 
: 2422 2 0 pow
: 2426 2 -3 er 
: 2431 2 -3 of 
: 2435 2 -5 the 
: 2439 5 -3 man. 
- 2446
: 2451 3 -1 The 
: 2455 3 0 fuel 
: 2459 3 -3 that 
: 2463 3 -3 drives 
: 2467 3 -5 the 
: 2471 4 -3 Klan, 
- 2477
: 2480 2 -3 He’s 
: 2483 3 -1 the 
: 2487 3 0 mo
: 2491 2 -3 tive 
: 2495 3 -3 and 
: 2499 2 -5 the 
: 2503 2 -3 con
: 2507 2 -3 science 
: 2511 2 -3 of 
: 2515 2 -1 the 
: 2519 5 0 mur
: 2527 5 -1 de
: 2535 4 -1 rer 
- 2541
: 2542 2 -3 He’s 
: 2546 2 -1 the 
: 2550 3 0 prea
: 2554 2 -3 cher 
: 2558 2 -3 on 
: 2563 2 -5 T
: 2567 8 -3 V, 
- 2577
: 2579 2 -1 The 
: 2583 2 0 false 
: 2587 2 -3 sin
: 2591 2 -3 ce
: 2595 2 -5 ri
: 2599 4 -3 ty, 
- 2605
: 2612 2 -1 The 
: 2615 3 0 form 
: 2619 2 -3 let
: 2623 2 -3 ter 
: 2627 3 -5 that’s 
: 2631 3 -3 writ
: 2635 3 -3 ten 
: 2640 3 -3 by 
: 2644 3 -1 the 
: 2648 6 0 big 
: 2655 6 -1 com
: 2663 6 0 pu
: 2671 3 -1 ters, 
- 2675
: 2676 2 0 The 
: 2680 3 -3 nu
: 2684 2 -3 cle
: 2688 5 -3 ar 
: 2695 7 -3 bombs, 
- 2704
: 2708 3 -1 The 
: 2712 3 0 kids 
: 2716 2 -3 with 
: 2720 5 -3 no 
: 2728 5 -3 moms 
- 2735
: 2737 2 -3 And 
: 2740 2 -1 I’m 
: 2744 2 0 fear
: 2748 2 -3 ful 
: 2752 2 -3 that 
: 2756 2 -5 he’s 
: 2760 4 -3 in
: 2767 6 0 side 
: 2776 12 4 me
: 2789 2 2 ~
: 2792 7 0 ~
: 2800 6 -1 ~
: 2808 11 0 ~ 
- 2821
* 2825 10 4 Yeah 
- 2837
: 2848 5 -3 We’ve 
: 2855 6 0 got 
: 2863 3 0 the 
: 2867 3 0 A
: 2872 2 2 me
: 2876 3 2 ri
: 2880 6 0 can 
: 2888 6 -1 Je
: 2896 7 -3 sus 
- 2905
: 2912 2 -3 See 
: 2916 2 -1 him 
: 2920 5 0 on 
: 2928 6 -1 the 
: 2936 3 -3 in
: 2941 4 -5 ter
: 2949 12 2 state 
- 2963
: 2975 6 -3 We’ve 
: 2983 7 0 got 
: 2991 2 0 the 
: 2995 3 0 A
: 3000 2 2 me
: 3004 2 2 ri
: 3008 5 0 can 
: 3015 6 -1 Je
: 3023 5 -3 sus 
- 3030
: 3041 3 4 E
: 3045 2 4 xer
: 3049 2 4 ci
: 3052 3 4 sing 
: 3057 2 4 his 
: 3061 3 4 au
: 3065 6 4 tho
: 3073 6 5 ri
: 3081 6 4 ty
: 3088 1 2 ~
: 3090 8 4 ~ 
- 3100
: 3106 5 -3 We’ve 
: 3113 6 0 got 
: 3121 3 0 the 
: 3125 3 0 A
: 3129 3 2 me
: 3133 3 2 ri
: 3138 6 0 can 
: 3146 6 -1 Je
: 3154 7 -3 sus 
- 3163
: 3170 2 -3 Bol
: 3174 2 -1 ste
: 3178 5 0 ring 
: 3185 7 -1 Na
: 3194 2 -3 tio
: 3198 4 -5 nal 
: 3206 9 2 faith 
- 3217
: 3232 6 -3 We’ve 
: 3241 5 0 got 
: 3249 3 0 the 
: 3253 3 0 A
: 3257 3 2 me
: 3261 3 2 ri
: 3265 5 0 can 
: 3273 7 -1 Je
: 3281 3 -3 sus 
- 3286
: 3290 6 4 O
: 3298 5 2 ver
: 3306 6 0 whel
: 3314 5 -1 ming 
: 3322 5 2 mil
: 3330 5 0 lions 
: 3338 5 -1 eve
: 3346 6 -3 ry 
* 3354 40 -3 day 
- 3396
* 3402 10 4 Yeah! 
E
