#ARTIST:Sasha Alex Sloan feat. Sam Hunt
#TITLE:When Was It Over?
#MP3:Sasha Alex Sloan feat. Sam Hunt - When Was It Over?.mp3
#CREATOR:mus31
#YEAR:2021
#LANGUAGE:English
#BPM:200.45
#GAP:7590
#VIDEO:v=7HQxthkeOB8,co=https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d0/da/dc/d0dadcb8-4949-618d-b40a-b93304e9de48/886449212767.jpg/5000x5000bb.jpg,bg=https://dynamicmedia.livenationinternational.com/Media/t/l/y/0fe8252d-ac61-47a0-9aeb-00c77ee018c4.jpg
: 1451 3 10 not 
: 1455 1 3 ov
: 1457 2 3 er 
: 1461 3 6 for 
: 1465 6 6 me 
- 1473
* 1548 2 10 It’s 
* 1551 3 10 still 
* 1555 3 10 not 
* 1559 2 11 ov
* 1562 2 10 er 
* 1565 3 8 for 
* 1569 4 8 me
* 1574 5 6 ~ 
- 1581
: 1676 2 6 I’m 
: 1679 3 8 still 
: 1683 2 6 hold
: 1686 3 8 in’ 
: 1690 1 10 on
: 1692 2 11 to 
: 1695 4 10 you 
- 1701
: 1702 2 6 But 
: 1705 2 8 I 
: 1708 3 6 know 
: 1712 3 8 you’re 
: 1716 2 10 al
: 1719 2 11 read
: 1722 8 10 y 
: 1734 5 3 gone
: 1740 6 1 ~ 
- 1748
: 1780 2 6 I’m 
: 1783 4 8 still 
: 1788 1 6 wak
: 1790 2 8 in’ 
: 1793 3 10 up 
: 1797 2 11 to 
: 1800 5 10 you 
- 1806
: 1806 3 6 I’ve 
: 1810 2 8 been 
: 1813 3 6 hold
: 1817 2 8 in’ 
: 1820 2 10 on 
: 1823 3 11 for 
: 1827 4 10 too 
: 1838 3 8 long
: 1842 7 6 ~ 
- 1851
: 1872 2 10 When 
: 1875 3 13 was 
: 1879 3 10 it 
: 1883 3 13 ov
: 1887 8 15 er, 
: 1905 3 10 for 
: 1909 6 8 you? 
- 1917
: 1924 3 10 When 
: 1928 3 13 was 
: 1932 2 10 it 
: 1935 3 13 ov
: 1939 4 15 er? 
- 1945
: 1977 2 10 When 
: 1980 3 13 was 
: 1984 2 10 the 
: 1987 4 13 mo
: 1992 7 15 ment, 
: 2010 2 10 you 
: 2013 6 8 knew 
- 2021
: 2026 2 6 That 
: 2029 3 11 you 
: 2033 2 10 were 
: 2036 2 8 gon
: 2039 3 6 na 
: 2043 3 8 walk 
: 2047 4 8 out 
: 2052 1 10 e
: 2054 2 3 ven
: 2057 2 3 tual
: 2060 5 6 ly? 
- 2067
: 2075 3 3 Tell 
: 2079 2 3 me, 
: 2082 3 10 when 
: 2086 2 13 was 
: 2089 2 10 it 
: 2092 3 13 ov
: 2096 8 15 er, 
: 2113 3 10 for 
: 2117 6 8 you? 
- 2125
F 2135 2 5 When 
F 2139 1 6 was 
F 2141 3 5 it 
F 2145 2 5 ov
F 2148 7 6 er? 
- 2157
: 2186 3 10 When 
: 2190 2 13 was 
: 2193 2 10 the 
: 2196 3 13 mo
: 2201 7 15 ment 
: 2218 3 10 you 
: 2222 8 8 knew 
- 2232
: 2236 2 6 That 
: 2239 2 11 you 
: 2242 2 10 were 
: 2245 2 8 gon
: 2248 3 6 na 
: 2252 3 8 walk 
: 2256 6 8 out 
: 2263 1 10 e
: 2265 2 3 ven
: 2268 2 3 tual
: 2271 4 6 ly? 
- 2277
: 2281 3 8 It’s 
: 2285 3 8 still 
: 2289 3 10 not 
: 2293 3 3 ov
: 2297 1 3 er 
: 2299 4 6 for 
: 2304 9 6 me 
- 2315
* 2386 2 10 It’s 
* 2389 2 10 still 
* 2392 3 10 not 
* 2396 2 11 ov
* 2399 3 10 er 
* 2403 3 8 for 
* 2408 3 8 me
* 2412 5 6 ~ 
E
