#ARTIST:David Guetta, Teddy Swims, Tones and I
#TITLE:Gone Gone Gone
#MP3:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone.mp3
#CREATOR:DoubleDee
#COVER:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [CO].jpg
#BACKGROUND:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [BG].jpg
#GENRE:Pop, Dance
#YEAR:2025
#LANGUAGE:English
#BPM:262
#GAP:1350
#VIDEO:v=_kwiNpRZlDI,co=gone-gone-gone-6903c482be207.jpg,preview=44.4,medley=0-1145
: 1468 3 4 want 
: 1472 3 2 you 
: 1476 3 -1 when 
: 1480 2 -3 you’re 
* 1484 1 -3 gone
* 1486 1 -1 ~
* 1488 1 -3 ~
* 1490 1 -6 ~
* 1492 3 -8 ~
* 1496 3 -10 ~
* 1500 1 -8 ~
* 1502 5 -6 ~
* 1508 7 -3 ~
* 1516 3 -1 ~ 
- 1525
: 1528 3 4 We
: 1532 3 6 ~ 
: 1536 3 4 loved 
: 1540 3 2 the 
: 1544 15 2 light, 
: 1560 3 -1 yeah, 
- 1573
: 1584 3 6 Like 
: 1588 3 6 a 
: 1592 3 6 moth 
: 1600 3 4 to 
: 1604 3 4 a 
: 1608 27 1 flame 
- 1644
: 1648 3 6 But 
: 1652 3 2 I 
: 1656 3 4 knew 
: 1660 3 2 that 
: 1664 3 4 it 
: 1668 3 2 was 
: 1672 7 4 some
: 1680 6 4 thing 
: 1688 3 4 spe
: 1692 3 2 cial 
: 1696 3 4 from 
: 1700 3 2 the 
: 1704 3 4 start 
- 1717
: 1728 3 6 Had 
: 1732 3 2 that 
: 1736 7 4 good, 
: 1744 7 4 bad 
: 1752 3 4 lo
: 1756 3 2 vin’ 
: 1760 3 4 in 
: 1764 3 2 my 
: 1768 3 4 hea
: 1772 4 6 ~rt 
- 1782
: 1784 3 6 And 
: 1788 3 4 now 
: 1792 3 2 I 
: 1796 3 -1 need 
: 1800 3 -3 a 
: 1804 11 6 se
: 1816 6 6 quel 
- 1832
: 1840 3 6 To 
: 1844 3 6 the 
: 1848 3 6 mo
: 1852 3 9 vie 
: 1856 3 6 that 
: 1860 3 4 we 
: 1864 3 2 made
: 1868 11 4 ~
: 1880 4 6 ~ 
- 1894
: 1904 3 6 I’ll 
: 1908 3 6 keep 
: 1912 3 6 on 
: 1916 3 6 run
: 1920 3 6 nin’ 
: 1924 3 6 the 
: 1928 7 7 scenes, 
: 1936 3 6 all 
: 1940 3 4 this 
: 1944 3 6 ac
: 1948 3 7 ~
: 1952 3 6 ting
: 1956 3 4 ~ 
: 1960 3 6 re
: 1964 3 7 ~ck
: 1968 7 6 le
: 1976 3 4 ~ss 
- 1982
* 1984 3 11 All 
* 1988 3 11 this 
* 1992 6 10 love, 
* 2000 3 6 that 
: 2008 3 8 love
: 2012 3 10 ~ 
: 2016 3 10 in 
: 2024 3 11 pai
: 2028 3 13 ~n 
- 2031
: 2032 3 13 I 
: 2036 3 13 on
: 2040 3 13 ly 
: 2044 3 14 want 
: 2048 3 11 you 
: 2052 3 11 when 
: 2056 3 11 you’re 
: 2060 11 11 gone
: 2072 12 14 ~ 
- 2094
: 2108 3 6 Play
: 2112 3 4 ing 
: 2116 3 2 like 
: 2120 3 -1 we’re 
: 2124 3 4 done
: 2128 8 6 ~
: 2137 2 4 ~, 
: 2140 3 4 done
: 2144 3 6 ~
: 2148 3 4 ~, 
: 2152 3 4 done
: 2156 1 2 ~
: 2158 3 -1 ~ 
- 2169
: 2172 3 9 I 
: 2176 3 11 love 
: 2180 3 9 your 
: 2184 3 9 game
: 2188 3 11 ~
: 2192 3 9 ~
: 2196 3 11 ~
: 2200 3 9 ~
: 2204 4 11 ~
: 2209 2 9 ~
: 2212 2 6 ~
: 2215 1 4 ~
: 2217 9 2 ~ 
- 2233
: 2236 3 9 Drive 
: 2240 3 11 me 
: 2244 3 9 in
: 2248 3 9 sane
: 2252 3 11 ~
: 2256 3 9 ~
: 2260 3 11 ~
: 2264 3 9 ~
: 2268 3 11 ~
: 2272 3 9 ~
: 2276 1 6 ~
: 2278 2 4 ~
: 2281 5 2 ~ 
- 2286
: 2288 3 4 I 
: 2292 3 6 on
: 2296 3 9 ly 
: 2300 3 6 want 
: 2304 3 4 you 
: 2308 3 4 when 
: 2312 3 2 you’re 
: 2316 3 4 gone
: 2320 7 6 ~
: 2328 3 4 ~, 
: 2332 7 6 gone
: 2340 3 4 ~, 
: 2344 3 4 gone
: 2348 1 2 ~
: 2350 1 -1 ~
: 2352 9 2 ~ 
- 2362
: 2364 3 5 Play
: 2368 3 4 ing 
: 2372 3 4 like 
: 2376 3 2 we’re 
: 2380 3 4 done
: 2384 7 6 ~
: 2392 3 4 ~, 
: 2396 7 6 done
: 2404 3 4 ~, 
: 2408 11 4 done
: 2420 6 6 ~ 
- 2426
: 2428 3 9 I 
: 2432 3 11 love 
: 2436 3 9 your 
: 2440 3 9 game
: 2444 3 11 ~
: 2448 3 9 ~
: 2452 3 11 ~
: 2456 3 9 ~
: 2460 3 11 ~
: 2465 2 9 ~
: 2468 2 6 ~
: 2471 1 4 ~
: 2473 6 2 ~ 
- 2488
: 2492 3 9 Drive 
: 2496 3 11 me 
: 2500 3 9 in
: 2504 3 9 sane
: 2508 3 11 ~
: 2512 3 9 ~
: 2516 3 11 ~
: 2520 3 9 ~
: 2524 3 11 ~
: 2528 3 9 ~
: 2532 4 11 ~
: 2537 5 14 ~ 
- 2542
: 2544 3 4 I 
: 2548 3 6 on
: 2552 3 6 ly 
: 2556 3 4 want 
: 2560 3 2 you 
: 2564 3 -1 when 
: 2568 3 -3 you’re 
- 2588
: 2608 3 4 I 
: 2612 3 6 on
: 2616 3 6 ly 
: 2620 3 6 want 
: 2624 3 9 you 
: 2628 3 6 when 
: 2632 3 4 you’re 
: 2636 2 6 gone
: 2639 6 4 ~
: 2646 4 6 ~ 
- 2660
: 2672 3 4 I 
: 2676 3 6 on
: 2680 3 6 ly 
: 2684 3 6 want 
: 2688 3 9 you 
: 2692 3 6 when 
: 2696 3 4 you’re 
: 2700 3 4 gone
: 2704 1 2 ~
: 2706 10 -1 ~ 
- 2726
: 2736 3 4 I 
: 2740 3 6 on
: 2744 3 6 ly 
: 2748 3 6 want 
: 2752 3 4 you 
: 2756 3 4 when 
* 2760 3 4 you’re 
* 2764 10 1 gone 
- 2784
: 2800 3 4 I 
: 2804 3 6 on
: 2808 3 6 ly 
: 2812 3 9 want 
: 2816 3 6 you 
: 2820 3 4 when 
: 2824 3 2 you’re 
: 2828 3 4 gone
: 2832 1 2 ~
: 2834 6 -1 ~
: 2841 9 2 ~
: 2851 1 -1 ~
: 2853 1 -3 ~
: 2855 2 -1 ~ 
- 2862
: 2864 3 6 I 
: 2868 3 6 on
: 2872 3 6 ly 
: 2876 3 6 want 
: 2880 3 4 you 
: 2884 3 4 when 
: 2888 3 4 you’re 
: 2892 14 1 gone 
- 2916
: 2928 3 6 I 
: 2932 3 6 on
: 2936 3 6 ly 
: 2940 3 4 want 
: 2944 3 2 you 
: 2948 3 -1 when 
: 2952 3 -3 you’re 
* 2956 3 6 gone
* 2960 1 4 ~
* 2962 1 2 ~
* 2964 7 6 ~
* 2972 1 4 ~
* 2974 1 2 ~
* 2976 1 4 ~
* 2978 1 2 ~
* 2980 1 -1 ~
* 2982 1 -3 ~, 
* 2984 3 -1 oh
* 2988 8 2 ~ 
- 2998
: 3000 7 7 Want 
: 3008 3 7 you 
: 3012 3 7 when 
: 3016 3 6 you’re 
: 3020 11 6 gone, 
: 3036 11 10 oh
: 3048 3 11 ~
: 3052 3 13 ~ 
- 3055
: 3056 3 13 I 
: 3060 3 13 on
: 3064 3 13 ly 
: 3068 3 13 want 
: 3072 3 11 you 
: 3076 3 11 when 
: 3080 3 11 you’re 
: 3084 7 11 gone 
- 3101
: 3120 7 14 I 
: 3128 7 13 know 
: 3136 7 9 I 
: 3144 7 9 love 
: 3152 7 11 to 
: 3160 3 9 screa
: 3164 3 11 ~m 
: 3168 7 11 your 
: 3176 6 9 name
: 3183 7 11 ~ 
- 3194
: 3196 3 9 I 
: 3200 3 11 love 
: 3204 3 9 your 
: 3208 7 11 game
: 3216 3 9 ~
: 3220 3 11 ~
: 3224 3 9 ~
: 3228 3 11 ~
: 3232 3 9 ~
: 3236 3 11 ~
: 3240 10 14 ~ 
- 3257
: 3260 3 14 Drive 
: 3264 3 14 me 
: 3268 3 14 in
: 3272 7 13 sane
: 3280 3 11 ~
: 3284 3 13 ~
: 3288 3 11 ~
: 3292 3 13 ~
: 3296 3 11 ~
: 3300 9 13 ~ 
- 3310
: 3312 3 16 I 
: 3316 3 18 on
: 3320 3 18 ly 
: 3324 3 16 want 
: 3328 3 14 you 
: 3332 3 11 when 
: 3336 9 9 you’re 
* 3352 3 13 gone
* 3356 13 14 ~
* 3370 5 11 ~ 
E
