#ARTIST:OK Go
#TITLE:Here It Goes Again
#MP3:OK Go - Here It Goes Again.mp3
#CREATOR:B3rnh4rd
#YEAR:2006
#LANGUAGE:English
#BPM:396.09
#GAP:19380
#VIDEO:v=dTAAsCNK7RA,co=here-it-goes-again-609c24ffd6778.jpeg,bg=ok-go-4f3ad67802006.jpg
* 2196 5 7 Oh 
* 2207 2 7 oh
* 2213 6 6 ~, 
* 2282 5 7 oh 
* 2288 2 7 here 
* 2291 3 5 it 
* 2298 5 7 goe
* 2304 8 12 ~s 
- 2314
: 2331 3 7 Yeah
: 2340 2 5 ~, 
: 2357 5 7 oh 
: 2363 3 7 here 
: 2367 3 7 it 
: 2375 3 7 goes 
: 2379 1 7 a
: 2382 12 7 gain 
- 2396
* 2455 4 7 Hey 
* 2466 4 7 hey
* 2472 5 5 ~, 
* 2542 5 6 oh 
* 2548 3 7 here 
* 2552 2 7 it 
* 2558 4 7 goe
* 2566 4 0 ~s 
- 2572
F 2627 10 0 Alright 
- 2639
* 2782 2 4 I 
* 2787 2 4 guess 
* 2792 2 4 there’s 
* 2798 5 4 got
* 2804 2 4 ta 
* 2809 4 4 be 
* 2814 2 5 a 
* 2820 3 4 break 
* 2825 5 2 in 
* 2831 4 2 the 
* 2836 4 2 mo
* 2841 4 2 no
* 2848 3 2 to
* 2852 3 2 ny 
- 2857
: 2858 2 2 But 
: 2864 4 2 Je
: 2869 3 0 sus 
: 2874 3 0 when 
: 2878 1 0 it 
: 2880 6 0 rains 
: 2891 2 0 how 
: 2894 2 0 it 
: 2902 8 0 pours 
- 2912
* 2956 4 4 Throw 
* 2961 3 4 on 
* 2966 2 4 your 
* 2972 4 4 clothes 
* 2978 2 4 the 
* 2983 3 4 se
* 2988 2 5 cond 
* 2994 4 4 side 
* 2999 2 2 of 
* 3005 3 2 Sur
* 3010 4 2 fer 
* 3015 3 2 Ro
* 3021 2 2 sa 
- 3025
: 3026 4 2 And 
: 3031 4 4 you 
: 3037 5 2 leave 
: 3045 4 0 me, 
: 3070 4 2 yeah 
: 3075 5 4 you 
: 3081 5 2 leave 
: 3090 8 0 me 
- 3100
: 3157 5 0 Oh, 
: 3173 5 3 oh 
: 3179 3 3 here 
: 3183 2 3 it 
: 3190 7 3 goes, 
: 3201 3 0 here 
: 3205 2 -3 it 
: 3211 8 3 goes, 
: 3222 4 0 here 
: 3227 2 -3 it 
: 3232 4 3 goes 
: 3238 2 -2 a
: 3241 7 0 gain 
- 3250
: 3271 4 3 Oh 
: 3276 4 3 here 
