#ARTIST:K-391, Alan Walker & Ahrix
#TITLE:End Of Time
#MP3:K-391, Alan Walker & Ahrix - End Of Time.mp3
#CREATOR:Mamba99
#YEAR:2020
#LANGUAGE:English
#BPM:232
#GAP:160
#VIDEO:v=Oj18EikZMuU,co=https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/6f/62/d9/6f62d956-aaad-c548-5777-b1d3dab3fb41/195081074047.jpg/5000x5000bb.jpg
: 1628 2 11 e
: 1632 2 11 ver, 
: 1636 2 12 I’ll 
: 1640 2 11 be 
: 1644 4 9 by 
: 1652 4 2 your 
: 1660 4 9 side 
- 1666
: 1668 4 11 When 
: 1676 4 4 days 
: 1684 4 4 are 
: 1692 4 4 dark 
: 1700 4 2 and 
: 1708 4 7 stars 
: 1716 4 7 don’t 
: 1724 4 7 line 
- 1730
: 1732 4 2 We’re 
: 1740 2 12 al
: 1744 2 12 ways 
: 1748 2 12 and 
: 1752 2 12 for
: 1756 2 11 e
: 1760 2 11 ver 
: 1764 2 12 till 
: 1768 2 11 the 
: 1772 4 9 end 
- 1778
: 1792 1 4 The 
: 1794 2 11 end 
: 1798 4 6 of 
: 1804 6 4 time 
- 1812
: 2308 4 2 I’ll 
: 2316 4 4 cross 
: 2324 4 4 my 
: 2332 4 4 heart 
: 2340 4 2 and 
: 2348 4 7 hope 
: 2356 4 7 to 
: 2364 4 7 die 
- 2370
: 2372 4 2 We’re 
: 2380 2 12 al
: 2384 2 12 ways 
: 2388 2 12 and 
: 2392 2 12 for
: 2396 2 11 e
: 2400 2 11 ver, 
: 2404 2 12 I’ll 
: 2408 2 11 be 
: 2412 4 9 by 
: 2420 4 2 your 
: 2428 4 9 side 
- 2434
: 2436 4 11 When 
: 2444 4 4 days 
: 2452 4 4 are 
: 2460 4 4 dark 
: 2468 4 2 and 
: 2476 4 7 stars 
: 2484 4 7 don’t 
: 2492 4 7 line 
- 2498
: 2500 4 2 We’re 
* 2508 2 12 al
* 2512 2 12 ways 
* 2516 2 12 and 
* 2520 2 12 for
* 2524 2 11 e
* 2528 2 11 ver 
* 2532 2 12 till 
* 2536 2 11 the 
* 2540 4 9 end 
- 2546
: 2560 1 4 The 
: 2562 2 11 end 
: 2566 4 6 of 
: 2572 6 4 time 
- 2580
* 2816 1 4 The 
* 2818 2 11 end 
* 2822 4 6 of 
* 2828 6 4 time 
E
