#ARTIST:Simply Red
#TITLE:Stars
#MP3:Simply Red - Stars.mp3
#CREATOR:k1656
#GENRE:Pop
#YEAR:1991
#LANGUAGE:English
#BPM:207.4
#GAP:20730
#VIDEO:v=kAsTyYAm1dE,co=stars-549147e133699.jpg,bg=simply-red-542d87482e3ca.jpg
: 2164 4 11 So 
: 2172 2 12 ma
: 2176 2 11 ny 
: 2180 2 11 words 
: 2184 2 11 are 
: 2188 2 11 left 
: 2192 4 11 un
: 2200 2 11 spo
: 2204 2 9 ~
: 2208 8 9 ken 
- 2218
: 2232 2 9 The 
: 2236 2 9 si
: 2240 2 9 lent 
: 2244 4 9 voi
: 2252 2 9 ces 
: 2256 2 9 are 
: 2260 2 9 dri
: 2264 2 9 ving 
: 2268 2 9 me 
: 2272 4 19 cra
: 2280 2 11 zy
: 2288 4 7 ~ 
- 2294
: 2304 2 11 As 
: 2308 1 7 for 
: 2310 2 9 all 
: 2314 2 7 the 
: 2318 2 9 pain 
: 2322 4 7 you 
: 2328 2 11 cau
: 2332 1 9 ~
: 2334 4 7 ~sed 
: 2340 8 7 me 
- 2350
: 2364 2 9 Ma
: 2368 2 9 king 
: 2372 2 9 up 
: 2376 2 9 could 
: 2380 2 9 ne
: 2384 2 7 ver 
: 2388 2 9 be 
: 2392 2 9 your 
: 2396 2 7 in
: 2400 4 9 ten
: 2408 8 11 tion 
- 2418
: 2432 6 7 You’ll 
: 2442 1 9 ne
: 2444 2 7 ver 
: 2448 2 9 know 
: 2452 2 7 how 
: 2456 2 9 much 
: 2460 2 7 you 
: 2464 2 4 hu
: 2468 2 2 ~rt 
: 2472 2 -1 me
: 2476 1 -3 ~
: 2478 4 -5 ~ 
- 2484
: 2496 4 11 Stay
: 2502 1 9 ~
: 2504 4 7 ~ 
- 2510
: 2512 4 9 Can’t 
: 2520 4 7 you 
: 2528 2 4 see
: 2532 2 2 ~
: 2536 1 -1 ~
: 2538 1 -3 ~
: 2540 2 -5 ~ 
: 2544 3 -5 that 
: 2548 20 19 I
: 2580 8 18 ~ 
- 2590
: 2592 1 18 Wan
: 2594 2 19 na 
: 2597 11 21 fall 
: 2612 1 19 from 
: 2614 2 19 the 
: 2618 1 18 sta
: 2620 1 19 ~
: 2622 1 18 ~
: 2624 4 16 ~rs 
- 2630
: 2644 2 11 Straight 
: 2648 2 12 in
: 2652 2 11 to 
: 2656 4 14 your 
: 2664 4 12 a
: 2674 1 11 ~rms 
: 2676 20 19 I
: 2708 8 18 ~ 
- 2718
: 2736 2 7 I 
: 2740 2 23 fee
: 2744 2 21 ~
: 2748 4 19 ~l 
: 2756 2 11 you
: 2760 2 9 ~
: 2764 2 7 ~ 
: 2768 2 7 I 
: 2772 2 11 hope 
: 2776 2 7 you 
: 2780 2 9 com
: 2784 2 7 pre
: 2788 4 10 he
: 2796 4 11 ~nd 
- 2801
: 2802 1 11 And 
: 2804 20 19 I
: 2836 8 18 ~ 
- 2846
: 2848 1 18 Wan
: 2850 2 19 na 
: 2853 9 21 fall 
: 2868 1 19 from 
: 2870 2 19 the 
: 2874 1 18 sta
: 2876 1 19 ~
: 2878 1 18 ~
: 2880 4 16 ~rs 
- 2886
: 2900 2 11 Straight 
: 2904 2 12 in
: 2908 2 11 to 
: 2912 4 14 your 
: 2920 4 12 a
: 2930 1 11 ~rms 
: 2932 20 19 I
: 2964 8 18 ~ 
- 2974
: 2992 2 7 I 
: 2996 2 23 fee
: 3000 2 21 ~
: 3004 4 19 ~l 
: 3012 2 11 you
: 3016 2 9 ~
: 3020 2 7 ~, 
: 3024 2 7 I 
: 3028 2 11 hope 
: 3032 2 7 you 
: 3036 2 9 com
: 3040 2 7 pre
: 3044 8 10 he
: 3056 8 11 ~nd 
E
