#ARTIST:Nico Santos
#TITLE:Rooftop
#MP3:Nico Santos - Rooftop.mp3
#CREATOR:Mamba99
#YEAR:2017
#LANGUAGE:English
#BPM:328
#GAP:12190
#VIDEO:v=il3IbtDqgqI,co=rooftop-691f7cf7ebc67.jpg
: 1776 2 12 nig
: 1780 4 9 ht 
- 1786
: 1792 2 9 You 
: 1796 2 16 cut 
: 1800 8 14 so 
: 1812 8 14 deep, 
: 1828 4 16 cut 
: 1836 4 14 so 
: 1844 2 14 de
: 1848 6 9 ep 
- 1856
: 1860 2 16 Hey, 
: 1864 4 16 I 
: 1872 2 19 thou
: 1876 4 16 ght 
: 1884 2 16 that 
: 1888 2 16 the 
: 1892 4 16 trust 
: 1900 4 14 had 
: 1908 6 14 gone 
- 1916
* 1924 2 16 Did
* 1928 4 16 n’t 
* 1936 2 19 se
* 1940 2 16 e 
* 1944 2 16 th
* 1948 4 16 is 
* 1956 2 16 co
* 1960 2 14 min’ 
* 1964 2 14 a
* 1968 6 14 long 
- 1976
: 1984 2 12 You 
: 1988 2 16 made 
: 1992 2 14 me 
: 1996 2 14 a 
: 2000 2 12 be
: 2004 4 16 lie
: 2012 12 9 ve
: 2028 4 7 r 
- 2034
: 2048 2 12 You 
: 2052 2 16 made 
: 2056 2 14 me 
: 2060 2 14 a 
: 2064 2 12 be
: 2068 4 16 lie
: 2076 12 9 ver, 
: 2092 8 16 oh 
- 2102
: 2112 2 9 And 
: 2116 2 7 now 
: 2120 6 9 I’m 
- 2128
: 2140 4 19 I’m 
: 2148 2 19 shou
: 2152 2 19 tin’ 
: 2156 2 19 from 
: 2160 2 19 the 
: 2164 4 21 roof
: 2172 4 16 top, 
: 2180 2 14 ba
: 2184 2 16 by 
- 2188
: 2204 4 19 Tell 
: 2212 4 19 me, 
: 2220 2 19 will 
: 2224 2 19 you 
: 2228 4 21 come 
: 2236 4 16 and 
: 2244 2 14 save 
: 2248 4 12 me
: 2256 4 9 ? 
- 2262
: 2268 4 19 I’m 
: 2276 2 19 shou
: 2280 2 19 tin’ 
: 2284 2 19 from 
: 2288 2 19 the 
: 2292 4 21 roof
: 2300 4 16 top, 
: 2308 2 14 ba
: 2312 2 16 by 
- 2316
: 2324 2 12 Come 
: 2328 2 14 pick 
: 2332 2 16 me 
: 2336 6 19 up, 
: 2348 2 12 come 
: 2352 2 14 pick 
: 2356 2 16 me 
: 2360 6 19 up 
- 2368
: 2376 4 14 Are 
: 2384 4 9 you 
: 2396 2 16 just 
: 2400 2 16 a 
: 2404 2 16 lo
: 2408 2 16 ver 
: 2412 4 9 or 
: 2424 4 16 my 
: 2432 2 16 twin 
: 2436 2 17 so
: 2440 6 19 ul? 
- 2448
* 2456 2 16 Fi
* 2460 2 16 re 
* 2464 2 16 the 
* 2468 4 16 shots 
* 2476 2 16 and 
* 2480 4 16 I 
* 2488 2 14 need 
* 2496 2 12 to 
