#ARTIST:Patrice Rushen
#TITLE:Forget Me Nots
#MP3:Patrice Rushen - Forget Me Nots.mp3
#CREATOR:Leroidukitch
#GENRE:Funk
#YEAR:1982
#LANGUAGE:English
#BPM:228.66
#GAP:19810
#VIDEO:v=jtMHsNhQBvI,co=https://www.vinylwhizrecords.com/data/vinylwhiz/product/20190610_b0f566.jpg
: 1552 7 11 ~ 
: 1561 2 6 as 
: 1566 3 6 friends
: 1570 6 4 ~ 
- 1578
: 1585 3 4 Giv
: 1589 2 6 en 
: 1593 1 6 the 
: 1597 3 9 chance
: 1601 2 6 ~ 
: 1605 2 6 we 
: 1609 2 1 could 
: 1613 3 4 love 
: 1617 2 6 a
: 1621 2 4 gain
: 1624 1 6 ~ 
- 1627
: 1665 2 6 She’ll 
: 1669 2 8 al
: 1673 2 9 ways 
: 1677 1 9 love
: 1679 4 11 ~ 
: 1686 1 9 you 
: 1689 1 13 for
: 1693 2 9 ev
: 1696 3 11 ~
: 1701 3 9 er 
- 1706
: 1709 1 6 It’s 
: 1714 2 13 not 
: 1717 2 14 hard 
: 1721 1 11 to
: 1723 1 13 ~ 
: 1726 2 11 be
: 1730 1 8 lieve
: 1732 3 9 ~ 
- 1737
: 1738 1 6 I 
: 1741 2 11 want
: 1744 4 13 ~ 
: 1750 3 14 you 
: 1754 1 11 and
: 1756 1 13 ~ 
: 1758 2 11 I 
: 1762 2 9 need 
: 1766 1 6 you 
: 1770 2 11 so 
: 1774 1 9 I
: 1776 1 11 ~
: 1778 9 9 ~ 
- 1789
: 1793 3 6 Send
: 1797 2 6 ing 
: 1801 4 9 you 
: 1807 1 9 for
: 1809 2 13 get 
: 1813 1 13 me 
: 1817 1 11 nots
: 1819 1 13 ~ 
- 1822
: 1855 1 4 To 
: 1857 2 13 help 
: 1861 1 14 me 
: 1864 1 11 to
: 1866 1 13 ~ 
: 1869 1 9 re
: 1872 4 11 mem
: 1881 1 11 ber
: 1883 1 13 ~
: 1885 2 11 ~ 
- 1889
: 1921 3 6 Ba
: 1925 2 6 by 
: 1929 4 9 please 
: 1935 1 9 for
: 1937 1 13 get 
: 1941 2 13 me 
: 1945 1 11 not
: 1947 2 13 ~ 
- 1951
: 1983 1 6 I 
: 1985 2 13 want 
: 1989 2 14 you 
: 1993 1 11 to
: 1995 1 13 ~ 
: 1997 1 9 re
: 2001 5 11 mem
: 2009 1 11 ber
: 2011 3 13 ~ 
- 2016
: 2049 3 6 Send
: 2053 2 6 ing 
: 2057 4 9 you 
: 2063 1 9 for
: 2065 2 13 get 
: 2069 2 13 me 
: 2073 1 11 nots
: 2075 2 13 ~ 
- 2079
: 2082 1 9 ’Get
: 2084 4 11 ~ 
: 2090 2 9 me 
: 2094 3 6 nots
: 2098 2 4 ~
: 2101 1 1 ~ 
- 2104
: 2112 1 4 To 
: 2114 2 13 help 
: 2118 1 14 me 
: 2121 1 11 to
: 2123 1 13 ~ 
: 2126 1 9 re
: 2129 4 11 mem
: 2138 1 11 ber
: 2140 1 13 ~
: 2142 2 11 ~ 
- 2146
: 2178 3 6 Ba
: 2182 2 6 by 
: 2186 4 9 please 
: 2192 1 9 for
: 2194 1 13 get 
: 2198 2 13 me 
: 2202 1 11 not
: 2204 2 13 ~ 
- 2208
: 2209 1 9 ’Get
: 2211 4 11 ~ 
: 2217 2 9 me 
: 2222 2 6 nots
: 2225 1 4 ~
: 2227 1 6 ~
: 2229 8 9 ~ 
- 2239
: 2240 1 6 I 
: 2242 2 13 want 
: 2246 2 14 you 
: 2250 1 11 to
: 2252 1 13 ~ 
: 2254 1 9 re
: 2258 5 11 mem
: 2266 1 11 ber
: 2268 3 13 ~ 
- 2273
: 2689 3 6 Send
: 2693 2 6 ing 
: 2697 4 9 you 
: 2703 1 9 for
: 2705 2 13 get 
: 2709 2 13 me 
: 2713 1 11 nots
: 2715 2 13 ~ 
- 2719
: 2817 3 6 Ba
: 2821 2 6 by 
: 2825 4 9 please 
: 2831 1 9 for
: 2833 1 13 give 
: 2837 2 13 me 
: 2841 1 11 not
: 2843 2 13 ~ 
- 2847
: 2913 1 11 Good
: 2915 1 13 ~ 
: 2917 3 11 times 
: 2922 1 9 we 
: 2925 1 11 had
: 2927 2 13 ~
: 2930 10 11 ~
: 2941 13 9 ~ 
- 2956
: 2974 1 9 They
: 2976 10 11 ~ 
: 2990 3 9 weren’t 
: 2996 3 6 so 
: 3002 2 6 bad
: 3005 1 4 ~
: 3007 10 6 ~ 
- 3019
: 3042 2 13 What 
: 3045 3 11 life 
: 3049 2 9 we 
: 3053 2 11 shared
: 3056 1 13 ~
: 3058 1 11 ~
: 3060 1 13 ~
: 3062 2 11 ~
: 3065 2 9 ~
: 3068 3 11 ~
: 3072 8 9 ~ 
- 3082
: 3105 2 9 Pret
: 3108 4 11 ~
