#ARTIST:Letters To Cleo
#TITLE:I See
#MP3:Letters To Cleo - I See.mp3
#CREATOR:Globule
#COVER:Letters To Cleo - I See [CO].jpg
#BACKGROUND:Letters To Cleo - I See [BG].jpg
#GENRE:Alternative Rock
#YEAR:1998
#LANGUAGE:English
#BPM:225.08
#GAP:19360
#VIDEO:v=YQLo78kj860,co=https://images.genius.com/502ed5f529bc47eab089fd55a0967d41.600x590x1.jpg,bg=letters-to-cleo-51fff5e8826b9.jpg
: 1376 3 6 right
: 1380 11 6 ~
: 1392 1 6 ~
: 1394 9 7 ~
: 1404 9 4 ?” 
- 1443
: 1668 1 6 I 
: 1670 2 8 see, 
: 1674 1 6 I 
: 1676 2 8 see, 
: 1680 1 6 I 
: 1682 2 8 see, 
: 1686 1 6 I 
: 1688 1 8 see 
- 1690
: 1692 1 8 This 
: 1696 2 8 world 
: 1700 1 6 go 
: 1702 3 6 in 
: 1708 1 6 cir
: 1710 1 6 cles 
: 1712 1 6 a
: 1714 2 4 round 
: 1718 1 4 all 
: 1720 1 4 a
: 1722 3 4 round 
: 1728 1 9 me 
- 1730
: 1732 1 6 I’ll 
: 1734 2 8 end 
: 1738 1 6 up 
: 1740 3 8 mad 
: 1744 1 6 be
: 1746 3 8 fore 
: 1750 3 8 life 
: 1754 1 6 is 
: 1756 1 8 through 
: 1758 1 6 with 
: 1760 3 4 me
: 1764 1 2 ~ 
- 1773
: 1776 6 2 Guilt
: 1784 2 2 y 
: 1788 5 4 old 
- 1794
: 1796 1 6 I 
: 1798 2 8 see, 
: 1802 1 6 I 
: 1804 2 8 see, 
: 1808 1 6 I 
: 1810 2 8 see, 
: 1814 1 6 I 
: 1816 1 8 see 
- 1818
: 1820 1 8 This 
: 1824 2 8 world 
: 1828 1 6 go 
: 1830 3 6 in 
: 1836 1 6 cir
: 1838 1 6 cles 
: 1840 1 6 a
: 1842 2 4 round 
: 1846 1 4 all 
: 1848 1 4 a
: 1850 3 4 round 
* 1856 1 9 me 
- 1858
: 1860 1 6 I’ll 
: 1862 2 8 end 
: 1866 1 6 up 
: 1868 3 8 mad 
: 1872 1 6 be
: 1874 3 8 fore 
: 1878 3 8 life 
: 1882 1 6 is 
: 1884 1 8 through 
: 1886 1 6 with 
: 1888 3 4 me
: 1892 1 2 ~ 
- 1901
: 1904 1 2 Guilt
: 1906 4 4 ~
: 1912 3 2 y 
: 1916 5 2 old 
* 1932 3 2 me
* 1936 35 4 ~ 
- 1981
: 1988 7 9 Think
: 1996 3 6 ing 
: 2000 2 6 and 
: 2004 3 7 think
: 2008 1 7 ing
: 2010 2 6 ~ 
: 2016 3 9 thought
: 2020 3 6 ~
: 2024 4 6 less 
- 2034
: 2036 1 4 But
: 2038 1 6 ~ 
: 2040 3 6 it
: 2044 5 4 ~ 
: 2060 1 2 some
: 2062 7 4 ~
: 2072 1 4 times
: 2074 9 6 ~ 
: 2092 1 6 seems
: 2094 9 7 ~
: 2104 1 5 ~
: 2106 8 6 ~ 
- 2118
: 2120 1 -3 I 
* 2124 2 9 think 
: 2128 3 6 too 
: 2132 1 7 much 
: 2136 6 6 too 
: 2144 3 9 hard
: 2148 3 2 ~ 
: 2152 3 2 and 
: 2160 1 1 it
: 2162 1 2 ~ 
- 2169
: 2172 6 2 Con
: 2180 1 2 fus
: 2182 17 4 ~
: 2200 1 4 es
: 2202 7 5 ~
: 2210 2 2 ~ 
: 2216 1 1 me
: 2218 5 2 ~
: 2224 14 0 ~ 
- 2245
: 2248 1 -3 I’ll 
: 2252 1 9 rec
: 2256 1 6 ti
: 2260 3 7 fy 
: 2264 4 6 my
: 2272 1 7 self
: 2274 4 9 ~ 
: 2280 7 6 to 
: 2288 1 4 all
: 2290 1 6 ~
: 2292 7 4 ~ 
: 2300 1 4 the 
: 2304 6 4 things 
- 2317
: 2320 1 5 I
: 2322 4 6 ~ 
: 2328 7 6 thought 
: 2336 1 6 were
: 2338 1 7 ~
: 2340 7 6 ~ 
: 2348 1 5 real
: 2350 1 6 ~
: 2352 10 4 ~ 
: 2364 3 4 or 
: 2368 3 4 I’ll 
- 2377
: 2380 2 9 Lock 
: 2384 1 6 the 
: 2388 3 7 bed
: 2392 5 6 room 
* 2400 3 9 door
: 2404 3 2 ~ 
: 2408 5 2 and 
: 2416 1 1 sim
: 2418 5 2 ~
: 2424 5 2 ply
: 2430 1 1 ~ 
- 2434
: 2436 1 3 Stay
: 2438 7 4 ~
* 2446 2 -3 ~ 
: 2456 3 4 at
: 2460 6 2 ~ 
: 2468 1 1 home
: 2470 8 2 ~
: 2480 8 0 ~ 
- 2495
: 2498 1 -3 But 
