#ARTIST:Ava Max
#TITLE:Sleepwalker
#MP3:Ava Max - Sleepwalker.mp3
#CREATOR:Plumobec
#COVER:Ava Max - Sleepwalker [CO].jpg
#BACKGROUND:Ava Max - Sleepwalker [BG].jpg
#GENRE:Pop
#YEAR:2023
#LANGUAGE:English
#BPM:252
#GAP:8040
#VIDEO:v=19Nmb8TZIn4,co=https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/0e/8e/40/0e8e40fe-9047-3440-d21f-8f9843c3cddd/075679733535.jpg/5000x5000bb.jpg
: 1538 8 7 Sleep
: 1546 2 5 walk
: 1548 3 4 er,
: 1558 6 11  eyes
: 1565 3 11  are
: 1569 4 11  burn
: 1573 3 11 in’
: 1577 4 10  o
: 1581 4 9 pen
: 1586 2 7  or
: 1589 2 9  closed
- 1601
: 1610 3 5 Thought
: 1614 3 7  you
: 1618 3 9  should
: 1622 7 10  know,
: 1630 2 7  oh,
: 1639 2 10  oh-
: 1642 2 9 oh-
: 1647 2 7 oh-
: 1650 2 5 oh
- 1653
: 1654 6 7 I’m
: 1661 3 7  an
: 1665 5 7  ob
: 1670 6 7 ses
: 1676 3 4 sion,
: 1686 6 7  not
: 1693 2 7  just
: 1696 4 7  a
: 1701 1 7  game
- 1708
: 1711 6 9 It
: 1718 7 5  feels
: 1726 4 5  like
: 1731 3 5  in
: 1734 6 5 cep
: 1740 4 2 tion,
: 1750 2 5  stuck
: 1757 2 5  in
: 1761 2 5  your
: 1765 6 5  brain,
: 1774 3 4  oh-
: 1777 4 5 oh-
: 1781 3 7 oh
- 1791
: 1794 8 7 Sleep
: 1802 3 5 walk
: 1805 3 4 er,
: 1815 7 11  dream
: 1823 2 11  of
: 1826 3 11  me
: 1830 3 11  wher
: 1833 4 10 ev
: 1837 1 9 er
: 1844 2 7  you
: 1847 1 9  go
- 1858
: 1862 4 7 Rem
: 1866 3 5 em
: 1869 3 7 ber,
: 1873 3 9  I
: 1877 6 10  told
: 1884 2 7  you
: 1893 2 10  so
: 1895 3 9 ~
: 1898 3 7 ~
: 1901 3 5 ~
- 1934
: 2471 3 -1 I’ll
: 2475 3 2  turn
: 2479 4 -1  you
: 2484 2 2  to
: 2487 1 4  a
F 2490 1 0  (yeah)
- 2495
: 2497 7 7 Sleep
: 2504 4 5 walk
: 2508 3 4 er,
: 2517 7 11  dream
: 2525 3 11  of
: 2529 3 11  me
: 2533 4 11  wher
: 2537 3 10 ev
: 2540 1 9 er
: 2545 4 7  you
: 2550 1 9  go
- 2562
: 2566 2 7 If
: 2569 2 5  I
: 2573 2 7  take
: 2576 4 9  you
: 2581 10 10  home,
: 2593 4 11  I’ll
: 2598 5 10  turn
: 2604 4 9  you
: 2609 3 7  to
: 2613 1 5  a
- 2622
: 2625 8 7 Sleep
: 2633 2 5 walk
: 2635 3 4 er,
: 2645 6 11  eyes
: 2652 3 11  are
: 2656 4 11  burn
: 2660 3 11 in’
: 2664 4 10  o
: 2668 4 9 pen
: 2673 2 7  or
: 2676 2 9  closed
- 2688
: 2698 3 5 Thought
: 2702 3 7  you
: 2706 3 9  should
: 2710 7 10  know,
: 2718 2 7  oh,
: 2727 2 10  oh-
: 2730 2 9 oh-
: 2735 2 7 oh-
: 2738 2 5 oh
- 2741
: 2742 6 7 I’m
: 2749 3 7  an
: 2753 5 7  ob
: 2758 6 7 ses
: 2764 3 4 sion,
: 2774 6 7  not
: 2781 2 7  just
: 2784 4 7  a
: 2789 1 7  game
- 2796
: 2798 6 9 It
: 2805 7 5  feels
: 2813 4 5  like
: 2818 3 5  in
: 2821 6 5 cep
: 2827 4 2 tion,
: 2837 2 5  stuck
: 2844 2 5  in
: 2848 2 5  your
: 2852 6 5  brain,
: 2861 3 4  oh-
: 2864 4 5 oh-
: 2868 3 7 oh
- 2879
: 2882 8 7 Sleep
: 2890 3 5 walk
: 2893 3 4 er,
: 2903 7 11  dream
: 2911 2 11  of
: 2914 3 11  me
: 2918 3 11  wher
: 2921 4 10 ev
: 2925 1 9 er
: 2932 2 7  you
: 2935 1 9  go
- 2946
: 2950 4 7 Rem
: 2954 3 5 em
: 2957 3 7 ber,
: 2961 3 9  I
: 2965 6 10  told
: 2972 2 7  you
: 2981 2 10  so
: 2983 3 9 ~
: 2986 3 7 ~
: 2989 3 5 ~
E
