#ARTIST:Oasis
#TITLE:D’You Know What I Mean?
#MP3:Oasis - D’You Know What I Mean?.mp3
#CREATOR:daggeg
#YEAR:1997
#LANGUAGE:English
#BPM:307.96
#GAP:16400
#VIDEO:v=jyJU2136ym4,co=dyou-know-what-i-mean-53f055fb959c5.jpg,bg=oasis-4f74ba7387260.jpg
: 2493 5 13 ~ 
: 2501 9 13 fly 
* 2516 20 16 through 
: 2539 3 18 the 
: 2547 6 13 storm
: 2554 6 11 ~ 
- 2563
: 2565 2 9 I 
: 2569 5 11 said 
: 2584 2 11 “Lis
: 2588 2 9 ten 
: 2593 4 11 up 
: 2601 4 11 man 
- 2610
: 2612 2 13 They 
: 2616 2 11 don’t 
: 2620 2 9 e
: 2624 4 6 ven 
: 2632 5 6 know 
: 2639 2 4 you’re 
: 2643 25 6 born” 
- 2678
* 2705 5 13 All 
* 2717 5 16 my 
* 2724 5 13 peo
* 2732 5 9 ple 
: 2740 5 13 right 
: 2747 5 16 here 
: 2755 5 13 right 
: 2763 15 11 now 
- 2788
: 2805 2 9 They 
: 2809 5 11 know 
: 2817 2 11 what 
: 2821 4 11 I 
: 2829 42 13 mean? 
- 2880
: 2883 4 13 Yeah 
: 2890 7 11 yeah
: 2898 3 9 ~
: 2902 17 6 ~ 
- 2929
: 2951 7 18 All
: 2959 3 16 ~ 
: 2964 4 16 my 
: 2971 5 16 peo
: 2978 5 16 ple 
: 2986 5 13 right 
: 2993 5 16 here 
: 3001 5 13 right 
: 3009 14 11 now 
- 3033
: 3051 2 9 They 
: 3055 5 11 know 
: 3063 2 11 what 
: 3067 4 11 I 
: 3075 43 13 mean? 
- 3126
: 3129 4 13 Yeah 
* 3136 7 11 yeah
* 3144 3 9 ~
* 3148 16 6 ~ 
- 3174
: 3190 4 13 Yeah 
: 3198 7 11 yeah
: 3206 3 9 ~
: 3210 22 6 ~ 
- 3252
: 3313 4 13 Yeah 
: 3321 8 11 yeah
: 3333 45 13 ~ 
- 3419
: 4247 5 13 All 
: 4256 5 16 my 
: 4264 5 13 peo
: 4271 5 9 ple 
: 4279 5 13 right 
: 4287 5 16 here 
: 4295 5 13 right 
* 4302 16 11 now 
- 4328
: 4344 2 9 D’you 
: 4348 5 11 know 
: 4356 2 11 what 
: 4360 4 11 I 
: 4368 48 13 mean? 
- 4421
: 4423 4 13 Yeah 
: 4430 7 11 yeah
: 4438 3 9 ~
: 4442 17 6 ~ 
- 4469
: 4489 7 13 All 
: 4502 5 16 my 
: 4510 5 13 peo
: 4517 5 9 ple 
: 4525 5 13 right 
: 4533 5 16 here 
: 4540 5 13 right 
: 4549 16 11 now 
- 4575
: 4590 2 9 D’you 
* 4594 5 11 know 
* 4601 2 11 what 
* 4605 4 11 I 
: 4614 45 13 mean? 
- 4665
: 4667 4 13 Yeah 
: 4676 7 11 yeah
: 4684 3 9 ~
: 4688 15 6 ~ 
- 4713
: 4737 6 18 All
: 4744 3 16 ~ 
: 4749 5 16 my 
: 4756 5 16 peo
: 4763 5 16 ple 
: 4771 5 13 right 
: 4779 5 16 here 
: 4787 5 13 right 
: 4795 16 11 now 
- 4821
: 4836 2 9 D’you 
: 4840 5 11 know 
: 4849 2 11 what 
: 4853 4 11 I 
: 4861 45 13 mean? 
- 4912
* 4915 4 13 Yeah 
: 4922 7 11 yeah
: 4930 3 9 ~
: 4934 14 6 ~ 
- 4958
: 4975 4 13 Yeah 
* 4983 7 11 yeah
: 4991 3 9 ~
: 4995 27 6 ~ 
- 5031
: 5035 4 13 Yeah 
: 5044 7 11 yeah
: 5052 3 9 ~
: 5056 23 6 ~ 
- 5089
: 5100 4 13 Yeah 
: 5107 7 11 yeah
: 5115 3 9 ~
: 5119 19 6 ~ 
- 5148
* 5160 4 13 Yeah 
* 5168 9 11 yeah
* 5179 30 13 ~ 
E
