#ARTIST:Electric Callboy
#TITLE:Neon
#MP3:Electric Callboy - Neon.mp3
#CREATOR:Su-Metal
#YEAR:2022
#LANGUAGE:English
#BPM:353.37
#GAP:8590
#VIDEO:a=GtYWrVoP5Ok,co=tekkno-6325f11b032d5.jpg,bg=eskimo-callboy-60c8f7335b966.jpg
: 2670 3 12 we 
: 2677 14 10 save 
: 2695 3 8 the 
: 2702 10 8 mo
: 2713 2 5 ments: 
: 2725 1 10 the 
: 2727 10 10 good, 
: 2742 3 8 the 
: 2749 9 8 bad 
: 2762 2 5 ones 
- 2766
: 2768 1 10 Re
: 2770 2 12 ~
: 2773 15 10 mem
: 2790 3 8 ber 
: 2797 7 8 you 
: 2810 2 8 a
: 2813 7 10 ~nd 
: 2822 10 10 me 
- 2834
: 2843 3 5 Oh 
: 2851 2 10 ba
: 2854 2 12 ~
: 2857 3 13 by, 
: 2862 5 12 we 
: 2869 12 10 can’t 
: 2886 5 8 go 
: 2893 10 8 back, 
: 2905 3 5 oh, 
: 2910 2 10 I
: 2913 2 12 ~ 
: 2917 13 10 can’t 
: 2934 5 8 for
: 2941 7 8 get 
- 2950
: 2952 3 3 That 
: 2958 3 3 we 
: 2964 3 3 were 
: 2970 4 12 no
: 2976 4 12 thing 
: 2982 8 12 but 
: 2994 4 12 close 
: 3001 3 13 to 
: 3006 3 12 the 
: 3013 17 10 sky 
- 3032
* 3054 4 10 We 
* 3060 15 10 can’t 
* 3078 5 8 go 
* 3085 9 8 back 
* 3097 5 5 to 
- 3104
: 3150 3 10 The 
: 3156 14 10 time 
: 3173 6 8 where 
: 3181 6 8 it 
: 3192 3 8 be
: 3196 6 10 ~
: 3203 23 10 gan 
- 3228
: 3239 4 8 But 
: 3245 4 10 I
: 3250 1 12 ~ 
: 3252 14 10 love 
: 3270 2 8 to 
: 3275 10 8 thank 
: 3288 6 5 you 
- 3296
: 3336 3 3 That 
: 3342 3 3 we 
: 3347 4 3 were 
: 3354 4 12 no
: 3360 4 12 thing 
: 3366 7 12 but 
: 3377 5 12 close 
: 3384 2 13 to 
: 3387 3 12 the 
: 3395 17 10 sky 
- 3414
: 3437 5 10 We 
: 3444 15 10 can’t 
: 3461 4 8 go 
: 3467 10 8 back 
: 3480 5 5 to 
- 3487
: 3533 4 10 The 
: 3539 13 10 time 
: 3557 4 8 where 
: 3563 6 8 it 
: 3575 3 8 be
: 3579 7 10 ~
: 3587 22 10 gan 
- 3611
: 3622 5 8 But 
: 3629 3 10 I
: 3633 2 12 ~ 
: 3636 14 10 love 
: 3653 3 8 to 
: 3659 9 8 thank 
: 3672 5 5 you 
- 3679
: 3718 4 3 That 
: 3725 3 3 we 
: 3731 3 3 were 
: 3736 5 12 no
: 3742 5 12 thing 
: 3749 6 12 but 
: 3760 5 12 close 
: 3768 3 13 to 
: 3773 2 12 the 
: 3779 13 10 sky 
- 3794
: 3833 22 5 Oh, 
: 3863 5 5 oh
: 3869 5 7 ~
: 3875 22 8 ~
: 3899 14 3 ~ 
: 3917 5 7 oh
: 3923 23 8 ~
: 3947 21 3 ~ 
: 3971 3 5 oh
: 3975 16 7 ~
: 3992 4 5 ~ 
- 3998
: 4024 3 3 Oh
: 4028 22 5 ~ 
: 4054 5 5 oh
: 4060 5 7 ~
: 4066 23 8 ~
: 4091 15 3 ~ 
: 4109 5 7 oh
: 4115 22 8 ~
: 4139 20 3 ~ 
: 4163 4 5 oh
: 4168 12 7 ~
: 4182 4 5 ~ 
E
