#ARTIST:Oasis
#TITLE:Rock ’n’ Roll Star
#MP3:Oasis - Rock ’n’ Roll Star.mp3
#CREATOR:Gollum
#EDITION:Rock Band Europe
#GENRE:Britpop
#YEAR:1994
#LANGUAGE:English
#BPM:396.7
#GAP:24900
#VIDEO:v=3aatEBIZHNU,co=rock-n-roll-star-5c986d6e69998.jpg,bg=oasis-4f74ba7387260.jpg
: 2887 5 9 day 
: 2893 7 9 in 
: 2905 5 11 bed 
- 2912
: 2928 2 11 I’ll 
: 2934 4 18 take 
: 2941 5 18 my 
: 2951 4 14 car
: 2957 10 13 ~ 
: 2968 2 11 and 
: 2975 8 18 drive 
: 2986 6 18 real 
: 2999 6 14 far
: 3006 7 13 ~ 
- 3015
: 3020 2 11 You’re 
: 3025 4 18 not 
: 3033 5 18 con
: 3044 4 14 cerned
: 3050 4 13 ~ 
: 3055 2 13 a
: 3061 3 13 bout 
: 3066 4 11 the 
: 3072 4 13 way 
: 3078 11 15 we 
: 3092 15 11 are 
- 3109
: 3117 4 14 In 
: 3125 7 13 my 
: 3136 14 13 mind 
: 3153 3 11 my 
: 3159 7 14 dreams 
: 3171 9 13 are 
: 3182 9 13 real
: 3194 3 11 ~ 
- 3199
: 3207 1 11 And 
* 3210 4 13 now 
: 3216 2 11 you’re 
: 3222 5 13 con
: 3233 5 13 cerned 
: 3239 2 11 a
* 3245 3 13 bout 
* 3251 3 11 the 
: 3257 5 18 way 
: 3263 5 16 I 
- 3270
* 3275 7 14 Feel 
- 3284
: 3292 2 11 To
: 3298 31 13 night
: 3331 5 14 ~
: 3338 5 13 ~
: 3344 8 11 ~ 
- 3354
: 3361 3 9 I’m 
: 3367 3 11 a 
: 3372 3 14 rock 
: 3378 3 11 and 
: 3383 7 14 roll 
: 3397 23 11 star 
- 3422
: 3476 5 14 To
: 3482 32 13 night
: 3516 4 14 ~
: 3522 5 13 ~
: 3528 10 11 ~ 
- 3540
: 3546 3 9 I’m 
: 3551 3 11 a 
: 3556 2 14 rock 
: 3563 3 11 and 
: 3568 16 14 roll 
- 3586
: 3592 19 11 Star 
- 3613
: 3661 3 14 To
* 3666 34 13 night
* 3702 3 14 ~
: 3707 4 13 ~
: 3713 9 11 ~ 
- 3724
: 3731 3 9 I’m 
* 3736 3 13 a 
: 3741 3 17 rock 
: 3748 3 16 and 
: 3754 17 14 roll 
: 3777 22 11 star 
- 3801
: 3857 6 14 You’re 
: 3864 5 13 not 
: 3875 13 13 down
: 3889 2 11 ~ 
: 3892 3 11 with 
: 3898 10 14 who 
: 3910 10 13 I 
: 3922 10 13 am
: 3935 2 11 ~ 
- 3939
: 3950 2 13 Look 
: 3955 2 11 at 
: 3962 8 14 you 
: 3971 6 13 now 
: 3979 4 11 you’re 
: 3985 9 9 all 
: 3996 3 17 in 
: 4002 7 16 my 
: 4012 11 14 hands 
- 4025
: 4031 3 9 To
: 4037 26 11 night 
- 4065
: 4582 4 14 To
: 4589 32 13 night
: 4623 4 14 ~
: 4628 5 13 ~
: 4635 8 11 ~ 
- 4645
: 4653 4 9 I’m 
: 4659 4 11 a 
: 4664 3 14 rock 
: 4670 5 11 and 
: 4677 11 14 roll 
- 4690
: 4698 25 11 Star 
- 4725
: 4767 3 14 To
: 4774 33 13 night
: 4808 5 14 ~
: 4814 5 13 ~
: 4820 8 11 ~ 
- 4830
: 4837 3 9 I’m 
: 4842 5 11 a 
: 4848 3 14 rock 
: 4855 4 11 and 
: 4861 12 14 roll 
- 4875
: 4883 22 11 Star 
- 4907
* 5592 1 11 It’s 
* 5599 3 11 just 
* 5607 4 13 rock 
: 5615 4 11 and 
* 5622 39 13 roll 
- 5663
: 5685 2 11 It’s 
: 5693 3 11 just 
: 5701 4 13 rock 
: 5709 4 11 and 
: 5716 41 13 roll 
- 5759
: 5781 2 11 It’s 
: 5787 3 11 just 
: 5795 4 13 rock 
: 5804 3 11 and 
: 5810 40 13 roll 
- 5852
: 5874 2 11 It’s 
: 5882 3 11 just 
: 5890 4 13 rock 
: 5898 4 11 and 
: 5907 39 13 roll 
E
