#ARTIST:Michael Schulte
#TITLE:For A Second
#MP3:Michael Schulte - For A Second.mp3
#CREATOR:Mamba99
#YEAR:2020
#LANGUAGE:English
#BPM:292
#GAP:9240
#VIDEO:v=2b9M2-eETgs,co=for-a-second-6769288eccf55.jpg,bg=schulte-michael-67c87bf2ecd76.jpg
: 1640 2 -8 I 
: 1644 2 2 di
: 1648 2 0 dn’t 
: 1652 2 0 see 
: 1656 2 -1 you 
: 1660 2 -3 co
: 1664 2 -3 min’, 
: 1668 2 -5 was 
: 1672 4 -3 too 
: 1680 2 -1 la
: 1684 2 -3 ~te 
- 1688
: 1728 2 -5 Got 
: 1732 2 4 my 
: 1736 2 6 at
: 1740 2 7 ten
: 1744 2 6 tion 
: 1748 2 4 in 
: 1752 2 2 the 
: 1756 4 2 fa
: 1764 2 -1 din’ 
: 1768 4 2 li
: 1776 2 4 ~ght 
- 1780
* 1792 2 -1 And 
* 1796 2 4 it’s 
* 1800 2 6 a 
* 1804 2 7 fee
* 1808 2 6 lin’ 
* 1812 2 4 I 
* 1816 2 2 don’t 
* 1820 2 2 wan
* 1824 2 2 na 
* 1832 2 4 fi
* 1836 2 6 ~ght 
- 1840
: 1860 2 -1 No 
: 1864 2 2 more 
: 1868 2 4 sear
: 1872 2 2 chin’ 
: 1876 2 2 for 
: 1880 2 -1 that 
: 1884 2 -1 some
: 1888 2 -3 one 
- 1891
: 1892 2 -5 No 
: 1896 2 -8 more 
: 1900 2 2 loo
: 1904 2 0 kin’ 
: 1908 2 0 for 
: 1912 2 -1 that 
: 1916 2 -3 love 
: 1920 2 -3 ’cause 
: 1924 2 -5 I 
: 1928 4 -3 found 
: 1936 2 -1 you
: 1940 2 -3 ~ 
- 1944
* 1996 4 4 One, 
* 2004 4 4 two, 
* 2012 2 4 three 
* 2016 2 2 and 
* 2020 2 4 I’m 
* 2024 4 4 cal
* 2032 2 2 ling 
- 2036
: 2060 4 4 One, 
: 2068 4 4 two, 
: 2076 2 4 three 
: 2080 2 2 and 
: 2084 2 4 I’m 
: 2088 4 2 yours, 
: 2096 4 2 oh 
: 2104 4 4 oh 
: 2112 4 6 oh 
- 2118
: 2120 2 6 Ho
: 2124 2 7 ~ld 
: 2128 2 7 me 
: 2132 2 7 just 
: 2136 2 6 a 
: 2140 2 6 lit
: 2144 2 6 tle 
: 2148 2 6 bi
: 2152 2 4 ~t 
: 2156 8 4 lon
: 2168 2 2 ger 
- 2172
: 2184 4 7 I 
: 2192 2 7 don’t 
: 2196 2 7 want 
: 2200 2 6 the 
: 2204 2 6 night 
: 2208 2 6 to 
: 2212 2 6 be
: 2216 2 4 ~ 
: 2220 8 4 o
: 2232 2 2 ver 
- 2236
: 2248 2 9 Oh
: 2252 2 11 ~, 
: 2256 2 11 I 
: 2260 2 11 feel 
: 2264 2 9 it’s 
: 2268 4 9 hea
: 2276 4 7 ven 
- 2282
: 2304 2 2 Oh
: 2308 2 7 ~
: 2312 4 9 ~, 
: 2320 2 9 just 
: 2324 2 9 for 
: 2328 2 7 a 
: 2332 4 7 se
: 2340 4 6 cond 
- 2346
: 2368 4 6 If 
: 2376 2 6 lo
: 2380 2 7 ~ve 
: 2384 2 7 is 
: 2388 2 7 ma
: 2392 2 6 kin’ 
: 2396 4 6 me 
: 2404 2 6 thi
: 2408 2 4 ~s 
: 2412 8 4 drunk, 
: 2424 2 2 yeah 
- 2428
* 2440 2 6 I
* 2444 2 7 ~ 
* 2448 2 7 don’t 
* 2452 2 7 e
* 2456 2 6 ver 
* 2460 2 6 wan
* 2464 2 6 na 
* 2468 2 6 be
* 2472 2 4 ~ 
* 2476 8 4 so
* 2488 2 2 ber 
- 2492
: 2504 2 9 Oh
: 2508 2 11 ~, 
: 2512 2 11 I 
: 2516 2 11 feel 
: 2520 2 9 it’s 
: 2524 4 9 hea
: 2532 4 7 ven 
- 2538
: 2560 2 2 Oh
: 2564 2 7 ~
: 2568 4 9 ~, 
: 2576 2 9 just 
: 2580 2 9 for 
: 2584 2 7 a 
: 2588 4 7 se
: 2596 4 6 cond 
- 2602
: 2624 2 4 A 
: 2628 2 6 lit
: 2632 2 4 tle, 
: 2636 4 4 la-
: 2644 4 7 la-
: 2652 4 9 la, 
: 2664 4 4 la-
: 2672 4 7 la-
: 2680 4 9 la 
- 2686
: 2688 2 4 A 
: 2692 2 4 lit
: 2696 2 4 tle, 
: 2700 4 4 la-
: 2708 4 7 la-
: 2716 4 9 la, 
: 2728 4 4 la-
: 2736 4 7 la-
: 2744 4 9 la, 
: 2752 2 7 la 
: 2756 2 7 la 
- 2759
: 2760 2 9 Oh
: 2764 2 11 ~, 
: 2768 2 11 I 
: 2772 2 11 feel 
: 2776 2 9 it’s 
: 2780 4 9 hea
: 2788 4 7 ven 
- 2794
: 2816 2 2 Oh
: 2820 2 7 ~
: 2824 4 9 ~, 
: 2832 2 9 just 
: 2836 2 9 for 
: 2840 2 7 a 
: 2844 4 7 se
: 2852 4 6 cond 
- 2858
: 2888 2 -6 Ho
: 2892 2 -5 ~ld 
: 2896 2 -5 me 
: 2900 2 -5 just 
: 2904 2 -6 a 
: 2908 2 -6 lit
: 2912 2 -6 tle 
: 2916 2 -6 bi
: 2920 2 -8 ~t 
: 2924 8 -8 lon
: 2936 2 -10 ger 
- 2940
: 2952 4 -5 I 
: 2960 2 -5 don’t 
: 2964 2 -5 want 
: 2968 2 -6 the 
: 2972 2 -6 night 
: 2976 2 -6 to 
: 2980 2 -6 be
: 2984 2 -8 ~ 
