#ARTIST:Ozzy Osbourne
#TITLE:Hellraiser
#MP3:Ozzy Osbourne - Hellraiser.mp3
#CREATOR:Leroidukitch
#GENRE:Metal
#YEAR:1991
#LANGUAGE:English
#BPM:393,03
#GAP:46500
#VIDEO:v=Q3l-faquXJE,co=no-more-tears-51cd843697c09.jpg,bg=osbourne-ozzy-4fd0a6ff785fa.jpg
: 4657 6 6 world 
: 4665 6 6 for 
: 4673 6 11 rock 
: 4683 4 11 and 
: 4690 3 9 ro
: 4695 9 6 ~ll
- 4706
: 4716 6 4 Some
: 4726 10 6 times
: 4738 2 1  it 
: 4742 5 4 feels 
: 4749 4 4 so 
: 4756 6 6 tough 
- 4764
: 4773 5 1 But 
: 4780 5 6 still 
: 4789 7 6 ain’t 
* 4805 6 11 had 
* 4813 6 11 e
* 4821 3 9 nou
* 4826 9 6 ~gh
- 4836
: 4838 6 8 Fee
: 4846 7 8 ling 
: 4855 4 8 a
: 4860 3 6 ~ll 
: 4865 21 6 right 
: 4888 5 6 in 
: 4895 5 6 the 
: 4902 9 9 noise 
: 4913 5 6 and 
: 4920 4 6 the 
: 4927 13 6 li
: 4942 3 3 ~
: 4947 6 1 ~ght
- 4955
: 4960 6 1 But 
: 4968 14 8 that’s 
: 4986 13 8 what 
: 5002 13 9 lights 
: 5019 13 9 my 
: 5036 7 8 fi
: 5046 29 6 ~re
- 5077
: 5083 14 6 Hell
: 5099 6 9 rai
: 5107 12 6 se
: 5122 20 4 ~r, 
: 5147 7 1 In 
: 5156 3 4 the 
: 5162 7 8 thun
: 5171 7 9 der 
: 5180 4 8 and 
: 5186 21 6 heat 
- 5209
: 5213 14 6 Hell
: 5229 7 9 rai
: 5238 14 6 se
: 5254 20 4 ~r 
: 5280 7 1 Rock 
: 5289 4 4 you 
: 5295 5 8 back 
: 5303 5 9 in 
: 5310 5 8 your 
: 5317 13 6 sea
: 5331 11 1 ~t
- 5343
* 5343 13 6 Hell
* 5359 7 9 rai
* 5369 13 6 se
: 5384 16 4 ~r, 
: 5407 7 1 And 
: 5417 5 4 I’ll 
: 5424 6 8 make 
: 5432 6 9 it 
: 5440 6 8 come 
: 5447 14 6 true 
- 5463
: 5472 12 6 Hell
: 5488 5 9 rai
: 5496 49 4 ser, 
: 5560 6 4 I’ll 
: 5569 5 4 put 
: 5577 4 4 a 
: 5585 14 11 spell 
: 5602 12 11 on 
: 5616 6 9 you
: 5624 11 6 ~
E
