#ARTIST:The Greatest Showman
#TITLE:A Million Dreams (Movie Version) [DUET]
#MP3:The Greatest Showman - A Million Dreams (Movie Version) [DUET].mp3
#CREATOR:matthu
#EDITION:[DUET]-Songs
#GENRE:Soundtrack
#YEAR:2017
#LANGUAGE:English
#BPM:310
#GAP:214160
#VIDEO:v=JDjTQNOvyTg,co=the-greatest-showman-original-motion-picture-soundtrack-68a9dee6eb12e.jpg,p1=Phineas (P.T. Barnum),p2=Charity (Michelle Williams)
#START:190.0
P1
: 2634 4 7 of 
: 2640 8 7 what 
: 2650 4 9 the 
: 2656 10 9 world 
: 2668 4 11 could 
: 2674 8 11 be 
- 2684
: 2688 2 2 A 
* 2692 2 2 vi
* 2696 10 6 sion 
: 2708 8 6 of 
: 2718 2 7 the 
: 2722 8 7 one 
: 2732 2 7 I
: 2736 2 9 ~ 
: 2740 12 9 see 
- 2753
: 2754 4 7 A 
* 2760 6 12 mil
* 2768 4 11 lion 
: 2774 6 11 dreams
: 2782 2 9 ~ 
: 2786 2 9 is 
: 2790 10 9 all 
: 2802 6 7 it’s 
: 2810 2 7 gon
: 2814 2 9 na 
* 2818 64 7 take. 
- 2883
: 2884 4 -1 Oh 
: 2890 2 2 a 
: 2894 6 4 mil
: 2902 4 2 lion 
: 2908 10 2 dreams 
: 2920 2 -1 for 
: 2924 2 -1 the 
: 2928 8 4 world 
: 2938 6 2 we’re 
: 2946 2 0 gon
: 2950 2 -1 na 
: 2954 22 -1 make. 
- 2978
: 3358 4 19 A 
* 3364 6 24 mil
* 3372 2 23 lion 
: 3376 10 23 dreams 
: 3388 2 21 are 
: 3392 8 21 kee
: 3402 4 19 ping 
: 3408 8 19 me 
: 3418 2 21 a
: 3422 54 16 wake. 
- 3478
: 3494 2 2 I 
: 3498 6 2 think 
: 3506 2 7 of 
: 3510 10 7 what 
: 3522 4 9 the 
: 3528 8 9 world 
: 3538 4 11 could 
: 3544 12 11 be 
- 3558
: 5318 2 2 ’Cus 
: 5322 10 2 e
: 5334 2 7 v’ry 
: 5338 10 7 night 
: 5350 2 9 I 
: 5354 10 9 lie 
: 5366 2 11 in 
: 5370 12 11 bed 
- 5384
: 5388 2 2 The 
: 5392 6 2 brigh
: 5400 6 6 test 
: 5408 2 6 co
: 5412 6 7 lors 
: 5420 6 7 fill 
: 5428 2 7 my
: 5432 2 9 ~ 
: 5436 6 9 head 
- 5444
: 5456 2 7 A 
* 5460 6 12 mil
* 5468 2 11 lion 
: 5472 6 11 dreams
: 5480 2 9 ~ 
: 5484 2 9 are 
: 5488 8 9 kee
: 5498 4 7 ping 
: 5504 10 7 me 
: 5516 2 9 a
* 5520 56 4 wake 
- 5578
: 5586 2 2 I 
: 5590 8 2 think 
: 5600 2 7 of 
: 5604 10 7 what 
: 5616 2 9 the 
: 5620 12 9 world 
