#ARTIST:Brian Hyland
#TITLE:Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
#MP3:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini.mp3
#CREATOR:Fepo
#COVER:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini [CO].jpg
#BACKGROUND:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini [BG].jpg
#GENRE:Pop
#YEAR:1960
#LANGUAGE:English
#BPM:245.89
#GAP:3600
#VIDEO:v=9Vxkoek8YFk,co=https://media.hitparade.ch/cover/big/brian_hyland-itsy_bitsy_teenie_weenie_yellow_polkadot_bikini_s.jpg
- 1281
F 1283 5 5 Two, 
F 1290 7 5 three, 
F 1299 4 5 four 
- 1305
F 1307 2 5 Stick 
F 1311 2 5 a
F 1315 2 5 round 
F 1319 2 5 we’ll 
F 1323 2 5 tell 
F 1327 2 5 you 
F 1331 5 5 more 
- 1338
: 1340 4 3 Bop, 
: 1348 4 7 bop, 
* 1356 4 10 bop, 
: 1364 3 15 bop, 
: 1369 2 15 bop 
: 1372 2 17 op 
: 1376 2 15 op 
: 1379 2 14 op 
: 1383 3 12 op 
: 1388 2 10 op 
- 1390
: 1392 2 7 Now 
: 1396 2 7 she’s 
: 1400 2 8 a
: 1404 6 10 fraid 
: 1412 2 7 to 
: 1416 3 8 come 
: 1421 6 10 out 
: 1429 2 7 of 
: 1433 2 10 the 
: 1437 3 8 wa
: 1442 3 5 ter 
- 1447
: 1449 1 12 Ba 
: 1451 1 12 de 
: 1453 2 10 dab 
- 1461
: 1463 2 5 And 
: 1467 2 7 I 
: 1471 2 8 wo
: 1475 3 5 nder 
: 1480 3 7 what 
: 1485 5 8 she’s 
: 1492 3 14 gon
: 1497 3 14 na 
: 1502 3 10 do 
- 1511
: 1513 1 15 Ba 
: 1515 1 15 de 
: 1517 2 15 dab 
- 1520
: 1522 2 7 Now 
: 1526 2 7 she’s 
: 1530 2 8 a
: 1534 5 10 fraid 
: 1541 2 7 to 
: 1545 3 8 come 
: 1550 6 10 out 
: 1558 2 15 of 
: 1562 2 14 the 
: 1566 3 14 wa
: 1571 3 12 ter 
- 1576
: 1578 1 12 Ba 
: 1580 1 12 de 
: 1582 2 12 dab 
- 1588
: 1590 2 12 And 
: 1594 2 12 the 
: 1598 6 10 poor 
: 1606 2 7 lit
: 1610 2 10 tle 
: 1614 6 8 girl’s 
: 1622 2 7 tur
: 1626 2 5 ning 
: 1630 4 3 blue 
- 1636
F 1638 6 5 Two, 
F 1646 5 5 three, 
F 1653 5 5 four 
- 1661
F 1663 2 5 Tell 
F 1667 2 5 the 
F 1671 2 5 peo
F 1675 2 5 ple 
F 1679 2 5 what 
F 1683 2 5 she 
F 1687 5 5 wore 
- 1700
: 1703 6 10 It 
: 1711 6 12 was 
: 1720 6 13 an 
: 1728 3 14 it
: 1732 3 14 sy, 
: 1736 3 12 bit
: 1740 3 10 sy, 
: 1744 3 14 tee
: 1748 3 14 nie, 
: 1752 3 12 wee
: 1756 3 10 nie, 
: 1760 3 15 yel
: 1764 3 15 low, 
: 1768 3 12 pol
: 1772 3 10 ka 
: 1776 3 15 dot 
: 1780 3 15 bi
: 1784 3 12 ki
: 1788 3 10 ni 
- 1795
: 1797 5 14 That 
: 1804 2 12 she 
: 1808 6 10 wore 
: 1816 4 12 for 
: 1821 2 10 the 
: 1824 3 10 first 
: 1829 5 12 time 
: 1836 2 10 to
: 1840 3 10 day
: 1844 2 7 ~ 
- 1849
: 1851 2 12 An 
: 1855 2 14 it
: 1859 2 14 sy, 
: 1863 2 12 bit
: 1867 2 10 sy, 
* 1871 2 14 tee
* 1875 2 14 nie, 
: 1879 2 12 wee
: 1883 2 10 nie, 
* 1887 2 15 yel
* 1891 2 15 low, 
: 1895 2 12 pol
: 1899 2 10 ka 
: 1903 2 15 dot 
: 1907 2 15 bi
: 1911 2 12 ki
: 1915 2 10 ni 
- 1920
: 1922 2 14 So, 
: 1926 2 14 in 
: 1930 2 12 the 
: 1934 2 10 wa
: 1938 3 12 ter 
: 1945 2 10 she 
: 1949 3 8 wan
: 1954 3 7 ted 
: 1961 2 5 to 
: 1965 4 3 stay 
- 1979
: 1990 2 3 From 
: 1994 2 3 the 
: 1998 2 3 lo
: 2002 2 3 cker 
: 2006 2 3 to 
: 2010 2 3 the 
: 2014 5 2 blan
: 2021 4 5 ket 
- 2035
: 2054 2 10 From 
: 2058 2 10 the 
: 2062 2 10 blan
: 2066 2 10 ket 
: 2070 2 12 to 
: 2074 2 10 the 
: 2078 6 7 shore 
- 2100
: 2117 3 3 From 
: 2122 2 3 the 
: 2126 6 3 shore 
: 2134 2 3 to 
: 2138 2 3 the 
: 2142 4 2 wa
: 2148 5 8 ter 
- 2163
: 2180 3 14 Guess 
: 2185 3 12 there 
: 2190 2 10 is
: 2194 2 8 n’t 
: 2198 2 7 a
: 2202 2 5 ny 
: 2206 6 3 more 
E
