#ARTIST:Roger Whittaker
#TITLE:River Lady (A Little Goodbye)
#MP3:Roger Whittaker - River Lady (A Little Goodbye).mp3
#CREATOR:MasterChristian
#YEAR:1976
#LANGUAGE:English
#BPM:291.84
#GAP:9100
#VIDEO:a=ciuoKz19New,co=https://i.discogs.com/G9422BbxX3YeH0ydl6v9euC_96UE1rGWgcmJJB__m4I/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTAx/NzYtMTU5MTcyNTQ3/Mi01MzEyLmpwZWc.jpeg
: 1771 6 4 out 
: 1778 2 2 of 
: 1781 7 1 our 
: 1789 9 -3 view. 
- 1808
: 1831 3 6 Off 
: 1835 3 5 in 
: 1839 2 6 the 
* 1842 14 9 mist 
* 1857 3 9 her 
* 1861 3 9 en
* 1865 6 9 gines 
: 1872 8 6 pound
: 1881 4 2 ing, 
- 1887
: 1889 3 2 Back 
: 1893 2 2 on 
: 1896 3 2 the 
: 1900 11 4 banks, 
: 1915 2 4 that 
: 1918 4 4 old 
: 1923 6 4 horn’s 
: 1930 6 1 sound
: 1937 4 -3 ing, 
- 1941
: 1943 2 1 A 
: 1946 3 1 lit
: 1950 3 1 tle 
: 1954 5 1 good-
: 1960 9 1 bye, 
: 1973 1 1 a 
: 1975 2 1 lit
: 1978 3 1 tle 
: 1982 6 1 I’ll 
: 1989 7 4 do 
: 1997 3 4 what 
: 2001 6 2 I 
: 2008 6 1 must 
* 2015 10 -3 do. 
- 2035
: 2058 3 -3 A 
: 2062 2 -3 lit
: 2065 3 -3 tle 
: 2069 5 -3 good-
: 2075 12 4 bye, 
: 2088 2 4 a 
: 2091 2 4 lit
: 2094 3 4 tle 
: 2098 6 4 I’ll 
: 2105 6 2 do 
: 2112 3 2 what 
: 2116 6 1 I 
: 2123 6 1 must 
: 2130 16 -3 do. 
- 2156
: 2176 3 4 Wa
: 2180 3 4 ter 
: 2184 6 4 turns 
* 2191 10 9 cold 
: 2202 3 9 and 
: 2206 5 9 gets 
: 2212 4 9 to 
* 2217 9 6 free
