#ARTIST:My Little Pony
#TITLE:My Little Pony Theme (Full)
#MP3:My Little Pony - My Little Pony Theme (Full).mp3
#CREATOR:Applejack
#EDITION:My Little Pony
#GENRE:Pony
#YEAR:2012
#LANGUAGE:English
#BPM:230
#GAP:210
#VIDEO:v=ZcBNxuKZyN4,co=https://i.scdn.co/image/ab67616d0000b2734c5dae56898ceea1c28aaeb6,bg=my-little-pony-friendship-is-magic-5ff4f76975b29.jpg
: 1346 3 9 ing 
: 1350 3 9 all 
: 1354 3 6 the 
: 1358 17 9 time 
- 1377
: 1383 3 6 A 
: 1387 6 6 new 
: 1394 3 6 ad
: 1398 3 4 ven
: 1402 2 4 ture 
: 1405 5 6 waits 
: 1411 4 2 for 
: 1417 2 11 us 
: 1420 3 9 each 
: 1424 5 9 day 
: 1430 2 6 is 
: 1433 5 11 yours 
: 1439 2 9 and 
: 1443 8 9 mine 
- 1453
: 1458 2 7 We’ll 
: 1461 2 7 make 
: 1464 3 7 it 
: 1468 3 7 spe
: 1472 4 7 cial 
: 1477 2 7 e
: 1480 3 6 very 
: 1484 5 4 time 
- 1490
: 1490 3 9 We’ll 
: 1494 3 7 make 
: 1498 2 6 it 
: 1501 3 11 spe
: 1505 3 9 cial 
: 1509 2 9 e
: 1512 2 6 very 
: 1517 12 9 time 
- 1531
: 1557 1 6 What 
: 1559 1 6 a 
: 1561 1 6 won
: 1563 1 2 der
: 1565 1 2 ful 
: 1567 3 4 won
: 1571 3 2 der 
: 1575 4 6 friend
: 1580 5 4 ship 
: 1586 12 2 brings 
- 1600
: 1615 1 2 Do 
: 1617 1 4 you 
: 1619 3 6 know 
: 1623 3 2 you’re 
: 1627 3 7 all 
: 1631 2 6 my 
: 1634 3 4 ve
: 1638 3 2 ry 
: 1642 7 6 best 
: 1652 9 2 friends 
- 1662
: 1662 1 2 You’re 
: 1664 3 6 my 
: 1668 3 4 ve
: 1672 3 2 ry 
: 1676 7 6 best 
: 1685 8 2 friends 
- 1694
: 1694 2 2 You’re 
: 1697 3 6 my 
: 1701 3 4 ve
: 1705 3 2 ry 
: 1709 7 1 best 
: 1719 7 2 friends 
- 1727
: 1727 2 2 You’re 
: 1730 3 6 my 
: 1735 2 4 ve
: 1738 4 2 ry 
: 1743 6 6 best 
* 1753 68 2 friends 
E
