#ARTIST:Frank Sinatra
#TITLE:I’ve Got You Under My Skin
#MP3:Frank Sinatra - I’ve Got You Under My Skin.mp3
#CREATOR:ricky_ricardo
#GENRE:Vocal Jazz
#YEAR:1951
#LANGUAGE:English
#BPM:268
#GAP:10630
#VIDEO:a=3SCtcLO43Kw,co=ive-got-you-under-my-skin-689f504630d96.jpg,bg=frank-sinatra-4de018d4c92ad.jpg
: 3074 10 9 do 
: 3086 4 10 just 
: 3092 1 11 the 
: 3094 4 12 thought 
: 3100 1 12 of 
: 3102 8 12 you 
- 3110
: 3112 6 11 Makes 
: 3120 2 10 me 
: 3124 4 9 stop 
: 3130 4 9 just 
: 3136 3 8 be
: 3140 4 4 fore 
: 3146 4 5 I 
: 3152 3 6 be
: 3156 8 8 gin 
- 3166
: 3168 5 1 Be
: 3174 8 1 cause 
: 3184 4 2 I’ve 
: 3190 6 6 got 
: 3198 22 2 you 
: 3232 8 1 un
: 3242 4 1 der 
: 3248 4 4 my 
: 3254 32 4 skin 
- 3298
: 3302 6 1 And 
: 3310 6 2 I 
: 3318 12 6 like 
: 3332 16 6 you 
: 3360 5 6 un
: 3366 6 6 der 
: 3374 2 1 my 
: 3378 32 4 skin 
E
