#ARTIST:The Darkness
#TITLE:One Way Ticket
#MP3:The Darkness - One Way Ticket.mp3
#CREATOR:jabolko13
#COVER:The Darkness - One Way Ticket [CO].jpg
#BACKGROUND:The Darkness - One Way Ticket [BG].jpg
#GENRE:Hard Rock
#YEAR:2005
#LANGUAGE:English
#BPM:266.98
#GAP:19740
#VIDEO:v=enJiLuH9YUA,co=one-way-ticket-5d4b0d483a7c6.jpg,bg=darkness-the-4fe659705da1f.jpg
: 1712 2 9 cking 
: 1715 4 9 lines 
: 1720 2 6 of 
: 1723 4 6 glo
: 1728 2 6 ri
: 1731 3 6 ous 
: 1735 9 6 gack 
- 1744
: 1745 3 4 I 
: 1749 2 4 bought 
: 1752 2 3 a 
: 1756 6 4 one 
: 1764 5 4 way 
: 1771 4 4 tic
: 1776 3 4 ket 
: 1780 3 4 to 
: 1784 7 4 hell
: 1792 4 5 ~
: 1797 9 6 ~ 
F 1814 5 3 (and back) 
- 1819
: 1820 6 4 One 
: 1829 5 4 way 
: 1836 3 4 tic
: 1840 4 4 ket 
: 1845 5 4 to 
: 1852 5 4 hell 
: 1858 4 6 and 
: 1864 5 6 back 
- 1873
: 1875 4 4 Bought 
: 1880 3 6 a 
: 1884 6 8 one 
: 1891 6 8 way 
: 1900 3 9 tic
: 1904 3 8 ket 
: 1908 3 4 to 
: 1912 6 4 hell
: 1919 5 6 ~ 
: 1925 2 8 and
: 1928 3 6 ~ 
: 1932 8 6 back 
- 1946
: 1948 7 4 One 
: 1957 5 4 way 
: 1964 3 4 tic
: 1968 3 4 ket 
: 1972 2 4 to
: 1975 2 4 ~ 
: 1979 4 4 hell 
: 1984 7 6 and 
: 1993 5 6 back 
- 2003
: 2005 3 4 Bought 
: 2009 3 6 a 
: 2013 5 8 one 
: 2019 6 8 way 
: 2029 2 9 tic
: 2032 3 8 ket 
: 2037 3 6 to 
: 2041 7 4 hell
F 2049 21 4 ~ 
- 2105
F 2314 1 0 Stick 
F 2316 1 0 it 
F 2318 1 0 up 
F 2320 1 0 your 
F 2322 1 0 fu
F 2324 2 0 cking 
F 2331 32 0 nose! 
- 2398
: 2585 2 6 Hol
: 2588 3 6 ding 
: 2592 3 6 court, 
: 2597 1 6 re
: 2599 1 6 pea
: 2601 1 6 ting 
: 2603 2 6 my
: 2606 3 6 self, 
: 2610 1 6 each 
: 2612 1 6 re
: 2614 1 6 pe
: 2616 1 6 ti
: 2618 2 6 tion 
: 2621 3 6 sligh
: 2625 2 6 tly 
: 2629 5 8 lou
: 2635 4 3 der 
- 2645
: 2648 3 11 Pau
: 2652 3 11 sing 
: 2656 4 11 just 
: 2662 4 11 long 
: 2667 3 11 e
: 2671 4 11 nough 
: 2676 2 11 to 
: 2679 3 11 snort 
: 2683 2 11 the 
: 2686 4 11 white 
: 2691 7 11 pow
: 2699 3 11 der 
- 2709
: 2712 6 11 Wheels 
: 2719 6 11 came 
: 2727 3 11 off, 
: 2734 3 9 but 
: 2738 3 8 I’m 
: 2742 4 9 still 
: 2747 5 8 on 
: 2753 9 6 track 
- 2762
: 2763 2 4 I 
: 2766 4 4 bought 
: 2771 2 3 a 
: 2774 7 4 one 
: 2782 5 4 way 
: 2789 4 4 tic
: 2794 3 4 ket 
: 2798 3 4 to 
* 2802 29 4 hell
* 2832 14 5 ~
* 2847 25 6 ~ 
- 2876
F 2878 4 11 (And back!) 
- 2885
: 2887 5 4 One 
: 2894 5 4 way 
: 2900 3 4 tic
: 2904 3 4 ket 
: 2908 4 4 to 
: 2915 6 4 hell 
: 2922 5 6 and 
: 2928 6 6 back 
F 2935 3 4 (Yeah) 
- 2938
: 2940 3 4 Bought 
: 2944 3 6 a 
: 2948 6 8 one 
: 2957 6 8 way 
: 2964 3 9 tic
: 2968 3 8 ket 
: 2972 4 4 to 
: 2977 5 4 hell
: 2983 3 6 ~ 
: 2987 7 8 and 
: 2996 4 6 back 
F 3001 8 6 (Ooh 
F 3010 2 6 yeah) 
- 3012
: 3013 4 4 One 
: 3019 7 4 way 
: 3027 3 4 tic
: 3031 3 4 ket 
: 3035 6 4 to 
: 3042 6 4 hell 
: 3049 4 6 and 
: 3054 7 6 back 
- 3063
: 3065 4 4 Bought 
: 3070 3 6 a 
: 3074 6 8 one 
: 3081 5 8 way 
: 3089 4 9 tic
: 3094 3 8 ket 
: 3098 2 6 to 
: 3101 14 4 hell
: 3116 4 5 ~
: 3121 8 6 ~ 
F 3130 6 0 (Ooh yeah) 
- 3136
: 3137 6 4 One 
: 3144 8 4 way 
: 3153 3 4 tic
: 3157 3 4 ket 
: 3161 7 4 to 
: 3169 5 4 hell 
: 3175 5 6 and 
: 3181 7 6 back 
F 3189 5 0 (Woo) 
- 3194
: 3195 2 4 Bought 
: 3198 1 6 a 
: 3200 7 8 one 
: 3208 7 8 way 
: 3217 2 9 tic
: 3220 3 8 ket 
: 3224 3 6 to 
: 3228 4 4 hell
: 3233 5 6 ~ 
: 3240 2 8 and
: 3243 3 6 ~ 
: 3248 8 6 back 
- 3262
: 3264 6 4 One 
: 3272 7 4 way 
: 3280 1 4 tic
: 3282 2 4 ket 
: 3286 7 4 to 
: 3295 5 4 hell 
: 3301 6 6 and 
: 3308 5 6 back 
- 3319
: 3321 2 4 Bought 
: 3324 2 6 a 
: 3327 7 8 one 
: 3335 6 8 way 
: 3343 3 9 tic
: 3347 4 8 ket 
: 3352 3 4 to 
* 3356 10 9 hell
* 3367 12 10 ~
* 3380 14 11 ~
F 3395 12 11 ~
F 3408 13 11 ~ 
E
