#ARTIST:Escape The Fate
#TITLE:Harder Than You Know
#MP3:Escape The Fate - Harder Than You Know.mp3
#CREATOR:Stickmanskiller
#YEAR:2008
#LANGUAGE:English
#BPM:260
#GAP:19000
#VIDEO:a=UMMuGuli6fg,co=this-war-is-ours-5365517b7b126.jpg,bg=escape-the-fate-615c0357db854.jpg
: 2306 4 8 you 
: 2318 4 13 ba
: 2324 3 12 by 
- 2328
: 2328 3 12 And 
: 2332 4 13 I’ll 
: 2338 4 14 make 
: 2344 4 15 the 
: 2350 8 4 call 
- 2360
: 2364 3 5 I’m 
: 2368 4 5 lea
: 2374 4 14 ving 
: 2380 4 15 to
: 2386 8 2 day 
- 2396
: 2420 3 4 And 
: 2424 3 8 lea
: 2428 4 9 ving 
: 2434 4 15 al
: 2440 4 7 ways 
: 2446 4 8 drives 
: 2452 4 5 me 
: 2458 3 8 cra
: 2462 4 8 ~
: 2468 4 11 zy 
- 2474
: 2574 3 9 Lea
: 2578 4 19 ving 
: 2584 4 9 al
: 2590 4 10 ways 
: 2596 4 8 drives 
: 2604 4 10 me 
: 2610 3 8 cra
: 2614 4 8 ~
: 2620 20 8 zy
: 2644 4 6 ~
: 2650 6 5 ~ 
- 2658
: 2756 6 9 Ba
: 2764 6 8 ~
: 2774 6 9 by, 
: 2782 4 9 don’t 
: 2794 4 7 talk 
: 2802 4 8 to 
: 2810 8 9 me 
- 2820
: 2830 3 8 I’m 
: 2834 4 11 try
: 2842 4 9 ing 
: 2850 4 7 to 
: 2860 4 9 let 
: 2868 8 10 go 
- 2878
: 2902 4 9 Not 
: 2912 4 10 lo
: 2922 4 10 ving 
: 2928 4 10 you 
: 2938 4 8 is 
: 2948 4 7 har
: 2958 4 7 der 
: 2968 4 9 than 
: 2978 4 7 you 
: 2986 4 15 kn
: 2992 8 5 ow 
- 3002
: 3028 4 7 Ye
: 3036 4 9 ~
: 3042 4 11 ~
: 3048 4 9 ~
: 3056 8 7 ah 
- 3066
: 3068 6 7 Ba
: 3076 6 8 ~
: 3086 6 9 by, 
: 3094 4 6 don’t 
: 3106 4 7 talk 
: 3114 4 8 to 
: 3122 8 9 me 
- 3132
: 3142 3 8 I’m 
: 3146 4 11 try
: 3154 4 9 ing 
: 3162 4 7 to 
: 3172 4 9 let 
: 3180 8 10 go 
- 3190
: 3212 4 9 Not 
: 3220 4 11 lo
: 3230 4 10 ving 
: 3236 4 10 you 
: 3246 4 8 is 
: 3256 4 7 har
: 3266 4 7 der 
: 3276 4 9 than 
: 3286 4 7 you 
: 3294 4 15 kn
: 3300 8 5 ow 
- 3310
F 3328 3 8 Cause 
F 3332 4 8 girl 
F 3338 4 7 you’re 
F 3344 4 6 dri
F 3350 4 6 ving 
F 3356 4 10 me 
F 3364 4 5 so 
- 3370
: 3372 3 8 And 
: 3376 4 7 if 
: 3386 4 8 you 
: 3396 4 3 don’t 
: 3404 4 5 want 
: 3414 4 5 me 
: 3422 6 9 than 
- 3430
: 3442 4 8 I 
: 3448 4 11 guess 
: 3454 4 9 I’ll 
: 3460 3 7 ha
: 3464 4 9 ve 
: 3476 4 16 to 
: 3484 13 10 go
: 3498 6 8 ~ 
- 3506
: 3516 4 9 Not 
: 3524 4 11 lo
: 3534 4 10 ving 
: 3540 4 10 you 
: 3548 4 8 is 
: 3558 4 6 har
: 3568 4 1 der 
: 3578 4 10 than 
: 3588 4 4 you 
: 3596 4 13 kn
: 3602 4 2 ow 
- 3608
: 3676 6 7 Ba
: 3686 5 8 ~
: 3692 6 9 by, 
: 3700 4 9 don’t 
: 3712 4 7 talk 
: 3720 4 8 to 
: 3728 8 9 me 
- 3738
: 3748 3 8 I’m 
: 3752 4 11 try
: 3760 4 9 ing 
: 3768 4 7 to 
: 3778 4 9 let 
: 3786 8 10 go 
- 3796
