#ARTIST:Dropkick Murphys
#TITLE:The Dirty Glass [DUET]
#MP3:Dropkick Murphys - The Dirty Glass [DUET].mp3
#CREATOR:Han5wur5t
#EDITION:[DUET]-Songs
#YEAR:2004
#LANGUAGE:English
#BPM:286.02
#GAP:9850
#VIDEO:a=H1niNhP9vnA,co=blackout-4dded862abd0b.jpg,bg=dropkick-murphys-551039bec2b01.jpg,p1=Darcy (Stephanie Dougherty),p2=Murphy (Ken Casey)
P1
: 3333 3 6 ing 
: 3337 2 4 cry
: 3340 2 4 ing 
: 3343 4 4 there 
- 3348
: 3349 3 4 In 
: 3353 2 6 whis
: 3356 2 6 key 
: 3360 2 6 gin 
: 3363 2 6 and 
: 3367 3 7 pints 
: 3371 2 7 of 
: 3375 4 7 beer 
- 3380
: 3381 2 2 I 
: 3384 2 4 fell 
: 3387 3 4 for 
: 3391 3 4 you 
: 3395 3 6 my 
: 3399 4 2 dar
: 3404 3 2 ling 
: 3415 39 14 dear 
- 3456
: 3471 6 4 My 
* 3479 46 6 dear 
- 3527
: 3535 6 9 My 
: 3543 54 9 dear 
P2
: 641 3 11 Dar
: 646 3 14 cy 
: 650 2 14 when 
: 653 3 14 I 
: 657 3 14 met 
: 661 4 11 you 
: 666 2 9 I 
: 669 3 11 was 
: 673 4 18 five 
: 679 5 14 years 
: 685 3 14 too 
: 689 12 16 young 
- 702
: 703 2 4 A 
: 706 3 4 boy 
: 711 3 7 be
: 715 3 7 yond 
: 719 3 6 his 
: 723 4 7 age 
: 728 2 7 or 
: 731 4 7 so 
: 736 2 6 I 
: 739 6 4 tell 
: 747 6 2 some
: 755 14 2 one 
- 771
: 906 3 6 Dar
: 910 3 6 cy 
* 914 3 6 Dar
* 918 3 6 cy 
: 922 3 7 dar
: 926 2 7 ling 
: 929 2 7 dear 
- 932
: 933 2 7 You 
: 936 3 6 left 
: 941 3 6 me 
: 946 3 6 dy
: 950 3 7 ing 
: 954 2 4 cry
: 957 2 4 ing 
: 960 4 4 there 
- 966
: 967 2 4 In 
: 970 3 9 whis
: 974 3 6 key 
: 978 3 9 gin 
: 982 3 4 and 
: 986 3 7 pints 
: 990 2 7 of 
: 993 6 7 beer 
: 998 3 7 I 
: 1002 2 4 fell 
: 1005 2 4 for 
: 1008 3 4 you 
* 1012 3 6 my 
* 1017 3 6 dar
: 1022 4 2 ling 
: 1031 3 9 De
: 1036 37 14 ~ar 
- 1075
: 1159 3 2 You 
: 1163 3 4 shut 
: 1167 3 4 me 
: 1172 10 2 off 
: 1184 3 2 and 
: 1188 2 2 you 
: 1191 6 6 showed 
: 1198 5 6 me 
: 1204 3 4 the 
: 1209 5 4 door 
- 1216
: 1347 4 9 Then 
: 1353 4 7 you 
: 1359 4 7 poured 
: 1365 3 6 me 
: 1369 3 6 my 
: 1373 12 2 pain 
: 1386 3 2 in 
: 1390 3 -1 a 
: 1395 4 4 dir
: 1400 5 4 ty 
: 1407 6 2 glass 
- 1414
F 1415 8 2 Yeah 
F 1426 4 9 you 
F 1431 6 7 left 
F 1438 3 2 him 
F 1443 3 7 bloo
F 1447 3 7 dy 
F 1451 3 7 bat
F 1455 3 2 tered 
F 1461 2 2 pen
F 1464 2 2 ni
F 1467 3 2 less 
F 1471 3 2 and 
F 1475 3 2 poo
F 1480 3 -3 ~r 
- 1485
: 1551 3 6 With 
: 1556 3 2 my 
: 1561 2 4 bro
: 1564 2 2 ther’s 
: 1568 4 2 new 
: 1573 4 2 non
: 1578 3 2 dup
: 1583 5 2 li
: 1589 4 2 cate 
: 1594 3 2 re
: 1598 3 2 gis
: 1602 4 2 try 
: 1607 3 2 I
: 1612 3 2 D 
- 1617
: 1694 3 6 Dar
: 1698 3 6 cy 
: 1702 3 6 Dar
: 1706 3 6 cy 
: 1710 2 7 dar
: 1713 2 7 ling 
* 1716 8 7 dear 
: 1723 2 7 You 
: 1726 3 6 left 
: 1730 3 6 me 
: 1734 2 6 dy
: 1737 3 6 ing 
: 1742 2 6 cry
: 1745 2 4 ing 
* 1748 7 4 there 
- 1755
: 1755 2 4 In 
: 1758 2 6 whis
: 1761 2 6 key 
: 1765 4 6 gin 
: 1770 2 6 and 
: 1773 3 7 pints 
: 1777 3 7 of 
: 1781 5 7 beer 
- 1787
: 1787 2 7 I 
: 1790 2 4 fell 
: 1793 2 4 for 
: 1796 2 4 you 
: 1799 4 6 my 
: 1805 3 2 dar
: 1809 8 2 ling 
: 1819 48 14 dear 
- 1869
: 2001 4 7 Oh 
: 2006 3 4 I’m 
: 2011 6 9 sure 
: 2018 2 7 I 
: 2021 2 9 wa
: 2024 3 4 sn’t 
: 2029 3 4 hon
: 2033 3 6 ey 
: 2037 2 6 I 
: 2040 3 6 know 
: 2044 3 7 all 
: 2049 2 4 a
: 2052 3 2 bout 
