#ARTIST:Alisa
#TITLE:Move Mountains
#MP3:Alisa - Move Mountains.mp3
#CREATOR:Phoenix69
#GENRE:Anime
#YEAR:2019
#LANGUAGE:English
#BPM:240.08
#GAP:10740
#VIDEO:a=GUt3UboSUd4,co=https://i.scdn.co/image/ab67616d0000b273bb238dbefa8e7cc5c2d2a251,tags=Carole & Tuesday Insert Song
- 1871
: 1872 1 0 If 
: 1876 1 0 I 
: 1879 7 0 be
: 1887 7 0 lieve 
: 1895 4 0 I 
: 1900 2 6 can 
: 1904 3 0 do 
: 1908 3 0 a
: 1912 3 0 ny
: 1916 8 0 thing 
- 1926
: 1936 2 -3 I 
: 1939 2 0 can 
: 1943 6 3 move 
: 1951 7 0 moun
: 1959 6 0 tains, 
: 1968 2 -3 I 
: 1971 2 -3 can 
: 1975 6 3 move 
: 1983 6 0 moun
: 1990 7 0 tains 
- 1999
: 2000 2 0 If 
: 2004 2 0 you’re 
: 2008 6 0 in 
: 2016 7 0 need, 
: 2029 2 0 know 
: 2032 2 0 I’ll 
: 2036 2 0 be 
: 2039 4 0 your 
: 2044 8 0 friend 
- 2054
: 2063 2 0 I 
: 2067 2 0 can 
: 2071 7 3 move 
: 2080 6 0 moun
: 2087 7 0 tains, 
: 2096 1 0 I 
: 2100 1 0 can 
* 2103 6 3 move 
* 2112 5 0 moun
* 2119 7 0 tains, 
: 2127 10 0 yeah 
- 2139
: 2144 1 0 A
: 2146 3 0 ny
: 2150 2 0 thing 
: 2154 1 0 the 
: 2157 3 0 world 
: 2162 2 -3 throws 
: 2165 5 -3 at 
: 2171 2 3 us, 
: 2176 1 0 I’ll 
: 2178 4 0 be 
: 2183 2 0 by 
: 2187 2 0 your 
: 2190 6 0 side 
- 2198
: 2200 2 0 Till 
: 2203 1 0 we 
: 2206 2 0 make 
: 2209 2 0 it 
: 2213 2 0 out 
: 2220 2 0 and 
: 2223 1 0 e
: 2225 1 5 ve
: 2227 3 5 ry
: 2231 2 0 thing’s 
: 2235 6 0 al
: 2243 8 0 right 
- 2253
: 2256 2 0 No 
: 2260 3 0 mat
: 2264 5 0 ter 
: 2273 5 0 what, 
: 2280 1 -3 I 
: 2284 1 6 will 
: 2287 2 -3 fight 
: 2292 1 0 till 
: 2296 2 0 the 
: 2300 10 0 end 
- 2312
: 2320 2 -3 I 
: 2324 2 0 can 
: 2327 6 3 move 
: 2336 6 0 moun
: 2343 6 0 tains, 
: 2352 2 -3 I 
: 2356 2 0 can 
* 2359 6 3 move 
* 2367 6 0 moun
* 2375 6 0 tains, 
: 2383 12 0 yeah 
E
