#ARTIST:Manowar
#TITLE:Revelation (Death’s Angel)
#MP3:Manowar - Revelation (Death’s Angel).mp3
#CREATOR:Ich,werdennsonst?
#GENRE:Metal
#YEAR:1983
#LANGUAGE:English
#BPM:281.28
#GAP:14860
#VIDEO:a=0m5lJcG6gkM,co=into-glory-ride-5b71b9b191650.jpg,bg=manowar-62eec6f65bdc2.jpg
: 3267 4 -1 the 
: 3272 10 0 end 
: 3283 7 -1 is 
: 3291 3 -3 co
: 3295 11 -1 ming, 
: 3307 22 7 heed 
: 3331 7 7 this 
: 3339 5 9 sign
: 3345 18 7 ~ 
- 3365
: 3389 5 -3 By 
: 3395 5 -1 the 
: 3401 7 0 mor
: 3409 5 -1 ning 
: 3415 13 -3 star 
: 3429 3 -1 the 
: 3433 15 7 four 
: 3449 7 7 hor
: 3457 9 7 semen 
: 3467 9 9 ride
: 3477 26 7 ~. 
- 3505
* 3521 7 12 Reve
* 3529 5 12 la
* 3535 14 16 tion, 
: 3561 3 14 the 
: 3565 15 19 cho
: 3581 13 14 sen 
: 3595 24 15 saved 
- 3621
: 3631 14 4 Earth 
: 3653 5 4 be 
: 3659 7 6 clean
: 3667 6 6 sed 
: 3677 5 4 in 
: 3683 5 2 a 
: 3689 14 4 blaze. 
- 3705
* 3773 9 12 Ar
* 3783 9 12 maged
* 3793 12 16 don, 
: 3815 3 16 the 
: 3819 15 7 first 
: 3835 7 7 trum
: 3843 7 2 pet 
: 3851 20 3 blows 
- 3873
: 3885 18 4 Hail, 
: 3913 22 7 fire 
: 3945 3 7 and 
: 3949 5 6 blo
: 3955 3 7 ~
: 3959 14 9 od 
: 3981 7 6 fall 
: 3989 7 6 on 
: 3997 5 4 Sa
: 4003 10 2 tan’s 
: 4014 16 4 throne. 
- 4032
* 4925 17 12 Reve
* 4943 7 12 la
* 4951 20 12 tion, 
: 4989 5 16 the 
: 4995 21 7 cho
: 5017 17 7 sen 
: 5035 40 3 saved 
- 5077
: 5083 22 4 Earth 
: 5115 7 4 be 
: 5123 11 6 clean
: 5135 7 6 sed 
: 5149 6 4 in 
: 5156 8 2 a 
: 5165 24 4 blaze. 
: 5191 18 9 Hey, 
: 5213 67 16 yeah! 
- 5282
* 5295 16 12 Ar
* 5312 12 12 maged
* 5325 14 16 don, 
: 5363 5 16 the 
: 5369 20 7 first 
: 5391 11 7 trum
: 5403 11 2 pet 
: 5415 24 3 blows 
- 5441
: 5461 26 4 Hail, 
: 5516 20 7 fire 
: 5567 5 7 and 
: 5573 8 6 blo
: 5582 4 7 ~
: 5587 8 9 od 
: 5627 13 6 fall 
: 5641 8 6 on 
: 5650 14 4 Sa
: 5665 13 2 tan’s 
: 5679 18 4 throne. 
- 5699
: 5705 16 4 Oh, 
: 5727 18 4 oh, 
: 5751 16 4 oh, 
: 5771 18 4 oh, 
: 5791 16 6 oh, 
: 5811 16 7 oh, 
: 5831 20 9 oh 
- 5853
* 5865 11 12 Reve
* 5877 4 12 la
* 5882 13 12 tion, 
: 5907 5 16 the 
: 5913 13 7 cho
: 5927 15 7 sen 
: 5943 22 3 saved 
- 5967
: 5977 18 4 Earth 
: 6001 5 4 be 
: 6007 7 6 clean
: 6015 9 4 sed 
: 6025 4 4 in 
: 6030 6 2 a 
: 6037 16 4 blaze. 
- 6055
* 6121 11 12 Ar
* 6133 11 12 maged
* 6145 12 16 don, 
: 6165 3 4 the 
: 6169 14 7 first 
: 6184 7 7 trum
: 6192 6 2 pet 
: 6199 22 3 blows 
- 6223
: 6231 18 4 Hail 
: 6253 7 4 and 
: 6261 11 6 fire 
: 6273 5 6 on 
: 6279 5 4 Sa
: 6285 9 2 tan’s 
: 6295 12 4 throne. 
- 6309
* 6377 8 0 Reve
* 6386 8 0 la
* 6395 6 0 ti
* 6402 5 6 ~
* 6408 6 3 on, 
* 6415 7 0 on, 
* 6423 26 2 on, 
* 6455 21 3 on, 
* 6481 28 4 on, 
* 6511 96 6 on 
- 6609
* 6629 9 12 Ar
* 6639 9 12 maged
* 6649 14 16 don, 
: 6671 5 16 the 
: 6677 13 7 first 
: 6691 9 7 trum
: 6701 5 2 pet 
: 6707 20 3 blows 
- 6729
: 6741 20 4 Hail, 
: 6771 20 7 fire 
: 6803 3 7 and 
: 6807 18 9 blood 
: 6841 7 6 fall 
: 6849 6 6 on 
: 6856 7 4 Sa
: 6864 8 2 tan’s 
: 6873 14 4 throne. 
- 6889
* 6891 52 4 Yeah! 
E
