#ARTIST:Muse
#TITLE:Will Of The People
#MP3:Muse - Will Of The People.mp3
#CREATOR:DoubleDee
#GENRE:Alternative Rock
#YEAR:2022
#LANGUAGE:English
#BPM:260
#GAP:15830
#VIDEO:v=MClg7zpm6VQ,co=will-of-the-people-62346f3054133.jpg,bg=muse-55753120e14b8.jpg
: 2023 9 9 ours 
- 2034
: 2038 2 -3 The 
: 2041 2 -3 will 
: 2044 2 -3 of 
: 2047 2 -3 the 
: 2050 4 -3 peo
: 2055 5 -3 ple, 
: 2062 2 -3 the 
: 2065 2 -3 will 
: 2068 2 -3 of 
: 2071 2 -3 the 
: 2074 4 -3 peo
: 2079 5 -3 ple, 
: 2087 2 -3 the 
: 2090 2 9 will 
: 2093 1 9 of 
: 2095 2 9 the 
: 2098 2 9 will 
: 2101 1 9 of 
: 2103 2 9 the 
- 2106
: 2106 1 -3 Will 
: 2108 2 -3 of 
: 2111 2 -3 the 
: 2114 4 -3 peo
: 2119 5 -3 ple, 
: 2126 2 -3 the 
: 2129 2 -3 will 
: 2132 2 -3 of 
: 2135 2 -3 the 
: 2138 4 -3 peo
: 2143 5 -3 ple, 
: 2151 2 -3 the 
: 2154 2 9 will 
: 2157 1 9 of 
: 2159 2 9 the 
: 2162 2 9 will 
: 2165 1 9 of 
: 2167 2 9 the 
- 2170
: 2170 1 -3 Will 
: 2172 2 -3 of 
: 2175 2 -3 the 
: 2178 4 -3 peo
: 2183 5 -3 ple, 
: 2190 2 -3 the 
: 2193 2 -3 will 
: 2196 2 -3 of 
: 2199 2 -3 the 
: 2202 4 -3 peo
: 2207 5 -3 ple, 
: 2215 2 -3 the 
: 2218 2 9 will 
: 2221 1 9 of 
: 2223 2 9 the 
: 2226 2 9 will 
: 2229 1 9 of 
: 2231 2 9 the 
- 2234
: 2234 1 -3 Will 
: 2236 2 -3 of 
: 2239 2 -3 the 
: 2242 4 -3 peo
: 2247 5 -3 ple, 
: 2254 2 -3 the 
: 2257 2 -3 will 
: 2260 2 -3 of 
: 2263 2 -3 the 
: 2266 4 -3 peo
: 2271 5 -3 ple, 
: 2279 2 -3 the 
: 2282 2 9 will 
: 2285 1 9 of 
: 2287 2 9 the 
: 2290 2 9 will 
: 2293 1 9 of 
: 2295 2 9 the 
- 2298
: 2298 1 -3 Will 
: 2300 2 -3 of 
: 2303 2 -3 the 
: 2306 4 -3 peo
: 2311 5 -3 ple, 
: 2318 2 -3 the 
: 2321 2 -3 will 
: 2324 2 -3 of 
: 2327 2 -3 the 
: 2330 4 -3 peo
: 2335 5 -3 ple, 
: 2343 2 -3 the 
: 2346 2 9 will 
: 2349 1 9 of 
: 2351 2 9 the 
: 2354 2 9 will 
: 2357 1 9 of 
: 2359 2 9 the 
- 2362
: 2362 1 -3 Will 
: 2364 2 -3 of 
: 2367 2 -3 the 
: 2370 4 -3 peo
: 2375 5 -3 ple, 
: 2382 2 -3 the 
: 2385 2 -3 will 
: 2388 2 -3 of 
: 2391 2 -3 the 
: 2394 4 -3 peo
: 2399 5 -3 ple, 
: 2407 2 -3 the 
: 2410 2 9 will 
: 2413 1 9 of 
: 2415 2 9 the 
: 2418 2 9 will 
: 2421 1 9 of 
: 2423 2 9 the 
- 2426
: 2426 1 -3 Will 
: 2428 2 -3 of 
: 2431 2 -3 the 
: 2434 4 -3 peo
: 2439 5 -3 ple, 
: 2446 2 -3 the 
: 2449 2 -3 will 
: 2452 2 -3 of 
: 2455 2 -3 the 
: 2458 4 -3 peo
: 2463 5 -3 ple, 
: 2471 2 -3 the 
: 2474 2 9 will 
: 2477 1 9 of 
: 2479 2 9 the 
: 2482 2 9 will 
: 2485 1 9 of 
: 2487 2 9 the 
- 2490
: 2490 1 -3 Will 
: 2492 2 -3 of 
: 2495 2 -3 the 
: 2498 4 -3 peo
: 2503 5 -3 ple, 
: 2510 2 -3 the 
: 2513 2 -3 will 
: 2516 2 -3 of 
: 2519 2 -3 the 
: 2522 4 -3 peo
: 2527 5 -3 ple, 
: 2535 2 -3 the 
: 2538 2 9 will 
: 2541 1 9 of 
: 2543 2 9 the 
: 2546 2 9 will 
: 2549 1 9 of 
: 2551 2 9 the 
- 2555
: 2810 4 9 Wel
: 2815 2 9 come 
: 2818 4 9 to 
: 2823 2 9 the 
: 2826 3 9 de
: 2831 4 9 se
: 2839 6 12 cra
: 2847 5 12 tion, 
: 2855 5 12 ba
: 2863 4 9 by 
- 2869
: 2871 3 9 We’ll 
: 2875 4 15 build 
: 2880 2 16 you 
: 2883 2 12 right
: 2886 3 13 ~ 
: 2890 1 11 up
: 2892 1 6 ~ 
: 2895 2 6 and 
: 2898 3 9 we’ll 
: 2903 3 12 tear
: 2907 1 4 ~ 
: 2910 5 9 you 
: 2919 9 9 down 
- 2930
: 2938 4 9 Wel
: 2943 2 9 come 
: 2946 4 9 to 
: 2951 2 9 the 
: 2954 3 9 ce
: 2959 4 9 le
: 2967 6 12 bra
: 2975 5 12 tion, 
: 2983 5 12 ba
: 2991 4 9 by 
- 2997
: 2998 2 9 The 
: 3002 2 16 jud
: 3006 2 16 ges 
: 3009 3 12 are
: 3013 2 13 ~ 
: 3017 2 9 jailed
: 3020 1 6 ~ 
: 3022 2 6 and 
: 3025 3 9 the 
: 3030 2 12 fu
: 3033 2 6 ture 
: 3038 5 9 is 
: 3046 9 9 ours 
E
