#ARTIST:Tina Turner
#TITLE:What You Get Is What You See
#MP3:Tina Turner - What You Get Is What You See.mp3
#CREATOR:Buberatz, asb
#GENRE:Rock
#YEAR:1986
#LANGUAGE:English
#BPM:312.56
#GAP:18790
#VIDEO:v=e0GVixJvt-g,co=what-you-get-is-what-you-see-55ba715889e86.jpg,bg=turner-tina-4ffabb7c55864.jpg,medley=911-1374
: 2163 3 7 ~ 
: 2169 1 7 me 
: 2173 3 7 sa
: 2177 1 7 tis
: 2181 1 7 fa
: 2183 3 9 ~c
: 2189 5 5 tion 
- 2196
: 2209 2 2 While 
: 2213 1 9 I
: 2215 2 10 ~’m 
: 2221 6 9 still 
: 2230 1 9 wai
: 2232 4 7 ~
: 2237 6 7 ting, 
: 2245 2 7 wai
: 2249 2 5 ~
: 2253 4 5 ting, 
: 2261 3 5 wai
: 2265 3 4 ~
: 2269 4 4 ting, 
: 2278 2 4 wai
: 2282 2 2 ~
: 2286 4 2 ting, 
: 2293 2 2 wai
: 2297 3 0 ~
: 2302 6 0 ting 
- 2310
: 2322 2 10 Ooh
: 2326 18 12 ~
: 2346 3 9 ~
* 2353 3 7 ~
* 2358 1 9 ~
* 2360 1 7 ~
: 2362 12 5 ~! 
- 2376
: 2381 1 12 What 
: 2385 1 12 you 
: 2389 7 12 get 
: 2398 1 10 i
: 2401 2 10 ~s 
: 2405 5 10 what 
: 2413 2 9 you
: 2416 2 7 ~ 
: 2422 5 7 see 
- 2429
: 2441 1 9 Ai
: 2443 8 10 ~n’t 
: 2453 2 10 no
: 2457 1 10 thing 
: 2462 1 9 mo
: 2464 1 5 ~re 
: 2469 7 5 to 
: 2478 2 7 it 
- 2482
: 2505 4 12 And 
: 2510 1 12 if 
: 2512 2 12 you 
: 2517 2 12 wan
: 2521 2 10 na 
: 2525 3 10 love 
: 2529 2 10 a 
: 2533 3 10 wo
: 2537 3 9 man 
* 2541 2 9 li
* 2545 1 7 ~ke 
: 2549 4 7 me 
- 2555
: 2569 1 9 It 
: 2572 2 9 takes 
: 2576 2 9 a 
: 2580 6 10 man 
: 2589 3 9 to 
: 2597 6 12 do 
: 2605 1 7 i
: 2607 2 9 ~t 
- 2611
: 2632 2 12 If 
: 2636 2 12 what 
: 2640 2 12 you 
: 2644 7 12 get 
: 2653 1 10 i
: 2656 2 10 ~s 
: 2660 5 10 what 
: 2668 2 9 you
: 2672 1 7 ~ 
: 2677 6 7 see 
- 2685
: 2697 3 7 Then 
: 2701 2 7 I 
: 2704 3 9 don’t 
: 2709 5 10 want 
: 2717 4 9 your 
: 2729 3 12 kind 
: 2736 2 9 of 
: 2741 43 5 love 
- 2786
: 2798 1 7 Ooh
: 2800 5 9 ~
: 2807 15 7 ~
* 2825 5 9 ~
* 2831 4 10 ~ 
* 2837 5 12 yeah 
- 2844
F 2942 18 17 Ooh
F 2963 3 17 ~
F 2967 2 14 ~
F 2971 1 12 ~
F 2973 3 14 ~ 
- 2978
F 3060 4 5 No 
F 3068 4 5 no 
F 3076 4 5 no 
F 3084 4 5 no 
F 3092 6 5 no 
- 3100
F 3140 2 7 No
F 3144 6 9 ~ 
- 3152
: 3224 1 2 So 
: 3227 2 5 let 
: 3232 1 5 me 
: 3236 6 5 see 
: 3243 2 5 your 
* 3248 1 5 ca
* 3250 3 7 ~rds 
: 3256 5 7 on 
: 3263 1 7 the 
: 3268 1 7 ta
: 3270 4 9 ~
: 3276 3 5 ble 
- 3281
: 3295 1 -2 Be
: 3299 1 9 fo
: 3301 6 10 ~re 
* 3309 1 9 I
* 3311 2 7 ~ 
: 3316 10 7 buy
: 3328 3 9 ~ 
- 3333
: 3351 3 5 I 
: 3355 3 5 al
: 3359 1 5 ways 
: 3363 5 5 read 
: 3371 2 5 the 
: 3375 1 5 wri
: 3377 5 7 ~
: 3384 2 7 ting 
: 3388 2 7 on 
: 3392 2 7 the 
* 3396 1 7 la
* 3398 4 9 ~
: 3404 3 5 bel 
- 3409
: 3415 2 5 So 
: 3419 1 5 give 
: 3423 2 5 me 
: 3427 3 10 rea
: 3431 2 9 ~
: 3435 4 9 son 
: 3444 3 9 to
: 3448 1 7 ~ 
: 3452 1 7 be
: 3455 5 7 lie
: 3462 1 5 ~ve 
- 3465
: 3467 3 5 There’s 
: 3474 5 5 mo
: 3480 1 4 ~re 
: 3483 3 4 to 
* 3488 3 4 you
* 3493 3 2 ~ 
: 3499 7 2 than 
: 3508 3 2 meets 
: 3515 2 0 the 
: 3519 21 0 eye 
- 3542
