#ARTIST:Steve Miller Band
#TITLE:Jet Airliner
#MP3:Steve Miller Band - Jet Airliner.mp3
#CREATOR:Fepo
#COVER:Steve Miller Band - Jet Airliner [CO].jpg
#BACKGROUND:Steve Miller Band - Jet Airliner [BG].jpg
#GENRE:Pop
#YEAR:1977
#LANGUAGE:English
#BPM:243.45
#GAP:63300
#VIDEO:a=jlFXhigvTvM,co=https://img.cdandlp.com/2020/03/imgL/3000654.jpg,bg=miller-steve-band-5068f514c54ca.jpg
: 1529 4 2 stay
: 1534 4 0 ~ 
- 1540
: 1604 2 4 Tou
: 1608 2 7 chin’ 
: 1612 2 7 down 
: 1616 2 7 in 
: 1620 4 7 Ne
: 1625 3 9 ~w 
: 1630 2 9 En
: 1633 2 7 ~g
: 1637 2 7 land 
: 1641 9 7 town 
- 1652
: 1665 6 12 Feel 
: 1673 2 9 the 
* 1677 2 7 heat 
* 1681 2 7 co
: 1685 2 5 min’ 
: 1689 4 7 do
: 1694 6 4 ~wn 
- 1702
: 1721 2 9 I’ve 
: 1725 2 16 got 
: 1729 2 16 to 
: 1733 2 14 keep 
: 1738 5 16 o
: 1745 4 16 ~
: 1751 5 12 ~n 
: 1758 2 16 kee
: 1762 2 16 pi
: 1765 3 14 ~n’ 
: 1770 2 14 o
: 1773 3 12 ~n 
- 1777
: 1778 2 16 You 
: 1782 2 14 know 
: 1786 3 12 the 
: 1794 4 12 big 
: 1802 6 12 wheel 
: 1810 2 12 keeps 
: 1814 3 12 on 
: 1821 2 12 spin
: 1825 2 14 nin’ 
: 1829 2 16 a
: 1833 2 14 rou
: 1837 3 12 ~nd 
- 1842
: 1843 2 12 And 
: 1847 4 12 I’m 
: 1853 3 16 go
: 1858 2 16 in’ 
: 1861 2 14 with 
: 1865 6 16 some 
: 1874 2 16 he
: 1877 2 14 si
: 1881 2 14 ta
: 1885 2 12 ~
: 1889 8 12 tion 
- 1899
: 1906 2 2 You 
: 1910 2 2 know 
: 1914 2 2 that 
: 1918 2 2 I 
: 1922 5 2 can 
: 1929 6 2 sure
: 1937 2 2 ~
: 1940 3 0 ~
: 1945 2 0 ly 
: 1949 9 0 see 
- 1960
: 1969 3 -3 That 
: 1974 4 0 I 
: 1981 9 4 don’t 
: 1993 6 4 want 
: 2001 5 4 to 
: 2009 5 4 get 
: 2017 7 4 caught 
: 2026 4 4 up 
: 2032 2 4 in 
: 2035 2 4 a
: 2038 2 4 ny 
: 2041 1 2 of 
: 2043 4 0 that 
- 2049
: 2053 2 2 Fun
: 2057 2 2 ky 
: 2061 2 2 shit 
: 2065 2 0 go
