#ARTIST:The White Stripes
#TITLE:Fell In Love With A Girl
#MP3:The White Stripes - Fell In Love With A Girl.mp3
#CREATOR:krasserdude
#YEAR:2001
#LANGUAGE:English
#BPM:480
#GAP:15240
#VIDEO:v=fTH71AAxXmM,co=fell-in-love-with-a-girl-5c103d0072d7d.jpg,bg=white-stripes-the-5f9187e381831.jpg
: 2264 5 6 al
* 2270 3 4 ~
: 2274 7 6 right?” 
- 2283
: 2285 1 6 I 
: 2287 5 6 said 
: 2293 3 6 “I 
: 2297 7 6 must 
: 2306 5 6 be 
: 2312 7 4 fine 
: 2322 4 6 be
: 2327 4 4 cause 
: 2332 3 4 my 
: 2336 9 6 heart’s 
* 2346 5 4 still 
: 2352 7 6 bea
: 2360 11 6 ting” 
- 2382
: 2386 5 6 Come 
: 2392 4 6 and 
: 2397 4 6 kiss 
: 2402 4 6 me 
: 2407 3 6 by 
: 2411 4 6 the 
: 2417 5 9 ri
: 2423 6 6 ver 
: 2432 8 6 side, 
: 2442 4 4 yeah
: 2448 6 6 ~ 
- 2456
: 2458 4 6 Bob
: 2463 3 6 by 
: 2467 4 4 says 
: 2472 4 4 he 
: 2477 5 2 fine 
: 2483 4 2 he 
: 2488 5 2 don’t 
* 2494 4 -1 con
* 2499 3 6 si
: 2503 5 4 der 
: 2509 5 4 it 
: 2515 7 6 chea
: 2523 5 6 ting 
* 2529 9 -1 now 
- 2602
: 2877 8 6 Can’t 
: 2886 5 6 think 
: 2892 3 6 of 
: 2896 3 6 a
: 2900 6 6 ny 
: 2907 6 9 thing 
: 2914 6 6 to 
: 2921 7 6 do, 
: 2929 7 6 yeah 
- 2938
: 2940 5 6 My 
: 2946 9 6 left 
: 2956 7 4 brain 
: 2964 11 4 knows 
: 2976 4 4 that 
: 2981 4 4 all 
: 2986 7 4 love 
* 2994 7 2 is 
: 3002 8 4 fleet
: 3011 14 4 ing 
- 3032
: 3035 5 4 She’s 
: 3041 4 6 just 
: 3046 4 6 look
: 3051 4 6 ing 
: 3056 8 6 for 
: 3065 8 9 some
: 3074 7 6 thing 
: 3082 7 6 new 
- 3091
: 3093 6 6 Well 
: 3102 4 6 I 
: 3107 4 6 said 
: 3112 4 6 it 
: 3117 3 4 once 
: 3121 5 4 be
: 3127 8 2 fore 
- 3137
: 3139 5 -1 But 
: 3145 4 -1 it 
* 3150 7 4 bears 
: 3158 5 2 re
* 3164 8 6 peat
: 3173 6 2 ing 
: 3180 13 -1 now 
E
