#ARTIST:Suede
#TITLE:Stay Together
#MP3:Suede - Stay Together.mp3
#CREATOR:daggeg
#YEAR:1994
#LANGUAGE:English
#BPM:200.45
#GAP:27540
#VIDEO:v=LPfhAksS28g,co=stay-together-65685372a3e40.jpg,bg=suede-52d106177a5e2.jpg
: 2159 8 15 Stay 
: 2172 3 8 to
: 2177 3 10 ge
: 2182 18 12 ther 
- 2202
: 2227 2 8 Let’s 
: 2232 5 15 stay, 
: 2241 3 8 in 
: 2245 3 8 this 
: 2250 4 13 bro
: 2256 3 12 ken 
: 2263 3 8 down 
: 2268 16 8 love 
- 2286
: 2303 4 17 Stay
: 2308 4 15 ~ 
: 2317 3 8 to
: 2322 3 10 ge
: 2327 17 12 ther 
- 2346
: 2357 3 15 Two 
: 2362 5 15 hearts 
: 2376 4 13 un
: 2381 3 12 der 
: 2386 2 8 the 
: 2390 1 8 sky
: 2392 2 10 ~
: 2395 5 8 ~
: 2403 4 8 scra
: 2408 17 8 pers 
- 2427
* 2448 8 15 Stay 
* 2461 3 8 to
* 2466 3 10 ge
* 2471 19 12 ther 
- 2492
F 2520 7 15 Stay, 
F 2533 1 8 these 
F 2538 1 13 days
F 2542 1 12 ~ 
F 2547 1 8 are 
F 2551 1 8 ours
F 2553 1 10 ~
F 2555 16 8 ~ 
- 2573
F 2591 2 0 Stay
F 2596 3 0 ~ 
F 2607 1 0 to
F 2611 1 0 ge
F 2616 19 0 ther 
- 2637
F 2646 1 0 Two 
F 2651 4 0 hearts 
F 2664 1 0 un
F 2669 1 0 der 
F 2674 1 0 the 
F 2679 10 0 sky
F 2692 1 0 scra
F 2697 18 0 pers 
E
