#ARTIST:Volbeat
#TITLE:Maybellene i hofteholder
#MP3:Volbeat - Maybellene i hofteholder.mp3
#CREATOR:borax
#GENRE:Rock
#YEAR:2008
#LANGUAGE:English
#BPM:372
#GAP:3220
#VIDEO:v=I5O2eetp5tw,co=https://is1-ssl.mzstatic.com/image/thumb/Music/27/56/d3/mzi.kjwnuslf.jpg/5000x5000bb.jpg,bg=volbeat-61afbefea9d77.jpg
: 3192 4 16 cing 
: 3200 7 12 for 
: 3208 3 12 the 
: 3212 8 14 young 
: 3224 11 16 on
: 3236 3 14 e
: 3240 4 12 s 
: 3248 15 12 oh 
: 3264 15 11 oh 
: 3280 12 9 oh 
- 3294
: 3296 7 17 May
: 3304 3 17 be
: 3308 8 17 lenne 
: 3320 4 16 i 
: 3328 3 12 Hof
: 3332 4 12 te
: 3340 7 14 hol
: 3348 15 16 d
: 3364 3 14 e
: 3368 8 12 r. 
- 3378
* 3420 7 21 See 
* 3428 4 21 you 
* 3436 7 21 dan
* 3444 7 19 cing 
* 3452 7 19 for 
* 3460 3 19 the 
* 3464 7 19 young 
* 3472 15 16 on
* 3488 3 14 e
* 3492 4 12 s 
: 3500 15 12 oh 
: 3516 15 11 oh 
: 3532 12 9 oh 
- 3546
: 3548 7 17 May
: 3556 3 17 be
: 3560 8 17 lenne 
: 3572 7 16 i 
: 3580 7 12 Hof
: 3588 3 12 te
: 3592 11 14 hol
: 3604 11 16 d
: 3616 3 14 e
: 3620 8 12 r. 
- 3630
: 3680 3 16 Could 
: 3684 4 16 you 
: 3692 4 16 be 
: 3700 3 14 the 
: 3704 7 14 on
: 3712 4 12 ly 
: 3720 3 12 on
: 3724 4 9 e 
- 3730
: 3740 3 17 Well 
: 3744 4 17 I 
: 3752 7 17 beg 
: 3760 3 16 you 
: 3764 4 14 to 
: 3772 4 14 come 
: 3780 3 14 ho
: 3784 48 11 me. 
- 3834
: 3848 7 16 Dance 
: 3856 8 14 for
: 3868 8 17 e
: 3880 3 12 ver 
: 3884 7 12 my 
: 3892 7 12 on
: 3900 8 14 ly 
