#ARTIST:Ed Sheeran
#TITLE:Supermarket Flowers
#MP3:Ed Sheeran - Supermarket Flowers.mp3
#CREATOR:haistshomie666
#YEAR:2017
#LANGUAGE:English
#BPM:367.96
#GAP:10310
#VIDEO:v=bIB8EWqCPrQ,co=-58a242be7e653.jpg,bg=sheeran-ed-58c3b890d8259.jpg
: 0 3 6 I 
: 3037 6 10 my 
: 3046 9 10 mum 
- 3065
: 3096 6 8 When 
: 3104 6 8 I 
: 3112 6 10 fell 
: 3120 6 8 down 
: 3128 6 8 you’d 
: 3136 6 1 be 
: 3144 6 1 there 
: 3152 6 6 hol
: 3160 6 6 ding 
: 3168 6 13 me 
: 3176 9 13 up 
- 3191
: 3194 5 6 Spread 
: 3203 5 13 your 
: 3211 12 13 wings 
: 3227 4 11 as 
: 3235 4 10 you 
: 3243 9 8 go 
- 3252
: 3254 4 6 And 
: 3263 7 6 when 
: 3278 7 10 God 
: 3293 4 6 takes 
: 3301 4 6 you 
: 3309 9 6 back 
: 3326 5 1 we’ll 
: 3334 4 1 say 
: 3342 12 10 Hal
: 3358 4 11 le
: 3366 4 10 lu
: 3374 10 8 jah 
- 3389
: 3391 9 5 You’re 
: 3406 9 6 home 
- 3464
: 4463 5 6 Hal
: 4471 5 6 le
: 4479 5 10 lu
: 4487 7 10 jah 
- 4504
: 4535 6 8 You 
: 4543 5 8 were 
: 4551 5 10 an 
: 4559 7 11 an
: 4568 5 10 gel 
: 4576 5 6 in 
: 4584 5 6 the 
: 4592 5 6 shape 
: 4600 6 6 of 
: 4609 6 10 my 
: 4618 8 10 mum 
- 4636
: 4665 5 8 You 
: 4673 5 8 got 
: 4681 5 10 to 
: 4690 5 11 see 
: 4698 5 10 the 
: 4706 5 6 per
: 4714 5 6 son 
: 4722 7 6 I 
: 4730 5 6 have 
: 4739 7 13 be
: 4748 5 13 come 
- 4761
: 4764 5 6 Spread 
: 4772 5 13 your 
: 4780 11 13 wing 
- 4796
: 4798 6 11 And 
: 4805 6 10 I 
: 4813 11 8 know 
: 4828 1 6 that 
: 4830 6 6 when 
: 4846 15 10 God 
: 4863 5 6 took 
: 4871 5 6 you 
: 4879 11 6 back 
: 4894 6 1 he 
: 4902 5 1 said 
: 4910 15 10 Hal
: 4928 5 11 le
: 4936 5 10 lu
: 4944 12 8 jah 
- 4959
: 4961 10 5 You’re 
: 4977 8 6 home 
E
