#ARTIST:Bonnie Raitt
#TITLE:Thing Called Love
#MP3:Bonnie Raitt - Thing Called Love.mp3
#CREATOR:Zevac
#GENRE:Blues
#YEAR:1989
#LANGUAGE:English
#BPM:259.51
#GAP:18020
#VIDEO:v=krF6LpUXODc,co=https://i.discogs.com/NhUK2kPPL14JX01qmaBDcVebVNQLscdFw9q3xOXf9P4/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNjM5/NDYtMTQ2NDI5NDYw/Ny03NTQyLmpwZWc.jpeg,bg=raitt-bonnie-509a0f413b7a9.jpg
: 1549 3 7 por
: 1554 1 5 cu
: 1558 1 5 pine
: 1560 2 7 ~
: 1564 2 2 ~ 
- 1568
: 1571 2 2 Take 
: 1574 2 5 off 
: 1579 1 2 your 
: 1582 6 5 kid 
: 1590 3 2 gloves
: 1595 2 0 ~ 
- 1599
: 1607 2 9 Are 
: 1611 2 7 you 
: 1614 3 7 read
: 1619 1 5 y 
: 1623 2 7 for 
: 1627 1 5 the 
: 1630 1 7 thing
: 1632 11 9 ~ 
: 1647 1 7 called
: 1649 5 9 ~
: 1656 1 7 ~ 
: 1659 1 7 love
: 1661 10 9 ~? 
- 1673
: 1802 2 4 Ug
: 1806 2 0 ly 
: 1810 2 2 duck
: 1814 1 0 lings 
: 1818 2 2 don’t 
: 1823 1 0 turn 
: 1826 2 2 in
: 1830 1 0 to 
: 1835 3 4 swans
: 1840 2 -3 ~ 
- 1844
: 1867 1 2 Glide
: 1869 2 4 ~ 
: 1873 3 2 off 
: 1879 4 2 down 
: 1884 2 0 the 
: 1888 1 2 lake
: 1890 2 4 ~
: 1894 20 7 ~
: 1916 4 9 ~ 
- 1922
: 1929 2 4 Wheth
: 1933 2 2 er 
: 1937 1 0 your 
: 1940 3 2 sun
: 1945 2 2 glass
: 1949 2 2 es 
: 1953 1 0 are 
: 1956 3 2 off 
: 1961 1 0 or 
: 1965 1 2 on
: 1967 1 4 ~
: 1970 3 -3 ~ 
- 1975
: 1994 2 7 You 
: 1998 2 9 on
: 2002 1 7 ly 
: 2005 7 9 see 
: 2013 2 7 the 
: 2018 1 7 world
: 2020 13 9 ~ 
: 2036 1 7 you
: 2038 10 9 ~ 
: 2051 1 7 make
: 2053 1 -3 ~ 
- 2056
: 2700 2 9 Are 
: 2704 2 9 you 
: 2708 3 9 read
: 2713 2 7 y 
: 2716 2 5 for 
: 2720 1 2 the 
: 2723 5 5 thing 
: 2732 4 5 called 
: 2740 2 5 love
: 2743 1 7 ~
: 2745 2 9 ~? 
- 2749
: 2760 2 9 Don’t 
: 2764 3 9 come 
: 2769 1 9 from 
: 2772 4 7 me 
: 2777 1 5 and 
: 2780 1 5 you
: 2782 1 7 ~ 
- 2784
: 2785 1 0 It 
: 2788 3 2 comes 
: 2793 1 5 from 
: 2796 3 5 up 
: 2801 1 5 a
: 2804 2 7 bove
: 2807 4 9 ~
: 2812 4 7 ~
: 2817 2 5 ~ 
- 2821
: 2825 2 9 I 
: 2828 2 9 ain’t 
: 2832 1 9 no 
: 2836 3 7 por
: 2841 1 5 cu
: 2845 1 5 pine
: 2847 2 7 ~
: 2851 1 2 ~ 
- 2854
: 2857 2 2 Take 
: 2860 2 5 off 
: 2865 1 2 your 
: 2869 1 2 kid
: 2871 3 5 ~ 
: 2876 3 2 gloves
: 2881 2 0 ~ 
- 2885
: 2893 2 9 Are 
: 2897 2 9 you 
: 2900 1 9 read
: 2902 2 7 ~
: 2905 1 5 y 
: 2908 3 5 for 
: 2914 2 2 it? 
- 2918
: 2956 1 7 Are
: 2958 1 9 ~ 
: 2961 2 9 you 
: 2964 1 9 read
: 2966 1 7 ~
: 2969 1 5 y 
: 2972 2 5 for 
: 2976 1 2 the 
: 2980 4 5 thing 
: 2988 4 5 called 
: 2996 2 5 love
: 2999 1 7 ~
: 3001 2 9 ~? 
- 3005
: 3017 1 7 Don’t 
: 3020 3 9 come 
: 3025 1 9 from 
: 3028 4 12 me 
: 3033 1 9 and 
: 3036 1 9 you
: 3038 1 7 ~ 
- 3040
: 3041 1 5 It 
: 3044 3 5 comes 
: 3049 1 2 from 
: 3052 3 5 up 
: 3057 1 2 a
: 3060 9 5 bove
: 3070 1 2 ~
: 3073 2 0 ~ 
- 3077
: 3082 2 9 I 
: 3085 2 9 ain’t 
: 3089 1 9 no 
: 3092 3 7 por
: 3097 1 5 cu
: 3100 1 5 pine
: 3102 2 7 ~
: 3106 2 2 ~ 
- 3110
: 3113 2 2 Take 
: 3116 3 5 off 
: 3121 1 2 your 
: 3124 1 2 kid
: 3126 4 5 ~ 
: 3132 3 2 gloves
: 3137 2 0 ~ 
- 3141
: 3148 1 7 Are
: 3150 1 9 ~ 
: 3153 2 9 you 
: 3156 1 9 read
: 3158 2 7 ~
: 3161 1 5 y 
: 3164 3 5 for 
: 3169 2 2 it? 
- 3173
: 3211 1 7 Are
: 3213 1 9 ~ 
: 3216 2 9 you 
: 3219 1 9 read
: 3221 2 12 ~
: 3224 1 9 y 
: 3227 2 7 for 
: 3232 7 7 love
: 3240 9 5 ~, 
: 3251 1 5 ba
: 3253 1 7 ~
: 3255 1 5 ~
: 3257 1 2 by
: 3259 3 0 ~? 
- 3264
: 3296 2 14 Ooh
: 3299 9 17 ~, 
: 3311 2 9 yeah
: 3314 3 7 ~ 
: 3320 3 5 babe 
- 3325
: 3339 2 9 Are 
: 3343 2 9 you 
: 3346 1 9 read
: 3348 2 12 ~
: 3351 1 9 y 
: 3354 3 7 for 
: 3360 1 9 love
: 3362 4 7 ~
: 3368 11 5 ~? 
E
