#ARTIST:Dire Straits
#TITLE:Lady Writer
#MP3:Dire Straits - Lady Writer.mp3
#CREATOR:DoubleDee
#COVER:Dire Straits - Lady Writer [CO].jpg
#BACKGROUND:Dire Straits - Lady Writer [BG].jpg
#GENRE:Rock
#YEAR:1979
#LANGUAGE:English
#BPM:297
#GAP:14100
#VIDEO:v=BlD6jCGVU4A,co=lady-writer-602dc7d1be4b6.jpg,bg=dire-straits-4e5f12dc25a77.jpg,preview=130.36,medley=0-1470
: 2487 8 8 grace
: 2496 3 4 ~
: 2500 2 1 ~ 
- 2512
: 2540 6 8 Oh 
: 2548 5 8 yeah
: 2554 5 6 ~ 
- 2567
: 2570 3 8 A
: 2574 3 6 no
: 2578 2 6 ther 
: 2582 2 6 time
: 2585 4 8 ~, 
: 2603 2 6 a
: 2606 3 8 no
: 2610 2 8 ther 
: 2614 6 8 place
: 2621 4 6 ~ 
- 2644
: 2685 3 6 La
: 2689 3 6 dy 
: 2693 3 6 wri
: 2697 3 6 ter 
: 2701 3 6 on 
: 2705 2 6 the 
: 2709 2 9 T
: 2713 6 8 V 
- 2729
: 2749 3 11 She 
: 2753 5 11 knew 
: 2759 3 11 all 
: 2763 2 8 a
: 2766 2 11 bout 
: 2770 3 8 her 
* 2774 5 13 his
* 2782 3 8 to
* 2786 3 6 ry
* 2790 3 4 ~ 
- 2803
: 2810 3 11 You 
: 2814 3 11 could
: 2818 3 8 n’t 
: 2822 2 11 hard
: 2825 3 8 ly 
: 2830 3 8 write 
: 2834 3 6 your 
: 2838 3 9 name
: 2842 6 8 ~ 
- 2858
: 2874 2 8 I 
: 2877 3 6 think 
: 2881 3 6 I 
: 2885 7 6 want 
: 2893 2 4 you 
: 2898 5 8 just 
: 2906 2 8 the
: 2909 2 6 ~ 
: 2914 5 9 same
: 2920 5 8 ~ 
: 2926 2 4 as 
: 2930 2 1 the 
- 2938
: 2941 3 6 La
: 2945 2 6 dy 
: 2949 2 6 wri
: 2953 2 6 ter 
: 2957 3 6 on 
: 2962 2 6 the 
: 2965 3 8 T
: 2969 3 8 V 
- 2982
* 2997 3 11 Talk 
* 3001 2 8 a
* 3005 3 11 bout 
: 3009 3 8 the 
: 3013 6 8 Vir
: 3021 2 6 gin 
: 3025 4 8 Ma
: 3031 4 8 ry 
- 3045
: 3057 5 6 Yeah 
: 3064 3 6 you 
: 3069 3 6 know 
: 3073 3 6 I’m 
: 3077 3 6 tal
: 3081 2 6 king 
: 3085 6 6 ’bout 
: 3093 4 8 you 
: 3098 5 8 and
: 3104 3 6 ~ 
: 3108 6 8 me 
: 3117 6 4 and 
- 3130
: 3133 3 6 La
: 3137 2 6 dy 
: 3141 2 6 wri
: 3145 2 6 ter 
: 3149 3 6 on 
: 3153 2 6 the 
: 3157 3 6 T
: 3161 3 6 V
: 3165 8 8 ~ 
- 3183
* 3197 3 11 La
* 3201 2 11 dy 
* 3205 2 11 wri
* 3209 2 8 ter 
: 3213 3 8 on 
: 3217 2 6 the 
: 3221 2 8 T
: 3225 2 8 V 
- 3237
: 3253 3 6 Talk 
: 3257 3 4 a
: 3261 3 8 bout 
: 3265 3 4 the 
: 3269 6 6 Vir
: 3277 3 11 gin 
: 3281 6 8 Ma
: 3289 4 4 ry 
- 3303
: 3314 5 6 Yeah 
: 3322 2 6 you 
: 3325 4 6 know 
: 3330 3 6 I’m 
: 3334 2 6 tal
: 3337 2 6 king 
: 3341 3 6 ’bout
: 3345 2 6 ~ 
: 3349 3 8 you 
: 3353 6 8 and 
: 3361 6 8 me, 
: 3370 3 4 yeah
: 3374 3 6 ~
: 3378 2 4 ~ 
- 3386
: 3389 3 6 La
: 3393 2 6 dy 
: 3397 2 6 wri
: 3401 2 6 ter 
: 3405 3 6 on 
: 3409 2 6 the 
: 3413 4 8 T
: 3418 5 4 ~
: 3425 4 8 V
: 3432 4 4 ~ 
E
