#ARTIST:Hoobastank
#TITLE:Don’t Tell Me
#MP3:Hoobastank - Don’t Tell Me.mp3
#CREATOR:Stalker128
#YEAR:2006
#LANGUAGE:English
#BPM:311.9
#GAP:13190
#VIDEO:a=XgAwTckJRJg,co=every-man-for-himself-5cf85a5c81745.jpg,bg=hoobastank-5cf85e6fbeedd.jpg
: 3330 4 16 back 
: 3338 4 14 what 
: 3346 6 18 you’ve 
: 3354 4 18 put 
: 3362 4 16 me 
: 3370 40 15 through 
- 3412
: 3434 6 12 Your 
: 3442 4 16 ac
: 3450 4 14 tions 
: 3458 6 16 will 
: 3466 4 14 speak 
: 3474 7 18 lou
: 3482 6 18 der 
: 3490 14 16 than 
* 3506 31 15 you
* 3538 31 22 ~
* 3570 8 20 ~ 
- 3580
: 3586 6 20 What 
: 3594 6 14 you 
: 3602 6 18 say 
: 3610 6 15 will 
: 3618 6 13 be 
: 3626 6 12 for
: 3634 4 17 got
: 3642 4 17 ten 
: 3650 6 16 some
: 3658 12 15 day 
- 3672
: 3678 2 8 But 
: 3682 2 11 what 
: 3686 4 14 you 
: 3694 3 14 do
: 3698 6 15 ~ 
: 3706 6 14 will 
: 3714 6 14 be 
: 3722 3 12 re
: 3726 10 14 mem
: 3738 20 12 bered 
- 3760
: 3778 4 20 Emp
: 3786 4 14 ty 
: 3794 6 18 pro
: 3802 6 15 mi
: 3810 6 13 ses 
: 3818 6 12 al
: 3826 6 17 ways 
: 3834 6 17 fade 
: 3842 7 16 a
: 3850 12 15 way 
- 3864
: 3870 2 8 The 
: 3874 2 11 ones 
: 3878 4 14 you 
: 3886 3 14 keep
: 3890 6 15 ~ 
: 3898 6 14 will 
: 3906 8 14 last 
: 3918 3 12 for
: 3922 10 14 e
: 3934 16 12 ver 
- 3952
: 3970 6 20 What 
: 3978 6 14 you 
: 3986 6 18 say 
: 3994 6 15 will 
: 4002 6 13 be 
: 4010 6 12 for
: 4018 4 18 got
: 4026 4 18 ten 
* 4034 6 20 some
* 4042 12 16 day 
- 4056
: 4062 2 8 But 
: 4066 2 11 what 
: 4070 4 14 you 
: 4078 3 14 do
: 4082 4 15 ~ 
: 4090 6 14 will 
: 4098 6 14 be 
: 4106 3 12 re
: 4110 10 14 mem
: 4122 20 12 bered 
- 4144
: 4162 4 20 Emp
: 4170 4 14 ty 
: 4178 6 18 pro
: 4186 6 15 mi
: 4194 6 13 ses 
: 4202 6 12 al
: 4210 6 18 ways 
* 4218 6 18 fade 
* 4226 7 20 a
* 4234 12 16 way 
- 4248
: 4254 2 8 The 
: 4258 2 11 ones 
: 4262 4 14 you 
: 4270 3 14 keep
: 4274 4 15 ~ 
: 4282 6 14 will 
: 4290 8 14 last 
: 4302 3 12 for
: 4306 10 14 e
: 4318 56 12 ver 
- 4376
: 4382 2 8 The 
: 4386 2 11 ones 
: 4390 4 14 you 
: 4398 3 14 keep
: 4402 4 15 ~ 
: 4410 8 14 will 
: 4420 6 14 last 
: 4430 3 12 for
: 4434 10 14 e
: 4446 56 12 ver 
- 4504
: 4510 2 13 The 
: 4514 2 18 ones 
: 4518 4 18 you 
: 4526 12 15 keep 
: 4542 3 14 will 
: 4546 4 14 last 
: 4558 3 12 for
: 4562 10 14 e
: 4574 56 12 ver 
- 4632
: 4642 7 12 For
: 4650 15 12 e
: 4666 3 16 ~
: 4670 3 18 ~
: 4674 47 16 ver
: 4722 72 14 ... 
E
