#ARTIST:Eminem
#TITLE:Rap God
#MP3:Eminem - Rap God.mp3
#CREATOR:UnisusJr
#YEAR:2013
#LANGUAGE:English
#BPM:600
#GAP:1140
#VIDEO:v=XbGs_qK2PQA,co=rap-god-5794175889b95.jpg,bg=eminem-5e80e3fc39802.jpg,tags=explicit
#END:362000
: 2140 2 34 This 
: 2147 2 34 flip
: 2150 1 33 pit
: 2152 2 31 y 
: 2159 1 31 dip
: 2161 1 31 pi
: 2163 2 34 ty 
: 2171 1 31 hip
: 2173 1 31 pi
: 2175 2 31 ty 
: 2179 3 31 hip-
: 2183 9 36 hop 
- 2193
: 2195 2 31 You 
: 2198 3 36 don’t 
: 2202 2 33 real
: 2205 3 31 ly 
: 2209 4 31 wan
: 2214 2 31 na 
: 2218 3 31 get 
: 2222 2 31 in
: 2225 3 31 to 
: 2229 2 31 a 
: 2233 4 31 pis
: 2238 4 31 sing 
: 2243 7 33 match 
- 2250
: 2251 3 31 With 
: 2255 3 31 this 
: 2260 5 33 rap
: 2266 3 31 pi
: 2270 4 31 dy-
: 2275 7 33 brat 
- 2282
: 2283 9 33 Pack
: 2293 2 31 in’ 
: 2296 2 31 a 
: 2299 8 34 Mac 
: 2309 2 33 in 
: 2312 3 33 the 
: 2316 7 34 back 
: 2324 2 33 of 
: 2328 3 33 the 
: 2332 7 34 Ac 
- 2341
: 2343 4 34 Back
: 2348 7 34 pack 
: 2356 7 34 rap 
: 2364 7 36 crap, 
: 2372 8 36 yep, 
: 2381 6 36 yep, 
: 2388 7 36 yac
: 2396 3 36 ki
: 2400 3 36 ty-
: 2405 6 38 yak 
- 2412
: 2414 2 38 Now 
: 2417 4 38 at 
: 2422 3 31 the 
: 2426 3 33 ex
: 2430 4 34 act 
: 2436 8 34 same 
: 2445 7 34 time 
- 2455
: 2457 3 34 I 
: 2461 3 34 at
: 2465 3 34 tempt 
: 2469 4 33 these 
: 2474 2 34 ly
: 2477 2 34 ri
: 2480 3 33 cal 
: 2485 3 34 ac
: 2489 3 34 ro
: 2493 4 34 bat 
: 2499 9 34 stunts 
- 2509
: 2511 2 33 While 
: 2514 3 33 I’m 
: 2518 4 34 prac
: 2523 4 34 ti
: 2528 3 34 cing 
- 2531
: 2532 6 34 That 
: 2539 2 34 I’ll 
: 2542 4 33 still 
: 2547 3 33 be 
: 2553 4 34 a
: 2558 2 33 ble 
: 2562 2 33 to 
: 2565 4 33 break 
: 2570 1 33 a 
: 2572 3 33 mo
: 2576 2 33 ther
: 2579 3 33 fu
: 2583 3 33 ckin’ 
: 2587 7 34 ta
: 2595 1 33 ble 
- 2596
: 2597 1 33 O
: 2599 2 33 ver 
: 2602 4 33 the 
: 2607 7 34 back 
: 2615 3 33 of 
: 2619 3 33 a 
: 2623 3 33 cou
: 2627 3 33 ple 
: 2631 2 33 of 
