#ARTIST:Cream Puff
#TITLE:Mermaid Girl
#MP3:Cream Puff - Mermaid Girl.mp3
#CREATOR:Stanza
#YEAR:2011
#LANGUAGE:English
#BPM:280
#GAP:2950
#VIDEO:a=mtu7FoQ4nYc,co=https://i1.sndcdn.com/artworks-000113632537-m2n8vf-t500x500.jpg
: 1952 6 13 song 
: 1960 3 15 Love 
: 1964 3 15 me 
: 1968 3 18 take 
: 1972 3 16 me 
: 1976 7 15 there 
- 1984
: 1984 3 8 I’m 
: 1988 3 10 a 
: 1992 3 11 twin
: 1996 1 11 kle 
: 1998 5 11 li
: 2004 3 8 ttle 
: 2008 3 13 mer
: 2012 3 18 maid 
: 2016 6 13 girl 
: 2024 3 10 oh 
: 2028 3 10 ~
: 2032 3 6 a 
: 2036 3 10 hea
: 2040 3 11 ven
: 2044 3 13 ly 
: 2048 6 11 world 
- 2055
: 2056 3 11 Dub-
: 2060 1 11 de-
: 2062 3 11 dub-
: 2066 1 8 da-
: 2068 2 11 de
: 2072 3 13 Call 
: 2076 3 18 my 
: 2080 6 13 name 
: 2088 3 15 Dub-
: 2092 1 15 de-
: 2094 3 15 dub-
: 2098 1 13 da-
: 2100 2 15 de
: 2104 3 15 Hold 
: 2108 3 18 me 
: 2112 8 20 long 
E
