#ARTIST:blink-182
#TITLE:The Rock Show
#MP3:blink-182 - The Rock Show.mp3
#CREATOR:Canni, Loewy159
#YEAR:2001
#LANGUAGE:English
#BPM:386
#GAP:31980
#VIDEO:v=z7hhDINyBP0,co=the-rock-show-5e3f8064a0f05.jpg,bg=blink-182-4eaea7576e7f3.jpg
: 1865 2 -1 ter 
: 1869 4 1 when 
: 1876 9 2 she’s 
* 1887 5 4 a
* 1894 6 2 round 
- 1904
: 1906 2 1 I 
: 1909 2 1 can’t 
: 1913 2 -1 wait 
: 1917 3 -1 ’til 
: 1922 2 -1 her 
: 1926 2 -1 pa
: 1930 3 -1 rents 
: 1935 5 1 go 
: 1942 6 2 out 
: 1950 5 4 of 
: 1957 8 2 town 
- 1968
: 1970 2 -3 I 
: 1973 6 -1 fell 
: 1981 6 -1 in 
: 1989 5 -1 love 
: 1997 2 1 with 
: 2001 2 2 the 
: 2005 6 2 girl 
: 2013 2 -1 at 
: 2017 2 -3 the 
: 2021 5 -1 rock 
: 2028 11 -3 show 
- 2045
: 2047 5 1 Black 
: 2054 4 1 and 
: 2060 7 1 white 
: 2069 5 1 pic
: 2076 6 1 ture 
: 2084 7 -1 of 
: 2093 6 2 her 
: 2101 6 2 on 
: 2109 6 4 my 
: 2117 17 -3 wall 
- 2139
: 2141 6 -3 I 
: 2149 6 2 wai
: 2157 5 4 ted 
: 2165 6 1 for 
: 2173 7 -1 her 
: 2182 15 -3 call, 
: 2205 7 -3 she 
: 2214 1 -1 a
: 2216 3 2 ~l
: 2221 5 -1 ways 
: 2229 10 -1 kept 
: 2243 16 -1 me 
: 2261 14 1 wai
: 2277 15 -1 ting 
- 2301
: 2304 4 -6 And 
: 2310 4 -6 if 
: 2316 3 -6 I 
: 2324 5 -6 e
: 2331 7 -6 ver 
: 2343 4 -1 got 
: 2349 7 -6 a
: 2358 4 2 no
: 2364 5 2 ther 
: 2372 12 -3 chance, 
: 2396 4 2 I’d 
: 2403 8 2 still 
: 2413 5 2 ask 
: 2421 7 -6 her 
: 2430 3 -8 to 
: 2437 11 -3 dance 
- 2458
: 2465 2 1 Be
: 2468 4 1 cause 
: 2474 9 1 she 
: 2485 10 4 kept 
: 2500 14 4 me 
: 2517 13 6 wai
: 2532 5 9 ting 
- 2539
: 2541 8 -3 I 
: 2551 5 1 fell 
: 2558 4 2 in 
: 2564 7 4 love 
: 2573 2 2 with 
: 2577 2 -3 the 
: 2581 6 1 girl 
: 2589 2 -1 at 
: 2593 2 -3 the 
: 2597 4 -1 rock 
: 2603 6 -3 show 
- 2611
: 2613 5 1 She 
: 2620 7 2 said 
* 2629 7 4 What? 
: 2638 2 1 and 
: 2641 2 -3 I 
: 2645 3 1 told 
: 2650 2 1 her 
: 2654 2 -1 that 
: 2657 2 -3 I 
: 2661 3 -1 did
: 2666 2 1 n’t 
: 2669 1 -3 know 
- 2672
: 2674 7 1 She’s 
: 2683 7 2 so 
: 2692 6 4 cool, 
: 2700 2 1 gon
: 2703 2 -3 na 
: 2706 3 1 sneak 
: 2711 3 2 in 
: 2716 2 1 through 
: 2719 3 -3 her 
: 2724 6 -1 win
: 2732 5 -3 dow 
- 2739
: 2741 2 -1 E
: 2745 2 1 very
: 2749 5 -1 thing’s 
: 2757 2 -1 bet
: 2760 2 -1 ter 
: 2764 4 1 when 
: 2771 9 2 she’s 
: 2782 5 4 a
: 2789 7 4 round 
- 2799
: 2801 2 1 I 
: 2804 2 1 can’t 
: 2808 2 -1 wait 
: 2812 3 -1 ’til 
: 2817 2 -1 her 
: 2821 2 -1 pa
: 2825 3 -1 rents 
: 2830 5 1 go 
: 2837 6 2 out 
: 2845 5 4 of 
: 2852 8 2 town 
- 2863
* 2865 2 -3 I 
* 2868 6 -1 fell 
* 2876 6 -1 in 
* 2884 5 -1 love 
* 2892 2 1 with 
* 2896 2 2 the 
* 2900 6 2 girl 
